Linux 6.8.12+ (sendai) 	11/07/2025 	_x86_64_	(6 CPU)

01:30:43 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
01:30:44 AM     0   1946633    0.00    0.00    0.00    0.00    0.00     5  systemd-journal
01:30:44 AM  1000   2984323    0.00    0.00    0.00    0.00    0.00     1  batcat
01:30:44 AM   111   2985506    5.00    8.00    0.00    0.00   13.00     0  netdata
01:30:44 AM   111   2986019    0.00    0.00    0.00    1.00    0.00     0  bash
01:30:44 AM   111   2986040    0.00    0.00    0.00    0.00    0.00     0  sd-jrnl.plugin
01:30:44 AM   111   2986043    0.00    0.00    0.00    0.00    0.00     0  go.d.plugin
01:30:44 AM   111   2986045    0.00    0.00    0.00    0.00    0.00     0  apps.plugin
01:30:44 AM   111   2986049    0.00    0.00    0.00    0.00    0.00     0  debugfs.plugin
01:30:44 AM   111   2986052    0.00    0.00    0.00    0.00    0.00     0  ebpf.plugin
01:30:44 AM   111   2986054    0.00    0.00    0.00    0.00    0.00     0  NETWORK-VIEWER
01:30:44 AM   111   2986057    0.00    0.00    0.00    0.00    0.00     0  nfacct.plugin
01:30:44 AM   111   2986067    0.00    0.00    0.00    0.00    0.00     0  otel-plugin
01:30:44 AM  1000   2986251    8.00    0.00    0.00    0.00    8.00     5  ssh
01:30:44 AM  1000   2986252    0.00    0.00    0.00    0.00    0.00     4  sh

01:30:44 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
01:30:45 AM     0   1946633    0.00    0.00    0.00    0.00    0.00     1  systemd-journal
01:30:45 AM  1000   2984323    0.00    0.00    0.00    0.00    0.00     1  batcat
01:30:45 AM   111   2985506    3.00    4.00    0.00    0.00    7.00     0  netdata
01:30:45 AM   111   2986019    0.00    0.00    0.00    0.00    0.00     0  bash
01:30:45 AM   111   2986040    0.00    0.00    0.00    0.00    0.00     0  sd-jrnl.plugin
01:30:45 AM   111   2986043    1.00    0.00    0.00    0.00    1.00     0  go.d.plugin
01:30:45 AM   111   2986045    1.00    1.00    0.00    0.00    2.00     0  apps.plugin
01:30:45 AM   111   2986049    0.00    0.00    0.00    0.00    0.00     0  debugfs.plugin
01:30:45 AM   111   2986052    0.00    0.00    0.00    0.00    0.00     0  ebpf.plugin
01:30:45 AM   111   2986054    0.00    0.00    0.00    0.00    0.00     0  NETWORK-VIEWER
01:30:45 AM   111   2986057    0.00    0.00    0.00    0.00    0.00     0  nfacct.plugin
01:30:45 AM   111   2986067    0.00    0.00    0.00    0.00    0.00     0  otel-plugin
01:30:45 AM  1000   2986251    0.00    0.00    0.00    0.00    0.00     5  ssh
01:30:45 AM  1000   2986252    0.00    0.00    0.00    0.00    0.00     4  sh

01:30:45 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
01:30:46 AM     0   1946633    0.00    0.00    0.00    0.00    0.00     1  systemd-journal
01:30:46 AM  1000   2984323    0.00    0.00    0.00    0.00    0.00     1  batcat
01:30:46 AM   111   2985506    2.00    4.00    0.00    0.00    6.00     0  netdata
01:30:46 AM   111   2986019    0.00    0.00    0.00    0.00    0.00     0  bash
01:30:46 AM   111   2986040    0.00    0.00    0.00    0.00    0.00     0  sd-jrnl.plugin
01:30:46 AM   111   2986043    0.00    0.00    0.00    0.00    0.00     0  go.d.plugin
01:30:46 AM   111   2986045    0.00    1.00    0.00    0.00    1.00     0  apps.plugin
01:30:46 AM   111   2986049    0.00    0.00    0.00    0.00    0.00     0  debugfs.plugin
01:30:46 AM   111   2986052    0.00    0.00    0.00    0.00    0.00     0  ebpf.plugin
01:30:46 AM   111   2986054    0.00    0.00    0.00    0.00    0.00     0  NETWORK-VIEWER
01:30:46 AM   111   2986057    0.00    0.00    0.00    0.00    0.00     0  nfacct.plugin
01:30:46 AM   111   2986067    0.00    0.00    0.00    0.00    0.00     0  otel-plugin
01:30:46 AM  1000   2986251    0.00    0.00    0.00    0.00    0.00     5  ssh
01:30:46 AM  1000   2986252    0.00    0.00    0.00    0.00    0.00     4  sh

01:30:46 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
01:30:47 AM     0   1946633    0.00    0.00    0.00    0.00    0.00     1  systemd-journal
01:30:47 AM  1000   2984323    0.00    0.00    0.00    0.00    0.00     1  batcat
01:30:47 AM   111   2985506    5.00    6.00    0.00    0.00   11.00     0  netdata
