          <idle>-0       [003] .Ns2. 1295492.420232: bpf_trace_printk: port: 11211, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295492.420240: bpf_trace_printk: port: 11212, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295492.420245: bpf_trace_printk: port: 11213, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295492.420250: bpf_trace_printk: port: 11214, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295492.420255: bpf_trace_printk: port: 11215, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295492.420255: bpf_trace_printk: Elapsed cycles are 138580
          <idle>-0       [003] .Ns2. 1295492.430387: bpf_trace_printk: port: 11211, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295492.430392: bpf_trace_printk: port: 11212, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295492.430397: bpf_trace_printk: port: 11213, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295492.430401: bpf_trace_printk: port: 11214, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295492.430406: bpf_trace_printk: port: 11215, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295492.430408: bpf_trace_printk: Elapsed cycles are 104450
          <idle>-0       [003] .Ns2. 1295492.441064: bpf_trace_printk: port: 11211, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295492.441070: bpf_trace_printk: port: 11212, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295492.441074: bpf_trace_printk: port: 11213, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295492.441078: bpf_trace_printk: port: 11214, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295492.441085: bpf_trace_printk: port: 11215, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295492.441085: bpf_trace_printk: Elapsed cycles are 103732
          <idle>-0       [003] .Ns2. 1295492.451201: bpf_trace_printk: port: 11211, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295492.451207: bpf_trace_printk: port: 11212, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295492.451211: bpf_trace_printk: port: 11213, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295492.451215: bpf_trace_printk: port: 11214, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295492.451220: bpf_trace_printk: port: 11215, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295492.451220: bpf_trace_printk: Elapsed cycles are 96034
          <idle>-0       [003] .Ns2. 1295492.461335: bpf_trace_printk: port: 11211, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295492.461340: bpf_trace_printk: port: 11212, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295492.461344: bpf_trace_printk: port: 11213, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295492.461348: bpf_trace_printk: port: 11214, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295492.461353: bpf_trace_printk: port: 11215, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295492.461355: bpf_trace_printk: Elapsed cycles are 100084
          <idle>-0       [003] .Ns2. 1295492.471468: bpf_trace_printk: port: 11211, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295492.471474: bpf_trace_printk: port: 11212, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295492.471478: bpf_trace_printk: port: 11213, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295492.471482: bpf_trace_printk: port: 11214, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295492.471487: bpf_trace_printk: port: 11215, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295492.471488: bpf_trace_printk: Elapsed cycles are 99012
          <idle>-0       [003] .Ns2. 1295492.481601: bpf_trace_printk: port: 11211, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295492.481606: bpf_trace_printk: port: 11212, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295492.481610: bpf_trace_printk: port: 11213, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295492.481614: bpf_trace_printk: port: 11214, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295492.481619: bpf_trace_printk: port: 11215, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295492.481620: bpf_trace_printk: Elapsed cycles are 94620
          <idle>-0       [003] ..s2. 1295492.491727: bpf_trace_printk: port: 11211, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295492.491733: bpf_trace_printk: port: 11212, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295492.491735: bpf_trace_printk: port: 11213, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295492.491738: bpf_trace_printk: port: 11214, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295492.491741: bpf_trace_printk: port: 11215, total_metrics_size is 656 

