          <idle>-0       [000] ..s2. 1295568.309267: bpf_trace_printk: port: 11211, total_metrics_size is -22 

          <idle>-0       [000] ..s2. 1295568.309271: bpf_trace_printk: Elapsed cycles are 50098
          <idle>-0       [001] .Ns2. 1295569.384279: bpf_trace_printk: port: 11211, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295569.384286: bpf_trace_printk: port: 11212, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295569.384291: bpf_trace_printk: port: 11213, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295569.384296: bpf_trace_printk: port: 11214, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295569.384301: bpf_trace_printk: port: 11215, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295569.384306: bpf_trace_printk: port: 11216, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295569.384311: bpf_trace_printk: port: 11217, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295569.384316: bpf_trace_printk: port: 11218, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295569.384321: bpf_trace_printk: port: 11219, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295569.384329: bpf_trace_printk: port: 11220, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295569.384329: bpf_trace_printk: Elapsed cycles are 245846
          <idle>-0       [001] .Ns2. 1295570.384463: bpf_trace_printk: port: 11211, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295570.384471: bpf_trace_printk: port: 11212, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295570.384476: bpf_trace_printk: port: 11213, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295570.384481: bpf_trace_printk: port: 11214, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295570.384486: bpf_trace_printk: port: 11215, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295570.384491: bpf_trace_printk: port: 11216, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295570.384496: bpf_trace_printk: port: 11217, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295570.384501: bpf_trace_printk: port: 11218, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295570.384506: bpf_trace_printk: port: 11219, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295570.384513: bpf_trace_printk: port: 11220, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295570.384513: bpf_trace_printk: Elapsed cycles are 243718
          <idle>-0       [001] .Ns2. 1295571.385319: bpf_trace_printk: port: 11211, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295571.385327: bpf_trace_printk: port: 11212, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295571.385332: bpf_trace_printk: port: 11213, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295571.385337: bpf_trace_printk: port: 11214, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295571.385342: bpf_trace_printk: port: 11215, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295571.385347: bpf_trace_printk: port: 11216, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295571.385352: bpf_trace_printk: port: 11217, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295571.385357: bpf_trace_printk: port: 11218, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295571.385364: bpf_trace_printk: port: 11219, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295571.385369: bpf_trace_printk: port: 11220, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295571.385370: bpf_trace_printk: Elapsed cycles are 243138
          <idle>-0       [001] .Ns2. 1295572.385491: bpf_trace_printk: port: 11211, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295572.385497: bpf_trace_printk: port: 11212, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295572.385502: bpf_trace_printk: port: 11213, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295572.385507: bpf_trace_printk: port: 11214, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295572.385513: bpf_trace_printk: port: 11215, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295572.385517: bpf_trace_printk: port: 11216, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295572.385522: bpf_trace_printk: port: 11217, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295572.385527: bpf_trace_printk: port: 11218, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295572.385532: bpf_trace_printk: port: 11219, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295572.385536: bpf_trace_printk: port: 11220, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295572.385539: bpf_trace_printk: Elapsed cycles are 236914
          <idle>-0       [001] .Ns2. 1295573.385659: bpf_trace_printk: port: 11211, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295573.385666: bpf_trace_printk: port: 11212, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295573.385671: bpf_trace_printk: port: 11213, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295573.385675: bpf_trace_printk: port: 11214, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295573.385680: bpf_trace_printk: port: 11215, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295573.385685: bpf_trace_printk: port: 11216, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295573.385690: bpf_trace_printk: port: 11217, total_metrics_size is 656 

