Linux 6.8.12+ (sendai) 	11/07/2025 	_x86_64_	(6 CPU)

01:32:38 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
01:32:39 PM     0   1946633    0.00    0.00    0.00    0.00    0.00     5  systemd-journal
01:32:39 PM   111   3366709    6.00    8.00    0.00    0.00   14.00     0  netdata
01:32:39 PM   111   3367089    0.00    0.00    0.00    0.00    0.00     0  bash
01:32:39 PM   111   3367112    0.00    0.00    0.00    0.00    0.00     0  NETWORK-VIEWER
01:32:39 PM   111   3367114    0.00    0.00    0.00    0.00    0.00     0  go.d.plugin
01:32:39 PM   111   3367115    0.00    0.00    0.00    0.00    0.00     0  ebpf.plugin
01:32:39 PM   111   3367119    0.00    0.00    0.00    0.00    0.00     0  debugfs.plugin
01:32:39 PM   111   3367123    0.00    0.00    0.00    0.00    0.00     0  sd-jrnl.plugin
01:32:39 PM   111   3367124    0.00    0.00    0.00    0.00    0.00     0  otel-plugin
01:32:39 PM   111   3367126    0.00    0.00    0.00    0.00    0.00     0  nfacct.plugin
01:32:39 PM   111   3367129    0.00    1.00    0.00    0.00    1.00     0  apps.plugin
01:32:39 PM  1000   3367320    9.00    0.00    0.00    0.00    9.00     1  ssh
01:32:39 PM  1000   3367321    0.00    0.00    0.00    0.00    0.00     2  sh

01:32:39 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
01:32:40 PM     0   1946633    0.00    0.00    0.00    0.00    0.00     5  systemd-journal
01:32:40 PM   111   3366709    2.00    5.00    0.00    0.00    7.00     0  netdata
01:32:40 PM   111   3367089    0.00    0.00    0.00    0.00    0.00     0  bash
01:32:40 PM   111   3367112    0.00    0.00    0.00    0.00    0.00     0  NETWORK-VIEWER
01:32:40 PM   111   3367114    1.00    0.00    0.00    0.00    1.00     0  go.d.plugin
01:32:40 PM   111   3367115    0.00    0.00    0.00    0.00    0.00     0  ebpf.plugin
01:32:40 PM   111   3367119    0.00    0.00    0.00    0.00    0.00     0  debugfs.plugin
01:32:40 PM   111   3367123    0.00    0.00    0.00    0.00    0.00     0  sd-jrnl.plugin
01:32:40 PM   111   3367124    0.00    0.00    0.00    0.00    0.00     0  otel-plugin
01:32:40 PM   111   3367126    0.00    0.00    0.00    0.00    0.00     0  nfacct.plugin
01:32:40 PM   111   3367129    1.00    0.00    0.00    0.00    1.00     0  apps.plugin
01:32:40 PM  1000   3367320    0.00    0.00    0.00    0.00    0.00     1  ssh
01:32:40 PM  1000   3367321    0.00    0.00    0.00    0.00    0.00     2  sh

01:32:40 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
01:32:41 PM     0   1946633    0.00    0.00    0.00    0.00    0.00     5  systemd-journal
01:32:41 PM   111   3366709    6.00    6.00    0.00    0.00   12.00     0  netdata
01:32:41 PM   111   3367089    0.00    0.00    0.00    0.00    0.00     0  bash
01:32:41 PM   111   3367112    0.00    0.00    0.00    0.00    0.00     0  NETWORK-VIEWER
01:32:41 PM   111   3367114    0.00    0.00    0.00    0.00    0.00     0  go.d.plugin
01:32:41 PM   111   3367115    0.00    0.00    0.00    0.00    0.00     0  ebpf.plugin
01:32:41 PM   111   3367119    0.00    0.00    0.00    0.00    0.00     0  debugfs.plugin
01:32:41 PM   111   3367123    0.00    0.00    0.00    0.00    0.00     0  sd-jrnl.plugin
01:32:41 PM   111   3367124    0.00    0.00    0.00    0.00    0.00     0  otel-plugin
01:32:41 PM   111   3367126    0.00    0.00    0.00    0.00    0.00     0  nfacct.plugin
01:32:41 PM   111   3367129    1.00    0.00    0.00    0.00    1.00     0  apps.plugin
01:32:41 PM  1000   3367320    0.00    0.00    0.00    0.00    0.00     1  ssh
01:32:41 PM  1000   3367321    0.00    0.00    0.00    0.00    0.00     2  sh

01:32:41 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
01:32:42 PM     0   1946633    0.00    0.00    0.00    0.00    0.00     5  systemd-journal
01:32:42 PM   111   3366709    7.00    4.00    0.00    0.00   11.00     0  netdata
01:32:42 PM   111   3367089    0.00    0.00    0.00    0.00    0.00     0  bash
01:32:42 PM   111   3367112    0.00    0.00    0.00    0.00    0.00     0  NETWORK-VIEWER
01:32:42 PM   111   3367114    0.00    0.00    0.00    0.00    0.00     0  go.d.plugin
01:32:42 PM   111   3367115    0.00    0.00    0.00    0.00    0.00     0  ebpf.plugin
01:32:42 PM   111   3367119    0.00    0.00    0.00    0.00    0.00     0  debugfs.plugin
01:32:42 PM   111   3367123    0.00    0.00    0.00    0.00    0.00     0  sd-jrnl.plugin
01:32:42 PM   111   3367124    0.00    0.00    0.00    0.00    0.00     0  otel-plugin
01:32:42 PM   111   3367126    0.00    0.00    0.00    0.00    0.00     0  nfacct.plugin
01:32:42 PM   111   3367129    0.00    1.00    0.00    0.00    1.00     0  apps.plugin
01:32:42 PM  1000   3367320    0.00    0.00    0.00    0.00    0.00     1  ssh
01:32:42 PM  1000   3367321    0.00    0.00    0.00    0.00    0.00     2  sh

01:32:42 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
01:32:43 PM     0   1946633    0.00    0.00    0.00    0.00    0.00     5  systemd-journal
01:32:43 PM   111   3366709    0.00    1.00    0.00    0.00    1.00     0  netdata
01:32:43 PM   111   3367089    0.00    0.00    0.00    0.00    0.00     0  bash
01:32:43 PM   111   3367112    0.00    0.00    0.00    0.00    0.00     0  NETWORK-VIEWER
01:32:43 PM   111   3367114    0.00    0.00    0.00    0.00    0.00     0  go.d.plugin
01:32:43 PM   111   3367115    0.00    0.00    0.00    0.00    0.00     0  ebpf.plugin
01:32:43 PM   111   3367119    0.00    0.00    0.00    0.00    0.00     0  debugfs.plugin
01:32:43 PM   111   3367123    0.00    0.00    0.00    0.00    0.00     0  sd-jrnl.plugin
01:32:43 PM   111   3367124    0.00    0.00    0.00    0.00    0.00     0  otel-plugin
01:32:43 PM   111   3367126    0.00    0.00    0.00    0.00    0.00     0  nfacct.plugin
01:32:43 PM   111   3367129    0.00    1.00    0.00    0.00    1.00     0  apps.plugin
01:32:43 PM  1000   3367320    0.00    0.00    0.00    0.00    0.00     1  ssh
01:32:43 PM  1000   3367321    0.00    0.00    0.00    0.00    0.00     2  sh

01:32:43 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
01:32:44 PM     0   1946633    0.00    0.00    0.00    0.00    0.00     5  systemd-journal
01:32:44 PM   111   3366709    1.00    0.00    0.00    0.00    1.00     0  netdata
01:32:44 PM   111   3367089    0.00    0.00    0.00    0.00    0.00     0  bash
01:32:44 PM   111   3367112    0.00    0.00    0.00    0.00    0.00     0  NETWORK-VIEWER
01:32:44 PM   111   3367114    0.00    0.00    0.00    0.00    0.00     0  go.d.plugin
01:32:44 PM   111   3367115    0.00    0.00    0.00    0.00    0.00     0  ebpf.plugin
01:32:44 PM   111   3367119    0.00    0.00    0.00    0.00    0.00     0  debugfs.plugin
01:32:44 PM   111   3367123    0.00    0.00    0.00    0.00    0.00     0  sd-jrnl.plugin
01:32:44 PM   111   3367124    0.00    0.00    0.00    0.00    0.00     0  otel-plugin
01:32:44 PM   111   3367126    0.00    0.00    0.00    0.00    0.00     0  nfacct.plugin
01:32:44 PM   111   3367129    0.00    0.00    0.00    0.00    0.00     0  apps.plugin
01:32:44 PM  1000   3367320    0.00    0.00    0.00    0.00    0.00     1  ssh
01:32:44 PM  1000   3367321    0.00    0.00    0.00    0.00    0.00     2  sh

01:32:44 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
01:32:45 PM     0   1946633    0.00    0.00    0.00    0.00    0.00     5  systemd-journal
01:32:45 PM   111   3366709    0.00    0.00    0.00    0.00    0.00     0  netdata
01:32:45 PM   111   3367089    0.00    0.00    0.00    0.00    0.00     0  bash
01:32:45 PM   111   3367112    0.00    0.00    0.00    0.00    0.00     0  NETWORK-VIEWER
01:32:45 PM   111   3367114    0.00    0.00    0.00    0.00    0.00     0  go.d.plugin
01:32:45 PM   111   3367115    0.00    0.00    0.00    0.00    0.00     0  ebpf.plugin
01:32:45 PM   111   3367119    0.00    0.00    0.00    0.00    0.00     0  debugfs.plugin
01:32:45 PM   111   3367123    0.00    0.00    0.00    0.00    0.00     0  sd-jrnl.plugin
01:32:45 PM   111   3367124    0.00    0.00    0.00    0.00    0.00     0  otel-plugin
01:32:45 PM   111   3367126    0.00    0.00    0.00    0.00    0.00     0  nfacct.plugin
01:32:45 PM   111   3367129    1.00    1.00    0.00    0.00    2.00     0  apps.plugin
01:32:45 PM  1000   3367320    0.00    0.00    0.00    0.00    0.00     1  ssh
01:32:45 PM  1000   3367321    0.00    0.00    0.00    0.00    0.00     2  sh

01:32:45 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
01:32:46 PM     0   1946633    0.00    0.00    0.00    0.00    0.00     5  systemd-journal
01:32:46 PM   111   3366709    0.00    0.00    0.00    0.00    0.00     0  netdata
01:32:46 PM   111   3367089    0.00    0.00    0.00    0.00    0.00     0  bash
01:32:46 PM   111   3367112    0.00    0.00    0.00    0.00    0.00     0  NETWORK-VIEWER
01:32:46 PM   111   3367114    0.00    0.00    0.00    0.00    0.00     0  go.d.plugin
01:32:46 PM   111   3367115    0.00    0.00    0.00    0.00    0.00     0  ebpf.plugin
01:32:46 PM   111   3367119    0.00    0.00    0.00    0.00    0.00     0  debugfs.plugin
01:32:46 PM   111   3367123    0.00    0.00    0.00    0.00    0.00     0  sd-jrnl.plugin
01:32:46 PM   111   3367124    0.00    0.00    0.00    0.00    0.00     0  otel-plugin
01:32:46 PM   111   3367126    0.00    0.00    0.00    0.00    0.00     0  nfacct.plugin
01:32:46 PM   111   3367129    1.00    0.00    0.00    0.00    1.00     0  apps.plugin
01:32:46 PM  1000   3367320    0.00    0.00    0.00    0.00    0.00     1  ssh
01:32:46 PM  1000   3367321    0.00    0.00    0.00    0.00    0.00     2  sh

01:32:46 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
01:32:47 PM     0   1946633    0.00    0.00    0.00    0.00    0.00     5  systemd-journal
01:32:47 PM   111   3366709    1.00    1.00    0.00    0.00    2.00     0  netdata
01:32:47 PM   111   3367089    0.00    1.00    0.00    0.00    1.00     0  bash
01:32:47 PM   111   3367112    0.00    0.00    0.00    0.00    0.00     0  NETWORK-VIEWER
01:32:47 PM   111   3367114    0.00    0.00    0.00    0.00    0.00     0  go.d.plugin
01:32:47 PM   111   3367115    0.00    0.00    0.00    0.00    0.00     0  ebpf.plugin
01:32:47 PM   111   3367119    0.00    0.00    0.00    0.00    0.00     0  debugfs.plugin
01:32:47 PM   111   3367123    0.00    0.00    0.00    0.00    0.00     0  sd-jrnl.plugin
01:32:47 PM   111   3367124    0.00    0.00    0.00    0.00    0.00     0  otel-plugin
