Linux 6.8.12+ (sendai) 	11/09/2025 	_x86_64_	(6 CPU)

01:46:46 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
01:46:47 AM   111    322027    9.00    6.00    0.00    0.00   15.00     0  netdata
01:46:47 AM   111    322405    0.00    0.00    0.00    0.00    0.00     0  bash
01:46:47 AM   111    322419    0.00    0.00    0.00    0.00    0.00     0  NETWORK-VIEWER
01:46:47 AM   111    322425    0.00    0.00    0.00    0.00    0.00     0  nfacct.plugin
01:46:47 AM   111    322426    0.00    0.00    0.00    0.00    0.00     0  go.d.plugin
01:46:47 AM   111    322429    0.00    0.00    0.00    0.00    0.00     0  sd-jrnl.plugin
01:46:47 AM   111    322434    0.00    0.00    0.00    0.00    0.00     0  ebpf.plugin
01:46:47 AM   111    322441    0.00    0.00    0.00    0.00    0.00     0  otel-plugin
01:46:47 AM   111    322442    0.00    0.00    0.00    0.00    0.00     0  debugfs.plugin
01:46:47 AM   111    322451    1.00    1.00    0.00    0.00    2.00     0  apps.plugin
01:46:47 AM  1000    322638    9.00    0.00    0.00    0.00    9.00     1  ssh
01:46:47 AM  1000    322639    0.00    0.00    0.00    0.00    0.00     3  sh
01:46:47 AM     0   1946633    0.00    0.00    0.00    0.00    0.00     4  systemd-journal

01:46:47 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
01:46:48 AM   111    322027    0.00    7.00    0.00    0.00    7.00     0  netdata
01:46:48 AM   111    322405    0.00    0.00    0.00    0.00    0.00     0  bash
01:46:48 AM   111    322419    0.00    0.00    0.00    0.00    0.00     0  NETWORK-VIEWER
01:46:48 AM   111    322425    0.00    0.00    0.00    0.00    0.00     0  nfacct.plugin
01:46:48 AM   111    322426    0.00    0.00    0.00    0.00    0.00     0  go.d.plugin
01:46:48 AM   111    322429    0.00    0.00    0.00    0.00    0.00     0  sd-jrnl.plugin
01:46:48 AM   111    322434    0.00    0.00    0.00    0.00    0.00     0  ebpf.plugin
01:46:48 AM   111    322441    0.00    0.00    0.00    0.00    0.00     0  otel-plugin
