Linux 6.8.12+ (sendai) 	11/09/2025 	_x86_64_	(6 CPU)

02:26:53 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
02:27:33 AM   111    352499    0.83    1.35    0.00    0.00    2.17     0  netdata
02:27:33 AM   111    352876    0.05    0.10    0.00    0.00    0.15     0  bash
02:27:33 AM   111    352897    0.00    0.03    0.00    0.00    0.03     0  sd-jrnl.plugin
02:27:33 AM   111    352900    0.10    0.03    0.00    0.00    0.12     0  go.d.plugin
02:27:33 AM   111    352901    0.00    0.00    0.00    0.00    0.00     0  nfacct.plugin
02:27:33 AM   111    352903    0.00    0.00    0.00    0.00    0.00     0  otel-plugin
02:27:33 AM   111    352906    0.00    0.00    0.00    0.00    0.00     0  ebpf.plugin
02:27:33 AM   111    352909    0.30    0.60    0.00    0.00    0.90     0  apps.plugin
02:27:33 AM   111    352914    0.00    0.00    0.00    0.00    0.00     0  NETWORK-VIEWER
02:27:33 AM   111    352923    0.03    0.03    0.00    0.00    0.05     0  debugfs.plugin
02:27:33 AM  1000    353108    0.20    0.00    0.00    0.00    0.20     5  ssh
02:27:33 AM  1000    353109    0.00    0.00    0.00    0.00    0.00     2  sh
02:27:33 AM     0   1946633    0.00    0.00    0.00    0.00    0.00     2  systemd-journal

Average:      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
Average:      111    352499    0.83    1.35    0.00    0.00    2.17     -  netdata
Average:      111    352876    0.05    0.10    0.00    0.00    0.15     -  bash
Average:      111    352897    0.00    0.03    0.00    0.00    0.03     -  sd-jrnl.plugin
Average:      111    352900    0.10    0.03    0.00    0.00    0.12     -  go.d.plugin
Average:      111    352901    0.00    0.00    0.00    0.00    0.00     -  nfacct.plugin
Average:      111    352903    0.00    0.00    0.00    0.00    0.00     -  otel-plugin
Average:      111    352906    0.00    0.00    0.00    0.00    0.00     -  ebpf.plugin
Average:      111    352909    0.30    0.60    0.00    0.00    0.90     -  apps.plugin
Average:      111    352914    0.00    0.00    0.00    0.00    0.00     -  NETWORK-VIEWER
Average:      111    352923    0.03    0.03    0.00    0.00    0.05     -  debugfs.plugin
Average:     1000    353108    0.20    0.00    0.00    0.00    0.20     -  ssh
Average:     1000    353109    0.00    0.00    0.00    0.00    0.00     -  sh
Average:        0   1946633    0.00    0.00    0.00    0.00    0.00     -  systemd-journal
