              tc-362135  [000] ..s1. 1470486.172181: bpf_trace_printk: Elapsed cycles are 5848
          <idle>-0       [000] ..s2. 1470493.854749: bpf_trace_printk: Elapsed cycles are 5424
          <idle>-0       [000] ..s2. 1470494.854872: bpf_trace_printk: Elapsed cycles are 5238
          <idle>-0       [000] ..s2. 1470495.855552: bpf_trace_printk: Elapsed cycles are 5478
          <idle>-0       [000] ..s2. 1470496.855664: bpf_trace_printk: Elapsed cycles are 5288
          <idle>-0       [000] ..s2. 1470497.855775: bpf_trace_printk: Elapsed cycles are 5264
          <idle>-0       [000] ..s2. 1470498.855884: bpf_trace_printk: Elapsed cycles are 6818
          <idle>-0       [000] ..s2. 1470499.855994: bpf_trace_printk: Elapsed cycles are 5454
          <idle>-0       [000] ..s2. 1470500.856104: bpf_trace_printk: Elapsed cycles are 5174
          <idle>-0       [000] ..s2. 1470501.856212: bpf_trace_printk: Elapsed cycles are 6200
          <idle>-0       [000] ..s2. 1470502.856323: bpf_trace_printk: Elapsed cycles are 5352
          <idle>-0       [000] ..s2. 1470503.856443: bpf_trace_printk: Elapsed cycles are 5276
          <idle>-0       [000] ..s2. 1470504.856557: bpf_trace_printk: Elapsed cycles are 5414
          <idle>-0       [000] ..s2. 1470505.856668: bpf_trace_printk: Elapsed cycles are 5334
          <idle>-0       [000] ..s2. 1470506.856780: bpf_trace_printk: Elapsed cycles are 5316
          <idle>-0       [000] ..s2. 1470507.856891: bpf_trace_printk: Elapsed cycles are 5184
          <idle>-0       [000] ..s2. 1470508.857005: bpf_trace_printk: Elapsed cycles are 5308
          <idle>-0       [000] ..s2. 1470509.857119: bpf_trace_printk: Elapsed cycles are 5240
          <idle>-0       [000] ..s2. 1470510.857231: bpf_trace_printk: Elapsed cycles are 5386
          <idle>-0       [000] ..s2. 1470511.857342: bpf_trace_printk: Elapsed cycles are 6036
          <idle>-0       [000] ..s2. 1470512.857455: bpf_trace_printk: Elapsed cycles are 5380
          <idle>-0       [000] ..s2. 1470513.857565: bpf_trace_printk: Elapsed cycles are 5530
          <idle>-0       [000] ..s2. 1470514.857676: bpf_trace_printk: Elapsed cycles are 6050
          <idle>-0       [000] ..s2. 1470515.857790: bpf_trace_printk: Elapsed cycles are 5766
          <idle>-0       [000] ..s2. 1470516.857899: bpf_trace_printk: Elapsed cycles are 5696
          <idle>-0       [000] ..s2. 1470517.858008: bpf_trace_printk: Elapsed cycles are 6310
