Linux 6.8.12+ (sendai) 	11/09/2025 	_x86_64_	(6 CPU)

03:31:13 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
03:31:53 AM   111    402542    0.95    1.38    0.00    0.00    2.33     0  netdata
03:31:53 AM   111    402919    0.07    0.07    0.00    0.03    0.15     0  bash
03:31:53 AM   111    402938    0.22    0.73    0.00    0.03    0.95     0  apps.plugin
03:31:53 AM   111    402940    0.03    0.03    0.00    0.00    0.05     0  debugfs.plugin
03:31:53 AM   111    402943    0.00    0.00    0.00    0.00    0.00     0  ebpf.plugin
03:31:53 AM   111    402944    0.00    0.00    0.00    0.00    0.00     0  sd-jrnl.plugin
03:31:53 AM   111    402945    0.00    0.00    0.00    0.00    0.00     0  otel-plugin
03:31:53 AM   111    402947    0.12    0.05    0.00    0.00    0.18     0  go.d.plugin
03:31:53 AM   111    402949    0.00    0.00    0.00    0.00    0.00     0  nfacct.plugin
03:31:53 AM   111    402950    0.00    0.00    0.00    0.00    0.00     0  NETWORK-VIEWER
03:31:53 AM  1000    403151    0.20    0.00    0.00    0.00    0.20     1  ssh
03:31:53 AM  1000    403152    0.00    0.00    0.00    0.00    0.00     3  sh
03:31:53 AM     0   1946633    0.00    0.00    0.00    0.00    0.00     1  systemd-journal

Average:      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
Average:      111    402542    0.95    1.38    0.00    0.00    2.33     -  netdata
Average:      111    402919    0.07    0.07    0.00    0.03    0.15     -  bash
Average:      111    402938    0.22    0.73    0.00    0.03    0.95     -  apps.plugin
Average:      111    402940    0.03    0.03    0.00    0.00    0.05     -  debugfs.plugin
Average:      111    402943    0.00    0.00    0.00    0.00    0.00     -  ebpf.plugin
Average:      111    402944    0.00    0.00    0.00    0.00    0.00     -  sd-jrnl.plugin
Average:      111    402945    0.00    0.00    0.00    0.00    0.00     -  otel-plugin
Average:      111    402947    0.12    0.05    0.00    0.00    0.18     -  go.d.plugin
Average:      111    402949    0.00    0.00    0.00    0.00    0.00     -  nfacct.plugin
Average:      111    402950    0.00    0.00    0.00    0.00    0.00     -  NETWORK-VIEWER
Average:     1000    403151    0.20    0.00    0.00    0.00    0.20     -  ssh
Average:     1000    403152    0.00    0.00    0.00    0.00    0.00     -  sh
Average:        0   1946633    0.00    0.00    0.00    0.00    0.00     -  systemd-journal
