Linux 6.8.12+ (sendai) 	11/13/2025 	_x86_64_	(6 CPU)

11:23:48 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
11:24:28 AM     0       660    0.00    0.03    0.00    0.00    0.03     5  systemd-journal
11:24:28 AM   111    703020    2.80    1.30    0.00    0.80    4.10     0  netdata
11:24:28 AM   111    703398    0.05    0.10    0.00    0.05    0.15     0  bash
11:24:28 AM   111    703419    0.00    0.00    0.00    0.00    0.00     0  otel-plugin
11:24:28 AM   111    703421    0.18    0.85    0.00    0.05    1.03     0  apps.plugin
11:24:28 AM   111    703422    0.00    0.00    0.00    0.00    0.00     0  nfacct.plugin
11:24:28 AM   111    703427    0.00    0.00    0.00    0.00    0.00     0  NETWORK-VIEWER
11:24:28 AM   111    703430    0.00    0.05    0.00    0.00    0.05     0  debugfs.plugin
11:24:28 AM   111    703432    0.00    0.00    0.00    0.00    0.00     0  ebpf.plugin
11:24:28 AM   111    703434    0.00    0.00    0.00    0.00    0.00     0  sd-jrnl.plugin
11:24:28 AM   111    703435    0.12    0.03    0.00    0.00    0.15     0  go.d.plugin
11:24:28 AM  1000    703626    0.18    0.00    0.00    0.00    0.18     5  ssh
11:24:28 AM  1000    703627    0.00    0.00    0.00    0.00    0.00     1  sh

Average:      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
Average:        0       660    0.00    0.03    0.00    0.00    0.03     -  systemd-journal
Average:      111    703020    2.80    1.30    0.00    0.80    4.10     -  netdata
Average:      111    703398    0.05    0.10    0.00    0.05    0.15     -  bash
Average:      111    703419    0.00    0.00    0.00    0.00    0.00     -  otel-plugin
Average:      111    703421    0.18    0.85    0.00    0.05    1.03     -  apps.plugin
Average:      111    703422    0.00    0.00    0.00    0.00    0.00     -  nfacct.plugin
Average:      111    703427    0.00    0.00    0.00    0.00    0.00     -  NETWORK-VIEWER
Average:      111    703430    0.00    0.05    0.00    0.00    0.05     -  debugfs.plugin
Average:      111    703432    0.00    0.00    0.00    0.00    0.00     -  ebpf.plugin
Average:      111    703434    0.00    0.00    0.00    0.00    0.00     -  sd-jrnl.plugin
Average:      111    703435    0.12    0.03    0.00    0.00    0.15     -  go.d.plugin
Average:     1000    703626    0.18    0.00    0.00    0.00    0.18     -  ssh
Average:     1000    703627    0.00    0.00    0.00    0.00    0.00     -  sh
