Linux 6.8.12+ (sendai) 	11/27/2025 	_x86_64_	(6 CPU)

09:02:58 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
09:03:38 PM     0      9965    0.00    0.03    0.00    0.00    0.03     0  systemd-journal
09:03:38 PM   111   3743989   12.55    6.55    0.00    0.00   19.10     3  netdata
09:03:38 PM   111   3744361    0.12    0.07    0.00    0.00    0.20     2  bash
09:03:38 PM   111   3744383    0.12    0.00    0.00    0.00    0.12     3  go.d.plugin
09:03:38 PM   111   3744388    0.00    0.00    0.00    0.00    0.00     0  otel-plugin
09:03:38 PM  1000   3744560    0.20    0.00    0.00    0.00    0.20     5  ssh
09:03:38 PM  1000   3744561    0.00    0.00    0.00    0.00    0.00     5  sh

Average:      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
Average:        0      9965    0.00    0.03    0.00    0.00    0.03     -  systemd-journal
Average:      111   3743989   12.55    6.55    0.00    0.00   19.10     -  netdata
Average:      111   3744361    0.12    0.07    0.00    0.00    0.20     -  bash
Average:      111   3744383    0.12    0.00    0.00    0.00    0.12     -  go.d.plugin
Average:      111   3744388    0.00    0.00    0.00    0.00    0.00     -  otel-plugin
Average:     1000   3744560    0.20    0.00    0.00    0.00    0.20     -  ssh
Average:     1000   3744561    0.00    0.00    0.00    0.00    0.00     -  sh
