Linux 6.8.12+ (sendai) 	11/28/2025 	_x86_64_	(6 CPU)

04:48:11 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
04:48:51 PM     0      9965    0.00    0.03    0.00    0.00    0.03     4  systemd-journal
04:48:51 PM   111    315993    2.38    1.47    0.00    0.00    3.85     0  netdata
04:48:51 PM   111    316361    0.07    0.10    0.00    0.00    0.18     2  bash
04:48:51 PM   111    316386    0.15    0.05    0.00    0.00    0.20     3  go.d.plugin
04:48:51 PM   111    316388    0.00    0.00    0.00    0.00    0.00     2  otel-plugin
04:48:51 PM  1000    316572    0.18    0.00    0.00    0.00    0.18     5  ssh
04:48:51 PM  1000    316573    0.00    0.00    0.00    0.00    0.00     2  sh

Average:      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
Average:        0      9965    0.00    0.03    0.00    0.00    0.03     -  systemd-journal
Average:      111    315993    2.38    1.47    0.00    0.00    3.85     -  netdata
Average:      111    316361    0.07    0.10    0.00    0.00    0.18     -  bash
Average:      111    316386    0.15    0.05    0.00    0.00    0.20     -  go.d.plugin
Average:      111    316388    0.00    0.00    0.00    0.00    0.00     -  otel-plugin
Average:     1000    316572    0.18    0.00    0.00    0.00    0.18     -  ssh
Average:     1000    316573    0.00    0.00    0.00    0.00    0.00     -  sh
