Linux 6.8.12+ (sendai) 	11/28/2025 	_x86_64_	(6 CPU)

04:57:53 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
04:58:33 PM     0      9965    0.00    0.03    0.00    0.00    0.03     1  systemd-journal
04:58:33 PM   111    330373    2.80    1.93    0.00    0.00    4.72     3  netdata
04:58:33 PM   111    330745    0.07    0.10    0.00    0.00    0.18     2  bash
04:58:33 PM   111    330767    0.00    0.00    0.00    0.00    0.00     2  otel-plugin
04:58:33 PM   111    330771    0.18    0.05    0.00    0.00    0.22     0  go.d.plugin
04:58:33 PM  1000    330952    0.20    0.00    0.00    0.00    0.20     0  ssh
04:58:33 PM  1000    330953    0.00    0.00    0.00    0.00    0.00     2  sh

Average:      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
Average:        0      9965    0.00    0.03    0.00    0.00    0.03     -  systemd-journal
Average:      111    330373    2.80    1.93    0.00    0.00    4.72     -  netdata
Average:      111    330745    0.07    0.10    0.00    0.00    0.18     -  bash
Average:      111    330767    0.00    0.00    0.00    0.00    0.00     -  otel-plugin
Average:      111    330771    0.18    0.05    0.00    0.00    0.22     -  go.d.plugin
Average:     1000    330952    0.20    0.00    0.00    0.00    0.20     -  ssh
Average:     1000    330953    0.00    0.00    0.00    0.00    0.00     -  sh
