# metric=kernel, CPU utilization (%)
# instances, interval, xmonitor_cpu_pct, netdata_cpu_pct
1,1,0.001314,2.930000
1,0.5,0.002860,2.500000
1,0.001,0.601817,22.150000
2,1,0.001534,2.500000
2,0.5,0.002671,2.500000
2,0.001,0.607186,22.250000
3,1,0.001452,2.750000
3,0.5,0.002763,2.600000
3,0.001,0.624980,22.380000
4,1,0.001396,2.300000
4,0.5,0.002541,2.550000
4,0.001,0.600857,22.620000
5,1,0.001559,2.600000
5,0.5,0.002798,4.720000
5,0.001,0.625547,22.270000
6,1,0.001501,2.570000
6,0.5,0.002584,2.620000
6,0.001,0.603511,22.300000
7,1,0.001042,2.620000
7,0.5,0.002508,2.350000
7,0.001,0.587639,22.430000
8,1,0.001552,2.600000
8,0.5,0.002958,2.670000
8,0.001,0.595532,22.350000
9,1,0.001467,2.650000
9,0.5,0.002973,2.670000
9,0.001,0.626460,22.320000
10,1,0.001530,2.670000
10,0.5,0.002755,2.670000
10,0.001,0.615923,22.480000
11,1,0.001570,2.730000
11,0.5,0.002818,2.770000
11,0.001,0.601702,22.400000
12,1,0.001548,2.670000
12,0.5,0.002844,2.730000
12,0.001,0.628081,22.350000
