# metric=user, CPU utilization (%)
# instances, interval, xmonitor_cpu_pct, netdata_cpu_pct
1,1,0.000130,3.200000
1,0.5,0.000221,3.100000
1,0.001,0.039083,18.680000
2,1,0.000188,3.510000
2,0.5,0.000313,3.660000
2,0.001,0.055045,19.330000
3,1,0.000231,3.700000
3,0.5,0.000425,4.000000
3,0.001,0.074462,19.660000
4,1,0.000277,4.410000
4,0.5,0.000528,4.500000
4,0.001,0.085736,19.080000
5,1,0.000386,3.300000
5,0.5,0.000668,3.260000
5,0.001,0.116407,19.450000
6,1,0.000375,3.950000
6,0.5,0.000729,3.950000
6,0.001,0.125720,20.080000
7,1,0.000444,3.770000
7,0.5,0.000867,4.050000
7,0.001,0.151161,19.880000
8,1,0.000504,5.420000
8,0.5,0.000884,4.250000
8,0.001,0.158885,20.020000
9,1,0.000577,4.390000
9,0.5,0.001043,4.370000
9,0.001,0.182138,20.360000
10,1,0.000593,3.450000
10,0.5,0.001097,4.850000
10,0.001,0.201109,21.350000
11,1,0.000655,4.940000
11,0.5,0.001223,3.970000
11,0.001,0.218617,20.940000
12,1,0.000731,3.600000
12,0.5,0.001381,3.870000
12,0.001,0.246607,20.970000
