Linux 6.8.12+ (sendai) 	12/07/2025 	_x86_64_	(6 CPU)

04:50:28 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
04:51:08 PM     0     12006    0.00    0.00    0.00    0.00    0.00     2  systemd-journal
04:51:08 PM   111   1854528    0.45    0.12    0.00    0.00    0.57     0  netdata
04:51:08 PM   111   1854897    0.07    0.10    0.00    0.00    0.18     0  bash
04:51:08 PM   111   1854921    0.00    0.00    0.00    0.00    0.00     3  otel-plugin
04:51:08 PM  1000   1855293    0.20    0.00    0.00    0.00    0.20     2  ssh
04:51:08 PM  1000   1855294    0.00    0.00    0.00    0.00    0.00     0  sh

Average:      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
Average:        0     12006    0.00    0.00    0.00    0.00    0.00     -  systemd-journal
Average:      111   1854528    0.45    0.12    0.00    0.00    0.57     -  netdata
Average:      111   1854897    0.07    0.10    0.00    0.00    0.18     -  bash
Average:      111   1854921    0.00    0.00    0.00    0.00    0.00     -  otel-plugin
Average:     1000   1855293    0.20    0.00    0.00    0.00    0.20     -  ssh
Average:     1000   1855294    0.00    0.00    0.00    0.00    0.00     -  sh
