Linux 6.8.12+ (sendai) 	12/07/2025 	_x86_64_	(6 CPU)

04:52:06 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
04:52:46 PM     0     12006    0.00    0.00    0.00    0.00    0.00     0  systemd-journal
04:52:46 PM   111   1855971    0.60    0.15    0.00    0.00    0.75     2  netdata
04:52:46 PM   111   1856351    0.10    0.07    0.00    0.00    0.18     2  bash
04:52:46 PM   111   1856368    0.12    0.05    0.00    0.00    0.18     4  go.d.plugin
04:52:46 PM   111   1856369    0.00    0.00    0.00    0.00    0.00     4  otel-plugin
04:52:46 PM  1000   1856658    0.00    0.00    0.00    0.00    0.00     5  ssh
04:52:46 PM  1000   1857169    0.00    0.00    0.00    0.00    0.00     3  sh

Average:      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
Average:        0     12006    0.00    0.00    0.00    0.00    0.00     -  systemd-journal
Average:      111   1855971    0.60    0.15    0.00    0.00    0.75     -  netdata
Average:      111   1856351    0.10    0.07    0.00    0.00    0.18     -  bash
Average:      111   1856368    0.12    0.05    0.00    0.00    0.18     -  go.d.plugin
Average:      111   1856369    0.00    0.00    0.00    0.00    0.00     -  otel-plugin
Average:     1000   1856658    0.00    0.00    0.00    0.00    0.00     -  ssh
Average:     1000   1857169    0.00    0.00    0.00    0.00    0.00     -  sh
