            sshd-692     [004] ..s1. 173644.212029: bpf_trace_printk: Elapsed cycles are 37022
          <idle>-0       [004] ..s2. 173644.212109: bpf_trace_printk: Elapsed cycles are 24380
          <idle>-0       [004] ..s2. 173645.212806: bpf_trace_printk: Elapsed cycles are 57158
          <idle>-0       [003] ..s2. 173645.813297: bpf_trace_printk: ipv4 metrics fail: metrics size is -22

          <idle>-0       [004] .Ns2. 173646.212865: bpf_trace_printk: Elapsed cycles are 58318
          <idle>-0       [004] .Ns2. 173647.212923: bpf_trace_printk: Elapsed cycles are 59446
          <idle>-0       [004] .Ns2. 173648.212980: bpf_trace_printk: Elapsed cycles are 60114
          <idle>-0       [004] .Ns2. 173649.213035: bpf_trace_printk: Elapsed cycles are 61454
          <idle>-0       [004] .Ns2. 173650.213091: bpf_trace_printk: Elapsed cycles are 59384
          <idle>-0       [004] .Ns2. 173651.213147: bpf_trace_printk: Elapsed cycles are 58710
          <idle>-0       [004] .Ns2. 173652.213209: bpf_trace_printk: Elapsed cycles are 60180
          <idle>-0       [004] ..s2. 173653.213261: bpf_trace_printk: Elapsed cycles are 35932
          <idle>-0       [004] .Ns2. 173654.213326: bpf_trace_printk: Elapsed cycles are 59472
          <idle>-0       [004] .Ns2. 173655.213382: bpf_trace_printk: Elapsed cycles are 58908
          <idle>-0       [004] ..s2. 173656.213434: bpf_trace_printk: Elapsed cycles are 39136
          <idle>-0       [004] .Ns2. 173657.213494: bpf_trace_printk: Elapsed cycles are 59278
          <idle>-0       [004] .Ns2. 173658.213550: bpf_trace_printk: Elapsed cycles are 60518
          <idle>-0       [004] ..s2. 173659.213604: bpf_trace_printk: Elapsed cycles are 59168
          <idle>-0       [004] ..s2. 173660.213661: bpf_trace_printk: Elapsed cycles are 61122
          <idle>-0       [004] ..s2. 173661.213715: bpf_trace_printk: Elapsed cycles are 57692
          <idle>-0       [004] ..s2. 173662.213771: bpf_trace_printk: Elapsed cycles are 58748
          <idle>-0       [004] ..s2. 173663.213826: bpf_trace_printk: Elapsed cycles are 57064
          <idle>-0       [004] ..s2. 173664.213885: bpf_trace_printk: Elapsed cycles are 57460
          <idle>-0       [004] ..s2. 173665.213937: bpf_trace_printk: Elapsed cycles are 56368
          <idle>-0       [004] ..s2. 173666.213995: bpf_trace_printk: Elapsed cycles are 59812
          <idle>-0       [004] ..s2. 173667.214058: bpf_trace_printk: Elapsed cycles are 56502
          <idle>-0       [004] ..s2. 173668.214117: bpf_trace_printk: Elapsed cycles are 58158
          <idle>-0       [004] ..s2. 173669.214174: bpf_trace_printk: Elapsed cycles are 57796
          <idle>-0       [004] ..s2. 173670.214230: bpf_trace_printk: Elapsed cycles are 58182
          <idle>-0       [004] ..s2. 173671.214286: bpf_trace_printk: Elapsed cycles are 56302
          <idle>-0       [004] ..s2. 173672.214344: bpf_trace_printk: Elapsed cycles are 58270
          <idle>-0       [004] ..s2. 173673.214398: bpf_trace_printk: Elapsed cycles are 58840
          <idle>-0       [004] ..s2. 173674.214454: bpf_trace_printk: Elapsed cycles are 58086
          <idle>-0       [004] ..s2. 173675.214509: bpf_trace_printk: Elapsed cycles are 58012
          <idle>-0       [004] ..s2. 173676.214570: bpf_trace_printk: Elapsed cycles are 59486
          <idle>-0       [004] ..s2. 173677.214624: bpf_trace_printk: Elapsed cycles are 56534
          <idle>-0       [004] ..s2. 173678.214679: bpf_trace_printk: Elapsed cycles are 57956
          <idle>-0       [004] ..s2. 173679.214733: bpf_trace_printk: Elapsed cycles are 55196
          <idle>-0       [004] ..s2. 173680.214794: bpf_trace_printk: Elapsed cycles are 57948
          <idle>-0       [004] ..s2. 173681.214850: bpf_trace_printk: Elapsed cycles are 56838
          <idle>-0       [004] ..s2. 173682.214905: bpf_trace_printk: Elapsed cycles are 58472
          <idle>-0       [004] ..s2. 173683.214959: bpf_trace_printk: Elapsed cycles are 58752
          <idle>-0       [004] ..s2. 173684.215013: bpf_trace_printk: Elapsed cycles are 57586
          <idle>-0       [004] ..s2. 173685.215069: bpf_trace_printk: Elapsed cycles are 59624
          <idle>-0       [004] ..s2. 173686.215125: bpf_trace_printk: Elapsed cycles are 58202
          <idle>-0       [004] ..s2. 173687.215183: bpf_trace_printk: Elapsed cycles are 60710
          <idle>-0       [004] ..s2. 173688.215238: bpf_trace_printk: Elapsed cycles are 59628
          <idle>-0       [004] ..s2. 173689.215284: bpf_trace_printk: Elapsed cycles are 35506
          <idle>-0       [004] ..s2. 173690.215347: bpf_trace_printk: Elapsed cycles are 59098
          <idle>-0       [004] ..s2. 173691.215406: bpf_trace_printk: Elapsed cycles are 60724
          <idle>-0       [004] ..s2. 173692.215460: bpf_trace_printk: Elapsed cycles are 57798
          <idle>-0       [004] ..s2. 173693.215516: bpf_trace_printk: Elapsed cycles are 58488
          <idle>-0       [004] ..s2. 173694.215570: bpf_trace_printk: Elapsed cycles are 56836
          <idle>-0       [004] ..s2. 173695.215626: bpf_trace_printk: Elapsed cycles are 58264
          <idle>-0       [004] ..s2. 173696.215681: bpf_trace_printk: Elapsed cycles are 57252
          <idle>-0       [004] ..s2. 173697.215730: bpf_trace_printk: Elapsed cycles are 35836
          <idle>-0       [004] ..s2. 173698.215792: bpf_trace_printk: Elapsed cycles are 58130
          <idle>-0       [004] ..s2. 173699.215848: bpf_trace_printk: Elapsed cycles are 57398
          <idle>-0       [004] ..s2. 173700.215904: bpf_trace_printk: Elapsed cycles are 58598
          <idle>-0       [004] ..s2. 173701.215960: bpf_trace_printk: Elapsed cycles are 56434
          <idle>-0       [004] ..s2. 173702.216015: bpf_trace_printk: Elapsed cycles are 56554
          <idle>-0       [004] ..s2. 173703.216072: bpf_trace_printk: Elapsed cycles are 56540
          <idle>-0       [004] .Ns2. 173704.216131: bpf_trace_printk: Elapsed cycles are 60240
          <idle>-0       [004] .Ns2. 173705.216878: bpf_trace_printk: Elapsed cycles are 58234
          <idle>-0       [004] .Ns2. 173706.216934: bpf_trace_printk: Elapsed cycles are 58886
          <idle>-0       [004] .Ns2. 173707.216990: bpf_trace_printk: Elapsed cycles are 60482
          <idle>-0       [004] .Ns2. 173708.217047: bpf_trace_printk: Elapsed cycles are 60762
          <idle>-0       [004] ..s2. 173709.217094: bpf_trace_printk: Elapsed cycles are 34816
          <idle>-0       [003] ..s2. 173709.640863: bpf_trace_printk: ipv4 metrics fail: metrics size is -22

          <idle>-0       [004] ..s2. 173710.217157: bpf_trace_printk: Elapsed cycles are 56404
          <idle>-0       [004] ..s2. 173711.217216: bpf_trace_printk: Elapsed cycles are 58472
          <idle>-0       [004] ..s2. 173712.217273: bpf_trace_printk: Elapsed cycles are 58050
          <idle>-0       [004] ..s2. 173713.217326: bpf_trace_printk: Elapsed cycles are 56326
          <idle>-0       [004] ..s2. 173714.217382: bpf_trace_printk: Elapsed cycles are 55684
          <idle>-0       [004] ..s2. 173715.217439: bpf_trace_printk: Elapsed cycles are 58642
          <idle>-0       [004] ..s2. 173716.217496: bpf_trace_printk: Elapsed cycles are 60440
          <idle>-0       [004] ..s2. 173717.217552: bpf_trace_printk: Elapsed cycles are 56822
          <idle>-0       [004] ..s2. 173718.217610: bpf_trace_printk: Elapsed cycles are 59084
          <idle>-0       [004] ..s2. 173719.217666: bpf_trace_printk: Elapsed cycles are 58450
          <idle>-0       [004] ..s2. 173720.217717: bpf_trace_printk: Elapsed cycles are 37972
          <idle>-0       [004] ..s2. 173721.217777: bpf_trace_printk: Elapsed cycles are 57606
          <idle>-0       [004] ..s2. 173722.217831: bpf_trace_printk: Elapsed cycles are 55518
            nvim-1853531 [004] ..s1. 173723.217881: bpf_trace_printk: Elapsed cycles are 34958
          <idle>-0       [004] ..s2. 173724.217938: bpf_trace_printk: Elapsed cycles are 38858
          <idle>-0       [004] ..s2. 173725.217998: bpf_trace_printk: Elapsed cycles are 60220
          <idle>-0       [004] ..s2. 173726.218047: bpf_trace_printk: Elapsed cycles are 35632
          <idle>-0       [004] ..s2. 173727.218109: bpf_trace_printk: Elapsed cycles are 59274
          <idle>-0       [004] ..s2. 173728.218164: bpf_trace_printk: Elapsed cycles are 56138
          <idle>-0       [004] ..s2. 173729.218220: bpf_trace_printk: Elapsed cycles are 62544
          <idle>-0       [004] ..s2. 173730.218268: bpf_trace_printk: Elapsed cycles are 36402
          <idle>-0       [004] ..s2. 173731.218331: bpf_trace_printk: Elapsed cycles are 57784
          <idle>-0       [004] ..s2. 173732.218386: bpf_trace_printk: Elapsed cycles are 56574
          <idle>-0       [004] ..s2. 173733.218441: bpf_trace_printk: Elapsed cycles are 56962
          <idle>-0       [004] ..s2. 173734.218496: bpf_trace_printk: Elapsed cycles are 56400
          <idle>-0       [004] .Ns2. 173735.218556: bpf_trace_printk: Elapsed cycles are 71312
          <idle>-0       [004] .Ns2. 173736.218609: bpf_trace_printk: Elapsed cycles are 59542
          <idle>-0       [004] .Ns2. 173737.218664: bpf_trace_printk: Elapsed cycles are 59466
          <idle>-0       [004] .Ns2. 173738.218717: bpf_trace_printk: Elapsed cycles are 63454
          <idle>-0       [004] .Ns2. 173739.218773: bpf_trace_printk: Elapsed cycles are 59560
          <idle>-0       [004] .Ns2. 173740.218829: bpf_trace_printk: Elapsed cycles are 61312
          <idle>-0       [004] .Ns2. 173741.218887: bpf_trace_printk: Elapsed cycles are 61138
          <idle>-0       [004] .Ns2. 173742.218942: bpf_trace_printk: Elapsed cycles are 62166
          <idle>-0       [004] .Ns2. 173743.218999: bpf_trace_printk: Elapsed cycles are 61920
          <idle>-0       [004] .Ns2. 173744.219056: bpf_trace_printk: Elapsed cycles are 60764
          <idle>-0       [004] .Ns2. 173745.219111: bpf_trace_printk: Elapsed cycles are 61870
          <idle>-0       [004] .Ns2. 173746.219164: bpf_trace_printk: Elapsed cycles are 59478
          <idle>-0       [004] .Ns2. 173747.219221: bpf_trace_printk: Elapsed cycles are 60820
          <idle>-0       [004] .Ns2. 173748.219275: bpf_trace_printk: Elapsed cycles are 60338
          <idle>-0       [004] .Ns2. 173749.219331: bpf_trace_printk: Elapsed cycles are 61814
          <idle>-0       [004] ..s2. 173750.219378: bpf_trace_printk: Elapsed cycles are 35268
          <idle>-0       [004] .Ns2. 173751.219440: bpf_trace_printk: Elapsed cycles are 60484
          <idle>-0       [004] .Ns2. 173752.219496: bpf_trace_printk: Elapsed cycles are 60648
          <idle>-0       [004] .Ns2. 173753.219551: bpf_trace_printk: Elapsed cycles are 58044
          <idle>-0       [004] ..s2. 173754.219599: bpf_trace_printk: Elapsed cycles are 37024
          <idle>-0       [004] ..s2. 173755.219658: bpf_trace_printk: Elapsed cycles are 36006
          <idle>-0       [004] ..s2. 173756.219713: bpf_trace_printk: Elapsed cycles are 35966
          <idle>-0       [004] .Ns2. 173757.219777: bpf_trace_printk: Elapsed cycles are 60748
          <idle>-0       [004] ..s2. 173758.219826: bpf_trace_printk: Elapsed cycles are 36922
          <idle>-0       [004] ..s2. 173759.219882: bpf_trace_printk: Elapsed cycles are 35582
          <idle>-0       [004] ..s2. 173760.219939: bpf_trace_printk: Elapsed cycles are 36454
          <idle>-0       [004] ..s2. 173761.219993: bpf_trace_printk: Elapsed cycles are 36190
          <idle>-0       [004] ..s2. 173762.220048: bpf_trace_printk: Elapsed cycles are 35116
          <idle>-0       [004] .Ns2. 173763.220111: bpf_trace_printk: Elapsed cycles are 59596
