Linux 6.8.12+ (sendai) 	12/08/2025 	_x86_64_	(6 CPU)

02:19:19 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
02:19:59 AM     0      1495    0.00    0.00    0.00    0.00    0.00     2  systemd-journal
02:19:59 AM   111    320913    0.20    0.53    0.00    0.00    0.73     3  netdata
02:19:59 AM   111    321282    0.05    0.12    0.00    0.00    0.18     0  bash
02:19:59 AM   111    321306    0.07    0.00    0.00    0.00    0.07     0  go.d.plugin
02:19:59 AM   111    321308    0.00    0.00    0.00    0.00    0.00     3  otel-plugin
02:19:59 AM  1000    321568    0.00    0.00    0.00    0.00    0.00     0  ssh
02:19:59 AM  1000    322016    0.00    0.00    0.00    0.00    0.00     3  sh

Average:      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
Average:        0      1495    0.00    0.00    0.00    0.00    0.00     -  systemd-journal
Average:      111    320913    0.20    0.53    0.00    0.00    0.73     -  netdata
Average:      111    321282    0.05    0.12    0.00    0.00    0.18     -  bash
Average:      111    321306    0.07    0.00    0.00    0.00    0.07     -  go.d.plugin
Average:      111    321308    0.00    0.00    0.00    0.00    0.00     -  otel-plugin
Average:     1000    321568    0.00    0.00    0.00    0.00    0.00     -  ssh
Average:     1000    322016    0.00    0.00    0.00    0.00    0.00     -  sh
