Linux 6.8.12+ (sendai) 	12/08/2025 	_x86_64_	(6 CPU)

03:37:43 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
03:38:23 AM     0      1495    0.00    0.03    0.00    0.00    0.03     2  systemd-journal
03:38:23 AM   111    406372   15.97    4.25    0.00    0.00   20.23     3  netdata
03:38:23 AM   111    406749    0.15    0.03    0.00    0.00    0.18     3  bash
03:38:23 AM   111    406766    0.00    0.00    0.00    0.00    0.00     4  otel-plugin
03:38:23 AM  1000    406983    0.20    0.00    0.00    0.00    0.20     5  ssh
03:38:23 AM  1000    406984    0.00    0.00    0.00    0.00    0.00     3  sh

Average:      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
Average:        0      1495    0.00    0.03    0.00    0.00    0.03     -  systemd-journal
Average:      111    406372   15.97    4.25    0.00    0.00   20.23     -  netdata
Average:      111    406749    0.15    0.03    0.00    0.00    0.18     -  bash
Average:      111    406766    0.00    0.00    0.00    0.00    0.00     -  otel-plugin
Average:     1000    406983    0.20    0.00    0.00    0.00    0.20     -  ssh
Average:     1000    406984    0.00    0.00    0.00    0.00    0.00     -  sh
