Linux 6.8.12+ (sendai) 	12/08/2025 	_x86_64_	(6 CPU)

03:41:35 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
03:42:15 AM     0      1495    0.00    0.00    0.00    0.00    0.00     5  systemd-journal
03:42:15 AM   111    411365    0.35    0.33    0.00    0.00    0.68     2  netdata
03:42:15 AM   111    411735    0.05    0.12    0.00    0.00    0.18     2  bash
03:42:15 AM   111    411756    0.00    0.00    0.00    0.00    0.00     2  otel-plugin
03:42:15 AM  1000    411976    0.20    0.00    0.00    0.00    0.20     5  ssh
03:42:15 AM  1000    411977    0.00    0.00    0.00    0.00    0.00     1  sh

Average:      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
Average:        0      1495    0.00    0.00    0.00    0.00    0.00     -  systemd-journal
Average:      111    411365    0.35    0.33    0.00    0.00    0.68     -  netdata
Average:      111    411735    0.05    0.12    0.00    0.00    0.18     -  bash
Average:      111    411756    0.00    0.00    0.00    0.00    0.00     -  otel-plugin
Average:     1000    411976    0.20    0.00    0.00    0.00    0.20     -  ssh
Average:     1000    411977    0.00    0.00    0.00    0.00    0.00     -  sh
