Linux 6.8.12+ (sendai) 	12/08/2025 	_x86_64_	(6 CPU)

03:05:07 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
03:05:47 AM     0      1495    0.00    0.03    0.00    0.00    0.03     4  systemd-journal
03:05:47 AM   111    366507    0.43    0.43    0.00    0.00    0.85     4  netdata
03:05:47 AM   111    366875    0.10    0.07    0.00    0.00    0.18     2  bash
03:05:47 AM   111    366900    0.15    0.03    0.00    0.00    0.18     2  go.d.plugin
03:05:47 AM   111    366902    0.00    0.00    0.00    0.00    0.00     0  otel-plugin
03:05:47 AM  1000    367171    0.00    0.00    0.00    0.00    0.00     1  ssh
03:05:47 AM  1000    367641    0.00    0.00    0.00    0.00    0.00     1  sh

Average:      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
Average:        0      1495    0.00    0.03    0.00    0.00    0.03     -  systemd-journal
Average:      111    366507    0.43    0.43    0.00    0.00    0.85     -  netdata
Average:      111    366875    0.10    0.07    0.00    0.00    0.18     -  bash
Average:      111    366900    0.15    0.03    0.00    0.00    0.18     -  go.d.plugin
Average:      111    366902    0.00    0.00    0.00    0.00    0.00     -  otel-plugin
Average:     1000    367171    0.00    0.00    0.00    0.00    0.00     -  ssh
Average:     1000    367641    0.00    0.00    0.00    0.00    0.00     -  sh
