Linux 6.8.12+ (sendai) 	12/07/2025 	_x86_64_	(6 CPU)

08:56:58 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
08:57:38 PM     0      1495    0.00    0.00    0.00    0.00    0.00     1  systemd-journal
08:57:38 PM   111    106059    0.27    0.43    0.00    0.00    0.70     1  netdata
08:57:38 PM   111    106434    0.12    0.05    0.00    0.00    0.18     3  bash
08:57:38 PM   111    106455    0.00    0.00    0.00    0.00    0.00     1  otel-plugin
08:57:38 PM  1000    106676    0.18    0.03    0.00    0.00    0.20     3  ssh
08:57:38 PM  1000    106677    0.00    0.00    0.00    0.00    0.00     3  sh

Average:      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
Average:        0      1495    0.00    0.00    0.00    0.00    0.00     -  systemd-journal
Average:      111    106059    0.27    0.43    0.00    0.00    0.70     -  netdata
Average:      111    106434    0.12    0.05    0.00    0.00    0.18     -  bash
Average:      111    106455    0.00    0.00    0.00    0.00    0.00     -  otel-plugin
Average:     1000    106676    0.18    0.03    0.00    0.00    0.20     -  ssh
Average:     1000    106677    0.00    0.00    0.00    0.00    0.00     -  sh
