Linux 6.8.12+ (sendai) 	12/07/2025 	_x86_64_	(6 CPU)

08:26:23 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
08:27:03 PM     0      1495    0.00    0.00    0.00    0.00    0.00     5  systemd-journal
08:27:03 PM   111     72153    0.45    0.33    0.00    0.00    0.78     3  netdata
08:27:03 PM   111     72525    0.05    0.12    0.00    0.00    0.18     3  bash
08:27:03 PM   111     72547    0.10    0.00    0.00    0.00    0.10     4  go.d.plugin
08:27:03 PM   111     72551    0.00    0.00    0.00    0.00    0.00     4  otel-plugin
08:27:03 PM  1000     72807    0.00    0.00    0.00    0.00    0.00     1  ssh
08:27:03 PM  1000     73282    0.00    0.00    0.00    0.00    0.00     1  sh

Average:      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
Average:        0      1495    0.00    0.00    0.00    0.00    0.00     -  systemd-journal
Average:      111     72153    0.45    0.33    0.00    0.00    0.78     -  netdata
Average:      111     72525    0.05    0.12    0.00    0.00    0.18     -  bash
Average:      111     72547    0.10    0.00    0.00    0.00    0.10     -  go.d.plugin
Average:      111     72551    0.00    0.00    0.00    0.00    0.00     -  otel-plugin
Average:     1000     72807    0.00    0.00    0.00    0.00    0.00     -  ssh
Average:     1000     73282    0.00    0.00    0.00    0.00    0.00     -  sh
