Linux 6.8.12+ (sendai) 	12/07/2025 	_x86_64_	(6 CPU)

09:21:58 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
09:22:38 PM     0      1495    0.00    0.00    0.00    0.00    0.00     5  systemd-journal
09:22:38 PM   111    139200    0.35    0.33    0.00    0.00    0.68     1  netdata
09:22:38 PM   111    139573    0.10    0.07    0.00    0.00    0.18     4  bash
09:22:38 PM   111    139596    0.00    0.00    0.00    0.00    0.00     3  otel-plugin
09:22:38 PM  1000    139817    0.20    0.00    0.00    0.00    0.20     0  ssh
09:22:38 PM  1000    139818    0.00    0.00    0.00    0.00    0.00     5  sh

Average:      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
Average:        0      1495    0.00    0.00    0.00    0.00    0.00     -  systemd-journal
Average:      111    139200    0.35    0.33    0.00    0.00    0.68     -  netdata
Average:      111    139573    0.10    0.07    0.00    0.00    0.18     -  bash
Average:      111    139596    0.00    0.00    0.00    0.00    0.00     -  otel-plugin
Average:     1000    139817    0.20    0.00    0.00    0.00    0.20     -  ssh
Average:     1000    139818    0.00    0.00    0.00    0.00    0.00     -  sh
