Linux 6.8.12+ (sendai) 	12/07/2025 	_x86_64_	(6 CPU)

08:49:15 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
08:49:55 PM     0      1495    0.00    0.00    0.00    0.00    0.00     2  systemd-journal
08:49:55 PM   111     95876   12.05    6.70    0.00    0.00   18.75     1  netdata
08:49:55 PM   111     96245    0.07    0.10    0.00    0.00    0.18     1  bash
08:49:55 PM   111     96270    0.10    0.03    0.00    0.00    0.12     4  go.d.plugin
08:49:55 PM   111     96271    0.00    0.00    0.00    0.00    0.00     4  otel-plugin
08:49:55 PM  1000     96526    0.00    0.00    0.00    0.00    0.00     5  ssh
08:49:55 PM  1000     97001    0.00    0.00    0.00    0.00    0.00     4  sh

Average:      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
Average:        0      1495    0.00    0.00    0.00    0.00    0.00     -  systemd-journal
Average:      111     95876   12.05    6.70    0.00    0.00   18.75     -  netdata
Average:      111     96245    0.07    0.10    0.00    0.00    0.18     -  bash
Average:      111     96270    0.10    0.03    0.00    0.00    0.12     -  go.d.plugin
Average:      111     96271    0.00    0.00    0.00    0.00    0.00     -  otel-plugin
Average:     1000     96526    0.00    0.00    0.00    0.00    0.00     -  ssh
Average:     1000     97001    0.00    0.00    0.00    0.00    0.00     -  sh
