2025/12/08-08:57:54.347616,4545360.571747924,34.00
2025/12/08-08:57:54.348375,4545360.572499930,41.00
2025/12/08-08:57:54.348543,4545360.572663895,45.00
2025/12/08-08:57:54.348700,4545360.572825568,41.00
2025/12/08-08:57:54.348871,4545360.572987251,49.00
2025/12/08-08:57:54.349025,4545360.573150460,40.00
2025/12/08-08:57:54.349188,4545360.573312482,41.00
2025/12/08-08:57:54.349351,4545360.573474501,42.00
2025/12/08-08:57:54.349517,4545360.573636243,47.00
2025/12/08-08:57:54.349674,4545360.573797316,43.00
2025/12/08-08:57:54.349842,4545360.573958490,49.00
2025/12/08-08:57:54.349993,4545360.574119859,38.00
2025/12/08-08:57:54.350159,4545360.574281913,43.00
2025/12/08-08:57:54.350318,4545360.574443167,41.00
2025/12/08-08:57:54.350481,4545360.574604934,41.00
2025/12/08-08:57:54.350641,4545360.574767185,39.00
2025/12/08-08:57:54.350804,4545360.574929279,40.00
2025/12/08-08:57:54.350966,4545360.575091213,40.00
2025/12/08-08:57:54.351131,4545360.575253973,42.00
2025/12/08-08:57:54.351292,4545360.575416029,41.00
2025/12/08-08:57:54.351456,4545360.575577942,44.00
2025/12/08-08:57:54.351614,4545360.575739075,41.00
2025/12/08-08:57:54.351775,4545360.575900779,40.00
2025/12/08-08:57:54.351939,4545360.576063099,41.00
2025/12/08-08:57:54.352100,4545360.576225076,40.00
2025/12/08-08:57:54.352265,4545360.576387604,43.00
2025/12/08-08:57:54.352429,4545360.576549769,44.00
2025/12/08-08:57:54.352586,4545360.576712316,39.00
2025/12/08-08:57:54.352754,4545360.576873995,46.00
2025/12/08-08:57:54.352906,4545360.577009671,62.00
2025/12/08-08:57:54.353048,4545360.577171982,42.00
2025/12/08-08:57:54.353215,4545360.577333830,47.00
2025/12/08-08:57:54.353370,4545360.577494673,41.00
2025/12/08-08:57:54.353533,4545360.577656487,42.00
2025/12/08-08:57:54.353695,4545360.577818745,42.00
2025/12/08-08:57:54.353863,4545360.577980297,48.00
2025/12/08-08:57:54.354020,4545360.578142189,44.00
2025/12/08-08:57:54.354183,4545360.578303889,45.00
2025/12/08-08:57:54.354341,4545360.578465662,41.00
2025/12/08-08:57:54.354507,4545360.578627183,45.00
2025/12/08-08:57:54.354666,4545360.578789212,42.00
2025/12/08-08:57:54.354833,4545360.578950833,48.00
2025/12/08-08:57:54.354990,4545360.579116993,39.00
2025/12/08-08:57:54.355162,4545360.579278728,49.00
2025/12/08-08:57:54.355316,4545360.579440929,40.00
2025/12/08-08:57:54.355489,4545360.579602655,52.00
2025/12/08-08:57:54.355643,4545360.579765142,44.00
2025/12/08-08:57:54.355820,4545360.579927843,58.00
2025/12/08-08:57:54.355963,4545360.580089992,39.00
2025/12/08-08:57:54.356140,4545360.580251612,54.00
2025/12/08-08:57:54.356292,4545360.580413488,44.00
2025/12/08-08:57:54.356470,4545360.580575530,60.00
2025/12/08-08:57:54.356616,4545360.580737018,44.00
2025/12/08-08:57:54.356799,4545360.580898285,66.00
2025/12/08-08:57:54.356937,4545360.581060425,42.00
2025/12/08-08:57:54.357118,4545360.581222010,62.00
2025/12/08-08:57:54.357262,4545360.581383582,44.00
2025/12/08-08:57:54.357441,4545360.581545725,61.00
2025/12/08-08:57:54.357582,4545360.581707262,40.00
2025/12/08-08:57:54.357771,4545360.581869111,67.00
2025/12/08-08:57:54.357912,4545360.582034992,42.00
2025/12/08-08:57:54.358099,4545360.582196963,68.00
2025/12/08-08:57:54.358238,4545360.582358611,45.00
2025/12/08-08:57:54.358434,4545360.582519794,80.00
2025/12/08-08:57:54.358556,4545360.582681437,40.00
2025/12/08-08:57:54.358748,4545360.582843701,70.00
2025/12/08-08:57:54.358886,4545360.583010459,41.00
2025/12/08-08:57:54.359081,4545360.583176659,70.00
2025/12/08-08:57:54.359217,4545360.583338176,45.00
2025/12/08-08:57:54.359414,4545360.583499693,80.00
2025/12/08-08:57:54.359536,4545360.583661056,40.00
2025/12/08-08:57:54.359724,4545360.583823306,67.00
2025/12/08-08:57:54.359915,4545360.583984443,97.00
2025/12/08-08:57:54.360023,4545360.584145581,43.00
2025/12/08-08:57:54.360181,4545360.584307059,40.00
2025/12/08-08:57:54.360372,4545360.584468622,69.00
2025/12/08-08:57:54.360506,4545360.584631185,41.00
2025/12/08-08:57:54.360703,4545360.584792564,76.00
2025/12/08-08:57:54.360832,4545360.584954602,43.00
2025/12/08-08:57:54.361022,4545360.585120317,67.00
2025/12/08-08:57:54.361212,4545360.585281699,96.00
2025/12/08-08:57:54.361320,4545360.585443748,42.00
2025/12/08-08:57:54.361482,4545360.585605257,42.00
2025/12/08-08:57:54.361675,4545360.585768100,72.00
2025/12/08-08:57:54.361810,4545360.585930652,45.00
2025/12/08-08:57:54.362002,4545360.586093313,75.00
2025/12/08-08:57:54.362136,4545360.586254841,47.00
2025/12/08-08:57:54.362333,4545360.586416428,82.00
2025/12/08-08:57:54.362453,4545360.586578258,40.00
2025/12/08-08:57:54.362645,4545360.586740028,70.00
2025/12/08-08:57:54.362834,4545360.586902522,97.00
2025/12/08-08:57:54.362962,4545360.587089083,39.00
2025/12/08-08:57:54.363158,4545360.587250877,73.00
2025/12/08-08:57:54.363287,4545360.587412488,40.00
2025/12/08-08:57:54.363484,4545360.587574345,75.00
2025/12/08-08:57:54.363611,4545360.587735754,41.00
2025/12/08-08:57:54.363808,4545360.587897129,77.00
2025/12/08-08:57:54.363887,4545360.588010292,42.00
2025/12/08-08:57:54.364077,4545360.588172328,70.00
2025/12/08-08:57:54.364271,4545360.588333638,103.00
2025/12/08-08:57:54.364333,4545360.588444930,54.00
2025/12/08-08:57:54.364481,4545360.588606480,41.00
2025/12/08-08:57:54.364676,4545360.588768046,73.00
2025/12/08-08:57:54.364806,4545360.588930125,41.00
2025/12/08-08:57:54.365002,4545360.589092585,75.00
2025/12/08-08:57:54.365128,4545360.589253661,40.00
2025/12/08-08:57:54.365323,4545360.589415349,74.00
2025/12/08-08:57:54.365455,4545360.589576688,44.00
2025/12/08-08:57:54.365640,4545360.589738789,67.00
2025/12/08-08:57:54.365833,4545360.589900781,98.00
2025/12/08-08:57:54.365943,4545360.590066523,42.00
2025/12/08-08:57:54.366103,4545360.590228158,41.00
2025/12/08-08:57:54.366295,4545360.590389941,70.00
2025/12/08-08:57:54.366432,4545360.590552108,46.00
2025/12/08-08:57:54.366621,4545360.590713907,72.00
2025/12/08-08:57:54.366751,4545360.590875851,41.00
2025/12/08-08:57:54.366952,4545360.591010482,107.00
2025/12/08-08:57:54.367024,4545360.591125313,64.00
2025/12/08-08:57:54.367215,4545360.591287422,94.00
2025/12/08-08:57:54.367323,4545360.591448708,40.00
2025/12/08-08:57:54.367485,4545360.591610332,40.00
2025/12/08-08:57:54.367682,4545360.591772150,75.00
2025/12/08-08:57:54.367808,4545360.591934272,39.00
2025/12/08-08:57:54.368006,4545360.592096772,75.00
2025/12/08-08:57:54.368132,4545360.592258465,40.00
2025/12/08-08:57:54.368323,4545360.592419409,69.00
2025/12/08-08:57:54.368512,4545360.592581242,96.00
2025/12/08-08:57:54.368620,4545360.592743366,42.00
2025/12/08-08:57:54.368782,4545360.592905193,43.00
2025/12/08-08:57:54.368973,4545360.593067342,71.00
2025/12/08-08:57:54.369104,4545360.593229073,40.00
2025/12/08-08:57:54.369299,4545360.593390775,74.00
2025/12/08-08:57:54.369429,4545360.593552557,42.00
2025/12/08-08:57:54.369628,4545360.593714549,79.00
2025/12/08-08:57:54.369750,4545360.593876294,39.00
2025/12/08-08:57:54.369944,4545360.594013388,96.00
2025/12/08-08:57:54.370058,4545360.594175595,48.00
2025/12/08-08:57:54.370213,4545360.594337800,41.00
2025/12/08-08:57:54.370408,4545360.594500043,73.00
2025/12/08-08:57:54.370535,4545360.594661869,38.00
2025/12/08-08:57:54.370731,4545360.594823514,74.00
2025/12/08-08:57:54.370872,4545360.594984734,53.00
2025/12/08-08:57:54.371064,4545360.595147205,82.00
2025/12/08-08:57:54.371185,4545360.595309016,42.00
2025/12/08-08:57:54.371377,4545360.595470375,73.00
2025/12/08-08:57:54.371565,4545360.595631665,99.00
2025/12/08-08:57:54.371673,4545360.595793959,45.00
2025/12/08-08:57:54.371831,4545360.595955305,41.00
2025/12/08-08:57:54.372024,4545360.596117618,72.00
2025/12/08-08:57:54.372157,4545360.596279328,43.00
2025/12/08-08:57:54.372348,4545360.596441234,73.00
2025/12/08-08:57:54.372479,4545360.596602721,42.00
2025/12/08-08:57:54.372676,4545360.596764353,77.00
2025/12/08-08:57:54.372801,4545360.596925743,40.00
2025/12/08-08:57:54.372992,4545360.597088739,69.00
2025/12/08-08:57:54.373190,4545360.597251801,104.00
2025/12/08-08:57:54.373252,4545360.597364120,54.00
2025/12/08-08:57:54.373399,4545360.597525065,39.00
2025/12/08-08:57:54.373597,4545360.597687199,76.00
2025/12/08-08:57:54.373724,4545360.597848573,41.00
2025/12/08-08:57:54.373924,4545360.598011195,79.00
2025/12/08-08:57:54.374064,4545360.598188180,41.00
2025/12/08-08:57:54.374265,4545360.598350584,80.00
2025/12/08-08:57:54.374388,4545360.598511717,42.00
2025/12/08-08:57:54.374576,4545360.598673729,68.00
2025/12/08-08:57:54.374769,4545360.598835701,99.00
2025/12/08-08:57:54.374875,4545360.598997340,44.00
2025/12/08-08:57:54.375035,4545360.599159299,41.00
2025/12/08-08:57:54.375230,4545360.599321596,74.00
2025/12/08-08:57:54.375358,4545360.599482674,41.00
2025/12/08-08:57:54.375556,4545360.599644289,78.00
2025/12/08-08:57:54.375688,4545360.599805736,48.00
2025/12/08-08:57:54.375874,4545360.599967115,73.00
2025/12/08-08:57:54.376063,4545360.600128420,100.00
2025/12/08-08:57:54.376128,4545360.600236962,56.00
2025/12/08-08:57:54.376274,4545360.600399624,40.00
2025/12/08-08:57:54.376471,4545360.600561667,75.00
2025/12/08-08:57:54.376603,4545360.600723093,45.00
2025/12/08-08:57:54.376794,4545360.600885426,74.00
2025/12/08-08:57:54.376885,4545360.601010117,41.00
2025/12/08-08:57:54.377076,4545360.601171386,70.00
2025/12/08-08:57:54.377270,4545360.601332667,103.00
2025/12/08-08:57:54.377335,4545360.601444314,56.00
2025/12/08-08:57:54.377484,4545360.601606187,43.00
