2025/12/08-08:58:13.765380,4545379.989511987,33.00
2025/12/08-08:58:13.766155,4545379.990273240,47.00
2025/12/08-08:58:13.766345,4545379.990439183,72.00
2025/12/08-08:58:13.766537,4545379.990601457,101.00
2025/12/08-08:58:13.766597,4545379.990711456,52.00
2025/12/08-08:58:13.766753,4545379.990873637,45.00
2025/12/08-08:58:13.766946,4545379.991011455,100.00
2025/12/08-08:58:13.767008,4545379.991120146,53.00
2025/12/08-08:58:13.767203,4545379.991282077,86.00
2025/12/08-08:58:13.767323,4545379.991443964,44.00
2025/12/08-08:58:13.767489,4545379.991606597,48.00
2025/12/08-08:58:13.767679,4545379.991768386,77.00
2025/12/08-08:58:13.767809,4545379.991929620,45.00
2025/12/08-08:58:13.768007,4545379.992092507,80.00
2025/12/08-08:58:13.768132,4545379.992253908,44.00
2025/12/08-08:58:13.768335,4545379.992415859,85.00
2025/12/08-08:58:13.768458,4545379.992577855,46.00
2025/12/08-08:58:13.768618,4545379.992739383,45.00
2025/12/08-08:58:13.768814,4545379.992900597,79.00
2025/12/08-08:58:13.768941,4545379.993062118,44.00
2025/12/08-08:58:13.769132,4545379.993224159,73.00
2025/12/08-08:58:13.769323,4545379.993386385,103.00
2025/12/08-08:58:13.769388,4545379.993497555,56.00
2025/12/08-08:58:13.769541,4545379.993659897,47.00
2025/12/08-08:58:13.769733,4545379.993821110,77.00
2025/12/08-08:58:13.769860,4545379.993983319,42.00
2025/12/08-08:58:13.770059,4545379.994147852,77.00
2025/12/08-08:58:13.770187,4545379.994309002,44.00
2025/12/08-08:58:13.770398,4545379.994471069,93.00
2025/12/08-08:58:13.770513,4545379.994633176,45.00
2025/12/08-08:58:13.770702,4545379.994795282,72.00
2025/12/08-08:58:13.770895,4545379.994957698,103.00
2025/12/08-08:58:13.770959,4545379.995069342,55.00
2025/12/08-08:58:13.771110,4545379.995231094,45.00
2025/12/08-08:58:13.771308,4545379.995392316,81.00
2025/12/08-08:58:13.771433,4545379.995553920,44.00
2025/12/08-08:58:13.771623,4545379.995716332,72.00
2025/12/08-08:58:13.771812,4545379.995878390,99.00
2025/12/08-08:58:13.771894,4545379.996013751,46.00
2025/12/08-08:58:13.772055,4545379.996175356,45.00
2025/12/08-08:58:13.772246,4545379.996336948,75.00
2025/12/08-08:58:13.772375,4545379.996499041,41.00
2025/12/08-08:58:13.772575,4545379.996661319,79.00
2025/12/08-08:58:13.772700,4545379.996824231,42.00
2025/12/08-08:58:13.772903,4545379.996985778,83.00
2025/12/08-08:58:13.773028,4545379.997149413,44.00
2025/12/08-08:58:13.773222,4545379.997311905,75.00
2025/12/08-08:58:13.773408,4545379.997476266,98.00
2025/12/08-08:58:13.773516,4545379.997637647,44.00
2025/12/08-08:58:13.773678,4545379.997799526,44.00
2025/12/08-08:58:13.773873,4545379.997961715,77.00
2025/12/08-08:58:13.774029,4545379.998123806,71.00
2025/12/08-08:58:13.774204,4545379.998285007,85.00
2025/12/08-08:58:13.774325,4545379.998446661,44.00
