2025/10/29-09:57:10.588132,1761731830.588086397,46.40
2025/10/29-09:57:11.592633,1761731831.592591350,42.54
2025/10/29-09:57:12.592758,1761731832.592720593,38.09
2025/10/29-09:57:13.592890,1761731833.592850015,40.95
2025/10/29-09:57:14.593009,1761731834.592971391,38.60
2025/10/29-09:57:15.593134,1761731835.593093420,41.32
2025/10/29-09:57:16.593251,1761731836.593216103,35.06
2025/10/29-09:57:17.593386,1761731837.593336235,50.54
2025/10/29-09:57:18.593505,1761731838.593467261,37.79
2025/10/29-09:57:19.593625,1761731839.593586668,38.45
2025/10/29-09:57:20.593745,1761731840.593708633,36.63
2025/10/29-09:57:21.593869,1761731841.593830888,38.16
2025/10/29-09:57:22.593981,1761731842.593947453,33.81
2025/10/29-09:57:23.594152,1761731843.594059639,92.97
2025/10/29-09:57:24.594273,1761731844.594234495,39.08
2025/10/29-09:57:25.594391,1761731845.594352294,38.71
2025/10/29-09:57:26.594505,1761731846.594469203,36.33
2025/10/29-09:57:27.594625,1761731847.594583718,41.65
2025/10/29-09:57:28.594743,1761731848.594703860,39.18
2025/10/29-09:57:29.594862,1761731849.594822055,40.05
2025/10/29-09:57:30.594988,1761731850.594946424,42.32
2025/10/29-09:57:31.595108,1761731851.595070844,38.02
2025/10/29-09:57:32.595232,1761731852.595187822,45.05
2025/10/29-09:57:33.595350,1761731853.595311260,39.33
2025/10/29-09:57:34.595469,1761731854.595431688,37.88
2025/10/29-09:57:35.595588,1761731855.595549889,38.16
2025/10/29-09:57:36.595713,1761731856.595670354,42.73
2025/10/29-09:57:37.595845,1761731857.595796555,48.93
2025/10/29-09:57:38.595963,1761731858.595923922,39.27
2025/10/29-09:57:39.596082,1761731859.596041592,40.99
2025/10/29-09:57:40.596197,1761731860.596160912,36.99
2025/10/29-09:57:41.596315,1761731861.596277033,38.51
2025/10/29-09:57:42.596434,1761731862.596398231,36.31
2025/10/29-09:57:43.596615,1761731863.596513155,102.26
2025/10/29-09:57:44.596733,1761731864.596704337,29.42
2025/10/29-09:57:45.596915,1761731865.596824385,90.75
2025/10/29-09:57:46.597031,1761731866.596993504,37.84
2025/10/29-09:57:47.597143,1761731867.597112926,31.00
2025/10/29-09:57:48.597262,1761731868.597227454,34.63
2025/10/29-09:57:49.597375,1761731869.597339813,35.96
2025/10/29-09:57:50.597507,1761731870.597464046,43.83
2025/10/29-09:57:51.597641,1761731871.597598096,43.58
2025/10/29-09:57:52.597763,1761731872.597725212,38.04
2025/10/29-09:57:53.597886,1761731873.597851034,35.74
2025/10/29-09:57:54.598019,1761731874.597977998,41.45
2025/10/29-09:57:55.598134,1761731875.598100698,33.77
2025/10/29-09:57:56.598251,1761731876.598214241,37.66
2025/10/29-09:57:57.598368,1761731877.598331436,36.84
2025/10/29-09:57:58.598483,1761731878.598445958,37.39
2025/10/29-09:57:59.598599,1761731879.598561307,37.88
2025/10/29-09:58:00.598719,1761731880.598678430,41.32
2025/10/29-09:58:01.598846,1761731881.598803146,43.58
2025/10/29-09:58:02.598968,1761731882.598934085,34.12
2025/10/29-09:58:03.599089,1761731883.599051112,38.24
2025/10/29-09:58:04.599206,1761731884.599172149,34.43
2025/10/29-09:58:05.599330,1761731885.599288067,42.23
2025/10/29-09:58:06.599451,1761731886.599415581,36.33
2025/10/29-09:58:07.599576,1761731887.599537367,38.76
2025/10/29-09:58:08.599703,1761731888.599657591,45.47
2025/10/29-09:58:09.599823,1761731889.599786796,36.23
