2025/10/29-09:46:34.635404,1761731194.635288321,115.74
2025/10/29-09:46:34.646148,1761731194.646077817,70.85
2025/10/29-09:46:34.656312,1761731194.656245451,67.17
2025/10/29-09:46:34.668924,1761731194.668857434,67.32
2025/10/29-09:46:34.679052,1761731194.678996600,56.05
2025/10/29-09:46:34.689185,1761731194.689126009,59.44
2025/10/29-09:46:34.699323,1761731194.699259173,64.62
2025/10/29-09:46:34.709449,1761731194.709394836,55.12
2025/10/29-09:46:34.719642,1761731194.719521901,120.40
2025/10/29-09:46:34.729770,1761731194.729711913,58.25
2025/10/29-09:46:34.739895,1761731194.739850730,44.34
2025/10/29-09:46:34.750018,1761731194.749962920,55.74
2025/10/29-09:46:34.760148,1761731194.760086734,61.46
2025/10/29-09:46:34.770281,1761731194.770217112,64.09
2025/10/29-09:46:34.780416,1761731194.780349381,67.19
2025/10/29-09:46:34.790542,1761731194.790485452,57.24
2025/10/29-09:46:34.800728,1761731194.800610825,118.09
2025/10/29-09:46:34.810856,1761731194.810797938,58.92
2025/10/29-09:46:34.820993,1761731194.820931578,61.75
2025/10/29-09:46:34.831124,1761731194.831063165,61.61
2025/10/29-09:46:34.841251,1761731194.841192706,58.45
2025/10/29-09:46:34.851379,1761731194.851322032,57.61
2025/10/29-09:46:34.861512,1761731194.861448120,64.38
2025/10/29-09:46:34.871637,1761731194.871580600,56.59
2025/10/29-09:46:34.881821,1761731194.881704949,116.91
2025/10/29-09:46:34.891910,1761731194.891850025,60.80
2025/10/29-09:46:34.902033,1761731194.901980271,53.67
2025/10/29-09:46:34.912152,1761731194.912102431,50.48
2025/10/29-09:46:34.922277,1761731194.922227253,50.35
2025/10/29-09:46:34.932396,1761731194.932345324,51.06
2025/10/29-09:46:34.942534,1761731194.942468451,65.72
2025/10/29-09:46:34.952660,1761731194.952602173,58.35
2025/10/29-09:46:34.962846,1761731194.962730972,115.12
2025/10/29-09:46:34.972981,1761731194.972918855,62.46
2025/10/29-09:46:34.983106,1761731194.983048823,57.29
2025/10/29-09:46:34.993234,1761731194.993174018,60.18
2025/10/29-09:46:35.003356,1761731195.003301907,54.92
2025/10/29-09:46:35.013482,1761731195.013424213,57.83
2025/10/29-09:46:35.023617,1761731195.023552029,65.57
2025/10/29-09:46:35.033743,1761731195.033685172,58.72
2025/10/29-09:46:35.043934,1761731195.043818673,116.25
2025/10/29-09:46:35.054059,1761731195.054002072,57.91
2025/10/29-09:46:35.064246,1761731195.064128628,117.38
2025/10/29-09:46:35.074373,1761731195.074314381,59.38
2025/10/29-09:46:35.084506,1761731195.084447735,58.37
2025/10/29-09:46:35.094638,1761731195.094577351,61.56
2025/10/29-09:46:35.104768,1761731195.104706300,62.44
2025/10/29-09:46:35.114892,1761731195.114842656,49.99
2025/10/29-09:46:35.125075,1761731195.124959792,115.61
2025/10/29-09:46:35.135198,1761731195.135142918,55.23
2025/10/29-09:46:35.145324,1761731195.145265187,59.80
2025/10/29-09:46:35.155450,1761731195.155396296,54.35
2025/10/29-09:46:35.165574,1761731195.165517612,56.67
2025/10/29-09:46:35.175696,1761731195.175641520,54.87
2025/10/29-09:46:35.185816,1761731195.185766197,49.81
2025/10/29-09:46:35.195903,1761731195.195851695,52.25
2025/10/29-09:46:35.206080,1761731195.205970541,109.57
2025/10/29-09:46:35.216205,1761731195.216146973,58.31
2025/10/29-09:46:35.226332,1761731195.226273964,58.15
2025/10/29-09:46:35.236467,1761731195.236398952,68.78
2025/10/29-09:46:35.246592,1761731195.246534550,58.10
2025/10/29-09:46:35.256720,1761731195.256659523,61.18
2025/10/29-09:46:35.266854,1761731195.266786694,67.78
2025/10/29-09:46:35.276977,1761731195.276921431,55.87
2025/10/29-09:46:35.287160,1761731195.287043643,117.21
2025/10/29-09:46:35.297282,1761731195.297227644,54.44
2025/10/29-09:46:35.307401,1761731195.307348720,52.96
2025/10/29-09:46:35.317517,1761731195.317471516,45.89
2025/10/29-09:46:35.327641,1761731195.327583912,57.57
2025/10/29-09:46:35.337763,1761731195.337708784,54.78
2025/10/29-09:46:35.347886,1761731195.347832960,53.44
2025/10/29-09:46:35.358008,1761731195.357955732,53.12
2025/10/29-09:46:35.368186,1761731195.368075698,110.75
2025/10/29-09:46:35.378308,1761731195.378255269,53.62
2025/10/29-09:46:35.388433,1761731195.388379875,54.04
2025/10/29-09:46:35.398549,1761731195.398500808,48.87
2025/10/29-09:46:35.408669,1761731195.408616741,53.15
2025/10/29-09:46:35.418788,1761731195.418736912,52.06
2025/10/29-09:46:35.428900,1761731195.428850059,50.29
2025/10/29-09:46:35.439026,1761731195.438966872,59.97
2025/10/29-09:46:35.449205,1761731195.449096755,108.52
2025/10/29-09:46:35.459327,1761731195.459272346,55.54
2025/10/29-09:46:35.469506,1761731195.469399088,107.70
2025/10/29-09:46:35.479626,1761731195.479574307,52.32
2025/10/29-09:46:35.489817,1761731195.489693436,124.32
2025/10/29-09:46:35.499914,1761731195.499849393,64.90
2025/10/29-09:46:35.510049,1761731195.509983976,65.03
2025/10/29-09:46:35.520186,1761731195.520116297,70.41
2025/10/29-09:46:35.530379,1761731195.530253494,125.83
2025/10/29-09:46:35.540514,1761731195.540449839,64.19
2025/10/29-09:46:35.550704,1761731195.550580441,124.39
2025/10/29-09:46:35.560846,1761731195.560776166,69.93
2025/10/29-09:46:35.570977,1761731195.570913333,64.60
2025/10/29-09:46:35.581117,1761731195.581045303,71.99
2025/10/29-09:46:35.591256,1761731195.591184854,71.21
2025/10/29-09:46:35.601390,1761731195.601323426,66.71
2025/10/29-09:46:35.611576,1761731195.611457038,119.28
2025/10/29-09:46:35.621704,1761731195.621643701,61.17
2025/10/29-09:46:35.631883,1761731195.631772244,111.14
2025/10/29-09:46:35.642001,1761731195.641951269,49.84
2025/10/29-09:46:35.652182,1761731195.652071675,110.38
2025/10/29-09:46:35.662312,1761731195.662252256,60.20
2025/10/29-09:46:35.672449,1761731195.672384242,65.66
2025/10/29-09:46:35.682583,1761731195.682516582,66.77
2025/10/29-09:46:35.692773,1761731195.692651844,121.27
2025/10/29-09:46:35.702914,1761731195.702846648,67.89
2025/10/29-09:46:35.713044,1761731195.712984049,60.24
2025/10/29-09:46:35.723160,1761731195.723110318,50.61
2025/10/29-09:46:35.733287,1761731195.733227560,59.57
2025/10/29-09:46:35.743411,1761731195.743357494,53.81
2025/10/29-09:46:35.753546,1761731195.753478448,68.24
2025/10/29-09:46:35.763677,1761731195.763613048,64.13
2025/10/29-09:46:35.773861,1761731195.773744154,116.89
2025/10/29-09:46:35.783988,1761731195.783930270,58.05
2025/10/29-09:46:35.794111,1761731195.794057932,53.37
2025/10/29-09:46:35.804230,1761731195.804181183,49.22
2025/10/29-09:46:35.814355,1761731195.814297375,58.62
2025/10/29-09:46:35.824487,1761731195.824425400,62.49
2025/10/29-09:46:35.834621,1761731195.834554275,67.06
2025/10/29-09:46:35.844754,1761731195.844688324,66.39
2025/10/29-09:46:35.854944,1761731195.854827138,116.92
2025/10/29-09:46:35.865072,1761731195.865013306,58.71
2025/10/29-09:46:35.875197,1761731195.875138719,59.19
2025/10/29-09:46:35.885335,1761731195.885271562,63.79
2025/10/29-09:46:35.895463,1761731195.895404742,58.86
2025/10/29-09:46:35.905593,1761731195.905530172,62.93
2025/10/29-09:46:35.915728,1761731195.915660138,68.18
2025/10/29-09:46:35.925860,1761731195.925795034,65.23
2025/10/29-09:46:35.936047,1761731195.935929373,117.67
2025/10/29-09:46:35.946176,1761731195.946119734,56.85
2025/10/29-09:46:35.956305,1761731195.956243199,62.64
2025/10/29-09:46:35.966434,1761731195.966372461,62.30
2025/10/29-09:46:35.976559,1761731195.976501154,58.56
2025/10/29-09:46:35.986688,1761731195.986626440,62.53
2025/10/29-09:46:35.996813,1761731195.996760104,53.51
2025/10/29-09:46:36.006904,1761731196.006849886,54.33
2025/10/29-09:46:36.017079,1761731196.016976761,102.57
2025/10/29-09:46:36.027207,1761731196.027149178,58.45
2025/10/29-09:46:36.037325,1761731196.037274267,51.68
2025/10/29-09:46:36.047456,1761731196.047392513,63.77
2025/10/29-09:46:36.057586,1761731196.057522683,63.76
2025/10/29-09:46:36.067714,1761731196.067653207,61.35
2025/10/29-09:46:36.077847,1761731196.077784408,62.91
2025/10/29-09:46:36.087972,1761731196.087913722,58.30
2025/10/29-09:46:36.098156,1761731196.098041450,115.18
2025/10/29-09:46:36.108283,1761731196.108223437,60.13
2025/10/29-09:46:36.118415,1761731196.118349908,65.27
2025/10/29-09:46:36.128543,1761731196.128481991,61.73
2025/10/29-09:46:36.138725,1761731196.138609990,115.99
2025/10/29-09:46:36.148851,1761731196.148796890,54.64
2025/10/29-09:46:36.158985,1761731196.158919549,66.30
2025/10/29-09:46:36.169110,1761731196.169053440,57.34
2025/10/29-09:46:36.179330,1761731196.179204737,125.71
2025/10/29-09:46:36.189457,1761731196.189397881,59.57
2025/10/29-09:46:36.199585,1761731196.199524458,61.18
2025/10/29-09:46:36.209715,1761731196.209652755,62.55
2025/10/29-09:46:36.219847,1761731196.219782399,64.88
2025/10/29-09:46:36.229971,1761731196.229913508,58.38
2025/10/29-09:46:36.240102,1761731196.240043062,59.41
2025/10/29-09:46:36.250226,1761731196.250169437,56.87
2025/10/29-09:46:36.260407,1761731196.260293477,114.38
2025/10/29-09:46:36.270533,1761731196.270474894,58.45
2025/10/29-09:46:36.280715,1761731196.280599989,115.07
2025/10/29-09:46:36.290831,1761731196.290782091,49.67
2025/10/29-09:46:36.301019,1761731196.300906162,112.88
2025/10/29-09:46:36.311140,1761731196.311086029,54.42
2025/10/29-09:46:36.321261,1761731196.321206891,54.40
2025/10/29-09:46:36.331385,1761731196.331328167,57.05
2025/10/29-09:46:36.341567,1761731196.341467630,100.17
2025/10/29-09:46:36.351696,1761731196.351636475,60.22
2025/10/29-09:46:36.361819,1761731196.361764164,55.63
2025/10/29-09:46:36.371917,1761731196.371857058,60.50
2025/10/29-09:46:36.382052,1761731196.381988125,64.80
2025/10/29-09:46:36.392177,1761731196.392119608,58.39
2025/10/29-09:46:36.402308,1761731196.402245154,63.74
2025/10/29-09:46:36.412437,1761731196.412384220,53.33
2025/10/29-09:46:36.422618,1761731196.422504325,113.96
2025/10/29-09:46:36.432744,1761731196.432685348,58.94
2025/10/29-09:46:36.442925,1761731196.442810607,115.35
2025/10/29-09:46:36.453053,1761731196.452993818,60.18
2025/10/29-09:46:36.463178,1761731196.463121318,56.86
2025/10/29-09:46:36.473302,1761731196.473244769,57.99
2025/10/29-09:46:36.483445,1761731196.483379477,65.74
2025/10/29-09:46:36.493574,1761731196.493511734,63.20
2025/10/29-09:46:36.503758,1761731196.503641351,117.27
2025/10/29-09:46:36.513882,1761731196.513828365,53.85
2025/10/29-09:46:36.524064,1761731196.523948905,115.20
2025/10/29-09:46:36.534186,1761731196.534134117,52.34
2025/10/29-09:46:36.544368,1761731196.544255872,112.62
2025/10/29-09:46:36.554493,1761731196.554438974,54.76
2025/10/29-09:46:36.564613,1761731196.564559985,53.63
2025/10/29-09:46:36.574738,1761731196.574680149,58.02
2025/10/29-09:46:36.584921,1761731196.584804490,117.07
2025/10/29-09:46:36.595043,1761731196.594987488,56.28
2025/10/29-09:46:36.605226,1761731196.605113403,113.49
2025/10/29-09:46:36.615359,1761731196.615297298,61.73
2025/10/29-09:46:36.625483,1761731196.625427865,55.41
2025/10/29-09:46:36.635602,1761731196.635554712,47.85
2025/10/29-09:46:36.645737,1761731196.645669327,67.71
2025/10/29-09:46:36.655876,1761731196.655804840,72.01
2025/10/29-09:46:36.666057,1761731196.665943931,113.86
2025/10/29-09:46:36.676192,1761731196.676132165,60.34
2025/10/29-09:46:36.686315,1761731196.686258806,56.31
2025/10/29-09:46:36.696444,1761731196.696382000,62.87
2025/10/29-09:46:36.706572,1761731196.706511883,60.95
2025/10/29-09:46:36.716699,1761731196.716640588,59.39
2025/10/29-09:46:36.726833,1761731196.726768896,64.84
2025/10/29-09:46:36.736972,1761731196.736911954,60.45
2025/10/29-09:46:36.747163,1761731196.747043987,119.67
2025/10/29-09:46:36.757286,1761731196.757234318,52.24
2025/10/29-09:46:36.767472,1761731196.767354832,117.97
2025/10/29-09:46:36.777602,1761731196.777539490,63.17
2025/10/29-09:46:36.787727,1761731196.787668693,58.93
2025/10/29-09:46:36.797851,1761731196.797794554,56.70
2025/10/29-09:46:36.807981,1761731196.807917568,63.79
2025/10/29-09:46:36.818101,1761731196.818048188,53.24
2025/10/29-09:46:36.828277,1761731196.828167974,109.67
2025/10/29-09:46:36.838398,1761731196.838344233,54.23
2025/10/29-09:46:36.848515,1761731196.848465400,49.67
2025/10/29-09:46:36.858633,1761731196.858581484,51.89
2025/10/29-09:46:36.868752,1761731196.868700029,52.18
2025/10/29-09:46:36.878871,1761731196.878819346,52.44
2025/10/29-09:46:36.888991,1761731196.888938394,52.77
2025/10/29-09:46:36.899115,1761731196.899060412,54.61
2025/10/29-09:46:36.909292,1761731196.909182563,110.23
2025/10/29-09:46:36.919415,1761731196.919359987,55.65
2025/10/29-09:46:36.929543,1761731196.929484880,58.52
2025/10/29-09:46:36.939674,1761731196.939610616,63.77
2025/10/29-09:46:36.949804,1761731196.949741322,63.15
2025/10/29-09:46:36.959911,1761731196.959848754,62.55
2025/10/29-09:46:36.970046,1761731196.969978274,68.22
2025/10/29-09:46:36.980168,1761731196.980113276,55.34
2025/10/29-09:46:36.990348,1761731196.990239635,109.33
2025/10/29-09:46:37.000475,1761731197.000415287,60.35
2025/10/29-09:46:37.010654,1761731197.010543719,110.94
2025/10/29-09:46:37.020782,1761731197.020721438,60.95
2025/10/29-09:46:37.030909,1761731197.030850877,58.34
2025/10/29-09:46:37.041032,1761731197.040975900,56.85
2025/10/29-09:46:37.051162,1761731197.051103819,59.17
2025/10/29-09:46:37.061288,1761731197.061231009,57.48
2025/10/29-09:46:37.071480,1761731197.071355290,125.15
2025/10/29-09:46:37.081604,1761731197.081548544,56.36
2025/10/29-09:46:37.091788,1761731197.091675653,112.94
2025/10/29-09:46:37.101904,1761731197.101850291,53.89
2025/10/29-09:46:37.112023,1761731197.111970314,53.66
2025/10/29-09:46:37.122153,1761731197.122091502,62.33
2025/10/29-09:46:37.132273,1761731197.132220512,52.97
2025/10/29-09:46:37.142399,1761731197.142342288,57.35
2025/10/29-09:46:37.152582,1761731197.152465960,116.46
2025/10/29-09:46:37.162706,1761731197.162649281,57.29
2025/10/29-09:46:37.172834,1761731197.172773519,60.63
2025/10/29-09:46:37.182974,1761731197.182912807,61.57
2025/10/29-09:46:37.193097,1761731197.193041417,55.92
2025/10/29-09:46:37.203229,1761731197.203168029,61.27
2025/10/29-09:46:37.213363,1761731197.213295658,67.69
2025/10/29-09:46:37.223492,1761731197.223433736,58.44
2025/10/29-09:46:37.233675,1761731197.233559548,115.99
2025/10/29-09:46:37.243805,1761731197.243745370,60.48
