2025/10/29-09:42:35.926655,1761730955.926577186,78.72
2025/10/29-09:42:36.930461,1761730956.930377625,83.89
2025/10/29-09:42:37.930653,1761730957.930561079,92.75
2025/10/29-09:42:38.930819,1761730958.930740363,79.47
2025/10/29-09:42:39.930942,1761730959.930856338,85.83
2025/10/29-09:42:40.931171,1761730960.931030528,141.09
2025/10/29-09:42:41.931339,1761730961.931253852,85.45
2025/10/29-09:42:42.931500,1761730962.931419086,81.10
2025/10/29-09:42:43.931660,1761730963.931580469,80.04
2025/10/29-09:42:44.931827,1761730964.931740004,87.81
2025/10/29-09:42:45.931995,1761730965.931917293,78.22
2025/10/29-09:42:46.932164,1761730966.932076727,87.49
2025/10/29-09:42:47.932328,1761730967.932242219,86.28
2025/10/29-09:42:48.932546,1761730968.932407008,139.31
2025/10/29-09:42:49.932712,1761730969.932630443,82.30
2025/10/29-09:42:50.932868,1761730970.932792621,76.09
2025/10/29-09:42:51.933036,1761730971.932953584,82.55
2025/10/29-09:42:52.933184,1761730972.933120301,64.26
2025/10/29-09:42:53.933349,1761730973.933268078,81.48
2025/10/29-09:42:54.933499,1761730974.933428657,70.85
2025/10/29-09:42:55.933646,1761730975.933577601,68.81
2025/10/29-09:42:56.933860,1761730976.933728511,132.03
2025/10/29-09:42:57.934021,1761730977.933937999,83.13
2025/10/29-09:42:58.934175,1761730978.934101488,74.51
2025/10/29-09:42:59.934340,1761730979.934257171,83.69
2025/10/29-09:43:00.934493,1761730980.934419022,74.55
2025/10/29-09:43:01.934648,1761730981.934571957,76.88
2025/10/29-09:43:02.934794,1761730982.934729460,65.22
2025/10/29-09:43:03.934938,1761730983.934858326,79.68
2025/10/29-09:43:04.935150,1761730984.935018653,131.41
2025/10/29-09:43:05.935311,1761730985.935229389,81.85
2025/10/29-09:43:06.935468,1761730986.935392932,75.65
2025/10/29-09:43:07.935622,1761730987.935546636,75.46
2025/10/29-09:43:08.935775,1761730988.935699439,76.33
2025/10/29-09:43:09.935932,1761730989.935856837,75.91
2025/10/29-09:43:10.936078,1761730990.936010351,68.07
2025/10/29-09:43:11.936222,1761730991.936159480,63.49
2025/10/29-09:43:12.936428,1761730992.936303550,125.32
2025/10/29-09:43:13.936591,1761730993.936509481,82.44
2025/10/29-09:43:14.936748,1761730994.936671863,76.22
2025/10/29-09:43:15.936907,1761730995.936827762,79.45
2025/10/29-09:43:16.937052,1761730996.936984188,68.77
2025/10/29-09:43:17.937203,1761730997.937128577,74.97
2025/10/29-09:43:18.937364,1761730998.937287455,77.36
2025/10/29-09:43:19.937520,1761730999.937449717,70.48
2025/10/29-09:43:20.937730,1761731000.937597746,132.33
2025/10/29-09:43:21.937888,1761731001.937812122,76.03
2025/10/29-09:43:22.938040,1761731002.937965578,75.07
2025/10/29-09:43:23.938195,1761731003.938117633,77.81
2025/10/29-09:43:24.938347,1761731004.938272229,75.41
2025/10/29-09:43:25.938506,1761731005.938424838,81.31
2025/10/29-09:43:26.938658,1761731006.938584242,74.47
2025/10/29-09:43:27.938811,1761731007.938735503,76.46
2025/10/29-09:43:28.938980,1761731008.938853549,126.51
2025/10/29-09:43:29.939138,1761731009.939057490,80.64
2025/10/29-09:43:30.939293,1761731010.939214180,79.37
2025/10/29-09:43:31.939435,1761731011.939369786,65.37
2025/10/29-09:43:32.939582,1761731012.939516138,66.86
2025/10/29-09:43:33.939736,1761731013.939662776,73.79
2025/10/29-09:43:34.939883,1761731014.939814882,69.03
