2025/10/29-10:03:59.957498,1761732239.957442512,56.09
2025/10/29-10:04:00.065570,1761732240.065566702,3.87
2025/10/29-10:04:00.165704,1761732240.165667738,36.36
2025/10/29-10:04:00.265850,1761732240.265784285,66.44
2025/10/29-10:04:00.365976,1761732240.365940372,36.54
2025/10/29-10:04:00.466134,1761732240.466069972,64.11
2025/10/29-10:04:00.566269,1761732240.566223100,46.34
2025/10/29-10:04:00.666386,1761732240.666351086,35.46
2025/10/29-10:04:00.766496,1761732240.766462783,33.94
2025/10/29-10:04:00.866634,1761732240.866585290,49.44
2025/10/29-10:04:00.966811,1761732240.966717901,93.60
2025/10/29-10:04:01.066948,1761732241.066864769,83.42
2025/10/29-10:04:01.167086,1761732241.167046551,39.70
2025/10/29-10:04:01.267221,1761732241.267180712,41.22
2025/10/29-10:04:01.367362,1761732241.367298696,64.10
2025/10/29-10:04:01.467506,1761732241.467447896,58.71
2025/10/29-10:04:01.567660,1761732241.567587616,72.75
2025/10/29-10:04:01.667787,1761732241.667739958,47.29
2025/10/29-10:04:01.767903,1761732241.767854119,49.13
2025/10/29-10:04:01.868025,1761732241.867980537,45.11
2025/10/29-10:04:01.968159,1761732241.968117338,41.88
2025/10/29-10:04:02.068287,1761732242.068245005,42.06
2025/10/29-10:04:02.168408,1761732242.168374961,34.03
2025/10/29-10:04:02.268529,1761732242.268485332,44.10
2025/10/29-10:04:02.368648,1761732242.368612823,35.54
2025/10/29-10:04:02.468772,1761732242.468731136,41.82
2025/10/29-10:04:02.568904,1761732242.568858885,45.55
2025/10/29-10:04:02.669025,1761732242.668987118,38.57
2025/10/29-10:04:02.769152,1761732242.769108050,44.03
2025/10/29-10:04:02.869323,1761732242.869235406,87.70
2025/10/29-10:04:02.969447,1761732242.969418101,29.32
2025/10/29-10:04:03.069560,1761732243.069524899,35.40
2025/10/29-10:04:03.169675,1761732243.169643904,31.89
2025/10/29-10:04:03.269800,1761732243.269761722,39.06
2025/10/29-10:04:03.369902,1761732243.369859997,42.86
2025/10/29-10:04:03.470024,1761732243.469979189,45.10
2025/10/29-10:04:03.570145,1761732243.570106595,38.56
2025/10/29-10:04:03.670272,1761732243.670228850,43.90
2025/10/29-10:04:03.770387,1761732243.770354391,32.85
2025/10/29-10:04:03.870520,1761732243.870467265,53.29
2025/10/29-10:04:03.970637,1761732243.970597089,40.35
2025/10/29-10:04:04.070760,1761732244.070713639,46.54
