2025/10/29-10:19:05.477904,1761733145.473990396,3914
2025/10/29-10:19:06.479175,1761733146.478754510,420
2025/10/29-10:19:07.481855,1761733147.479399631,2455
2025/10/29-10:19:08.483863,1761733148.482055550,1807
2025/10/29-10:19:09.485861,1761733149.484066766,1794
2025/10/29-10:19:10.488851,1761733150.486055731,2795
2025/10/29-10:19:11.490869,1761733151.489036621,1833
2025/10/29-10:19:12.494855,1761733152.491074720,3781
2025/10/29-10:19:13.497858,1761733153.495036411,2822
2025/10/29-10:19:14.501273,1761733154.500855465,418
2025/10/29-10:19:15.505326,1761733155.504858942,467
2025/10/29-10:19:16.505931,1761733156.505512084,419
2025/10/29-10:19:17.506545,1761733157.506131653,413
2025/10/29-10:19:18.507175,1761733158.506738080,436
2025/10/29-10:19:19.507792,1761733159.507368823,423
2025/10/29-10:19:20.508345,1761733160.507930241,415
2025/10/29-10:19:21.509035,1761733161.508538560,496
2025/10/29-10:19:22.509662,1761733162.509224052,438
2025/10/29-10:19:23.510310,1761733163.509852815,457
2025/10/29-10:19:24.510904,1761733164.510483892,420
2025/10/29-10:19:25.511547,1761733165.511123388,424
2025/10/29-10:19:26.512166,1761733166.511762524,404
2025/10/29-10:19:27.512792,1761733167.512366661,425
2025/10/29-10:19:28.513487,1761733168.513031192,456
2025/10/29-10:19:29.514097,1761733169.513660753,436
2025/10/29-10:19:30.514697,1761733170.514282646,414
2025/10/29-10:19:31.515311,1761733171.514894030,417
2025/10/29-10:19:32.515910,1761733172.515492623,418
2025/10/29-10:19:33.516529,1761733173.516097661,431
2025/10/29-10:19:34.517147,1761733174.516705839,441
2025/10/29-10:19:35.517725,1761733175.517313687,411
2025/10/29-10:19:36.518363,1761733176.517938208,425
2025/10/29-10:19:37.519007,1761733177.518589466,418
2025/10/29-10:19:38.519708,1761733178.519236264,472
2025/10/29-10:19:39.520300,1761733179.519884887,415
2025/10/29-10:19:40.520912,1761733180.520522788,389
2025/10/29-10:19:41.521544,1761733181.521109035,435
2025/10/29-10:19:42.522130,1761733182.521720968,409
2025/10/29-10:19:43.522725,1761733183.522319053,406
2025/10/29-10:19:44.523363,1761733184.522932949,430
2025/10/29-10:19:45.523972,1761733185.523547190,424
2025/10/29-10:19:46.524574,1761733186.524156235,417
2025/10/29-10:19:47.525167,1761733187.524746220,421
2025/10/29-10:19:48.525865,1761733188.525416819,448
2025/10/29-10:19:49.526502,1761733189.526036161,466
2025/10/29-10:19:50.527096,1761733190.526681772,414
2025/10/29-10:19:51.527774,1761733191.527328309,446
2025/10/29-10:19:52.528368,1761733192.527955627,413
2025/10/29-10:19:53.528967,1761733193.528538295,429
2025/10/29-10:19:54.529557,1761733194.529144938,412
2025/10/29-10:19:55.530167,1761733195.529757568,409
2025/10/29-10:19:56.530769,1761733196.530349027,420
2025/10/29-10:19:57.531409,1761733197.530937702,471
2025/10/29-10:19:58.532021,1761733198.531591326,430
2025/10/29-10:19:59.532626,1761733199.532216616,409
2025/10/29-10:20:00.533257,1761733200.532863211,394
2025/10/29-10:20:01.533870,1761733201.533444063,426
2025/10/29-10:20:02.534481,1761733202.534066091,415
2025/10/29-10:20:03.535130,1761733203.534700537,430
2025/10/29-10:20:04.535724,1761733204.535304511,419
