2025/10/29-12:42:09.329622,1761741729.329577852,44.85
2025/10/29-12:42:10.333635,1761741730.333591272,44.01
2025/10/29-12:42:11.333765,1761741731.333723507,41.50
2025/10/29-12:42:12.333889,1761741732.333857192,32.01
2025/10/29-12:42:13.334014,1761741733.333981213,33.06
2025/10/29-12:42:14.334189,1761741734.334095913,94.08
2025/10/29-12:42:15.334315,1761741735.334274299,41.18
2025/10/29-12:42:16.334441,1761741736.334400586,41.38
2025/10/29-12:42:17.334563,1761741737.334524375,39.54
2025/10/29-12:42:18.334689,1761741738.334646879,42.15
2025/10/29-12:42:19.334814,1761741739.334768635,46.16
2025/10/29-12:42:20.334894,1761741740.334855538,38.67
2025/10/29-12:42:21.335015,1761741741.334973295,42.19
2025/10/29-12:42:22.335132,1761741742.335096173,36.23
2025/10/29-12:42:23.335249,1761741743.335211443,38.44
2025/10/29-12:42:24.335368,1761741744.335330485,38.28
2025/10/29-12:42:25.335489,1761741745.335448049,41.82
2025/10/29-12:42:26.335607,1761741746.335572248,35.68
2025/10/29-12:42:27.335726,1761741747.335688215,37.88
2025/10/29-12:42:28.335896,1761741748.335805563,91.41
2025/10/29-12:42:29.336017,1761741749.335978890,38.13
2025/10/29-12:42:30.336138,1761741750.336096109,42.08
2025/10/29-12:42:31.336251,1761741751.336215501,35.85
2025/10/29-12:42:32.336368,1761741752.336328616,39.42
2025/10/29-12:42:33.336489,1761741753.336445001,44.73
2025/10/29-12:42:34.336612,1761741754.336570021,42.35
2025/10/29-12:42:35.336729,1761741755.336689869,39.55
2025/10/29-12:42:36.336858,1761741756.336807505,51.10
2025/10/29-12:42:37.336980,1761741757.336940759,39.92
2025/10/29-12:42:38.337095,1761741758.337059178,36.69
2025/10/29-12:42:39.337214,1761741759.337177105,37.83
2025/10/29-12:42:40.337330,1761741760.337292693,37.62
2025/10/29-12:42:41.337445,1761741761.337407568,38.03
2025/10/29-12:42:42.337566,1761741762.337526857,39.99
2025/10/29-12:42:43.337681,1761741763.337643628,37.40
2025/10/29-12:42:44.337795,1761741764.337761190,34.15
2025/10/29-12:42:45.337901,1761741765.337861025,40.93
2025/10/29-12:42:46.338025,1761741766.337983131,42.31
2025/10/29-12:42:47.338143,1761741767.338107020,36.77
2025/10/29-12:42:48.338263,1761741768.338225490,38.49
2025/10/29-12:42:49.338387,1761741769.338342474,44.55
2025/10/29-12:42:50.338503,1761741770.338464752,38.58
2025/10/29-12:42:51.338623,1761741771.338591014,32.22
2025/10/29-12:42:52.338735,1761741772.338700848,34.45
2025/10/29-12:42:53.338857,1761741773.338819928,37.47
2025/10/29-12:42:54.338974,1761741774.338935963,38.70
2025/10/29-12:42:55.339089,1761741775.339052950,36.33
2025/10/29-12:42:56.339206,1761741776.339170225,36.24
2025/10/29-12:42:57.339322,1761741777.339287783,34.93
2025/10/29-12:42:58.339496,1761741778.339399726,96.97
2025/10/29-12:42:59.339619,1761741779.339579003,40.16
2025/10/29-12:43:00.339757,1761741780.339708305,49.14
2025/10/29-12:43:01.339898,1761741781.339857143,41.07
2025/10/29-12:43:02.340023,1761741782.339984463,38.76
2025/10/29-12:43:03.340143,1761741783.340106650,37.29
2025/10/29-12:43:04.340267,1761741784.340229522,38.41
2025/10/29-12:43:05.340386,1761741785.340347356,38.83
2025/10/29-12:43:06.340505,1761741786.340468513,37.25
2025/10/29-12:43:07.340627,1761741787.340582778,44.67
2025/10/29-12:43:08.340746,1761741788.340709621,37.28
