2025/10/30-03:38:33.143064,1761795513.142946505,117.83
2025/10/30-03:38:33.243904,1761795513.243821990,82.23
2025/10/30-03:38:33.344111,1761795513.343995421,115.62
2025/10/30-03:38:33.444285,1761795513.444197821,87.29
2025/10/30-03:38:33.544507,1761795513.544377322,130.35
2025/10/30-03:38:33.644731,1761795513.644593172,138.32
2025/10/30-03:38:33.744937,1761795513.744830102,107.44
2025/10/30-03:38:33.845102,1761795513.845027177,75.11
2025/10/30-03:38:33.945260,1761795513.945187120,73.19
2025/10/30-03:38:34.045455,1761795514.045345556,110.27
2025/10/30-03:38:34.145629,1761795514.145544755,85.23
2025/10/30-03:38:34.245796,1761795514.245711265,85.12
2025/10/30-03:38:34.345937,1761795514.345861695,75.34
2025/10/30-03:38:34.446159,1761795514.446022693,136.91
2025/10/30-03:38:34.546343,1761795514.546244024,99.28
2025/10/30-03:38:34.646515,1761795514.646430965,84.75
2025/10/30-03:38:34.746677,1761795514.746597446,80.54
2025/10/30-03:38:34.846856,1761795514.846762846,93.82
2025/10/30-03:38:34.947021,1761795514.946944661,76.92
2025/10/30-03:38:35.047187,1761795515.047106288,81.28
2025/10/30-03:38:35.147352,1761795515.147266137,86.61
2025/10/30-03:38:35.247571,1761795515.247432693,138.84
2025/10/30-03:38:35.347749,1761795515.347662374,87.06
2025/10/30-03:38:35.447908,1761795515.447825618,82.79
2025/10/30-03:38:35.548112,1761795515.548002395,110.15
2025/10/30-03:38:35.648294,1761795515.648189234,105.36
2025/10/30-03:38:35.748473,1761795515.748376440,97.10
2025/10/30-03:38:35.848662,1761795515.848557198,104.84
2025/10/30-03:38:35.948828,1761795515.948745942,82.92
2025/10/30-03:38:36.049096,1761795516.048929334,167.53
2025/10/30-03:38:36.149272,1761795516.149190407,81.69
2025/10/30-03:38:36.249473,1761795516.249359038,114.65
2025/10/30-03:38:36.349637,1761795516.349553842,83.95
2025/10/30-03:38:36.449805,1761795516.449723980,81.19
2025/10/30-03:38:36.549952,1761795516.549869327,82.84
2025/10/30-03:38:36.650117,1761795516.650031570,85.86
2025/10/30-03:38:36.750286,1761795516.750205067,81.91
2025/10/30-03:38:36.850520,1761795516.850369984,150.05
2025/10/30-03:38:36.950679,1761795516.950604913,74.98
2025/10/30-03:38:37.050852,1761795517.050764304,88.62
2025/10/30-03:38:37.151033,1761795517.150948476,85.08
2025/10/30-03:38:37.251237,1761795517.251119988,117.46
2025/10/30-03:38:37.351402,1761795517.351312295,90.21
2025/10/30-03:38:37.451569,1761795517.451484236,85.20
2025/10/30-03:38:37.551772,1761795517.551672986,99.98
2025/10/30-03:38:37.652015,1761795517.651867324,148.19
2025/10/30-03:38:37.752220,1761795517.752101537,118.60
2025/10/30-03:38:37.852394,1761795517.852295351,98.81
2025/10/30-03:38:37.952561,1761795517.952482958,78.82
2025/10/30-03:38:38.052732,1761795518.052652809,79.65
2025/10/30-03:38:38.152896,1761795518.152825216,71.76
2025/10/30-03:38:38.253102,1761795518.252983634,118.75
2025/10/30-03:38:38.353279,1761795518.353184201,95.36
2025/10/30-03:38:38.453502,1761795518.453362484,139.53
2025/10/30-03:38:38.553668,1761795518.553585165,83.69
2025/10/30-03:38:38.653829,1761795518.653745729,84.07
2025/10/30-03:38:38.754027,1761795518.753920043,107.87
2025/10/30-03:38:38.854226,1761795518.854108758,118.16
2025/10/30-03:38:38.954384,1761795518.954303158,81.42
2025/10/30-03:38:39.054551,1761795519.054475857,75.35
2025/10/30-03:38:39.154719,1761795519.154627078,92.52
2025/10/30-03:38:39.254978,1761795519.254798958,179.55
2025/10/30-03:38:39.355139,1761795519.355052859,86.22
2025/10/30-03:38:39.455333,1761795519.455224447,108.95
2025/10/30-03:38:39.555527,1761795519.555418987,108.49
2025/10/30-03:38:39.655701,1761795519.655608583,92.83
2025/10/30-03:38:39.755878,1761795519.755788696,90.14
2025/10/30-03:38:39.856067,1761795519.855964981,102.72
2025/10/30-03:38:39.956241,1761795519.956148244,93.50
2025/10/30-03:38:40.056475,1761795520.056319529,155.76
2025/10/30-03:38:40.156649,1761795520.156559881,89.57
2025/10/30-03:38:40.256822,1761795520.256734083,88.17
2025/10/30-03:38:40.356944,1761795520.356852403,92.30
2025/10/30-03:38:40.457113,1761795520.457023494,89.89
2025/10/30-03:38:40.557294,1761795520.557196724,97.52
2025/10/30-03:38:40.657459,1761795520.657374269,85.58
2025/10/30-03:38:40.757631,1761795520.757544916,86.29
2025/10/30-03:38:40.857850,1761795520.857709870,140.98
2025/10/30-03:38:40.958036,1761795520.957931913,104.42
2025/10/30-03:38:41.058208,1761795521.058111665,97.11
