2025/10/30-04:52:39.875238,1761799959.875160667,77.50
2025/10/30-04:52:40.879460,1761799960.879377174,83.49
2025/10/30-04:52:41.879628,1761799961.879551373,77.58
2025/10/30-04:52:42.879801,1761799962.879715939,85.90
2025/10/30-04:52:43.879937,1761799963.879857861,79.14
2025/10/30-04:52:44.880158,1761799964.880023721,134.31
2025/10/30-04:52:45.880321,1761799965.880239057,82.66
2025/10/30-04:52:46.880483,1761799966.880412484,70.56
2025/10/30-04:52:47.880636,1761799967.880565434,70.86
2025/10/30-04:52:48.880792,1761799968.880719988,72.72
2025/10/30-04:52:49.880931,1761799969.880857688,73.36
2025/10/30-04:52:50.881090,1761799970.881009417,81.13
2025/10/30-04:52:51.881245,1761799971.881171416,73.75
2025/10/30-04:52:52.881460,1761799972.881327645,132.63
2025/10/30-04:52:53.881620,1761799973.881537940,82.82
2025/10/30-04:52:54.881774,1761799974.881704828,69.25
2025/10/30-04:52:55.881926,1761799975.881854848,71.61
2025/10/30-04:52:56.882086,1761799976.882002492,84.23
2025/10/30-04:52:57.882233,1761799977.882164382,68.93
2025/10/30-04:52:58.882394,1761799978.882313728,80.81
2025/10/30-04:52:59.882562,1761799979.882476572,86.29
2025/10/30-04:53:00.882780,1761799980.882638804,141.69
2025/10/30-04:53:01.882946,1761799981.882860665,86.30
2025/10/30-04:53:02.883097,1761799982.883032153,65.84
2025/10/30-04:53:03.883246,1761799983.883180609,65.91
2025/10/30-04:53:04.883390,1761799984.883324518,66.31
2025/10/30-04:53:05.883539,1761799985.883470968,68.31
2025/10/30-04:53:06.883692,1761799986.883625162,67.05
2025/10/30-04:53:07.883849,1761799987.883770730,78.62
2025/10/30-04:53:08.884060,1761799988.883937849,122.20
2025/10/30-04:53:09.884223,1761799989.884140778,82.55
2025/10/30-04:53:10.884383,1761799990.884301796,81.84
2025/10/30-04:53:11.884526,1761799991.884460272,65.96
2025/10/30-04:53:12.884679,1761799992.884605380,74.49
2025/10/30-04:53:13.884827,1761799993.884756752,70.38
2025/10/30-04:53:14.884998,1761799994.884916395,81.95
2025/10/30-04:53:15.885146,1761799995.885077440,69.54
2025/10/30-04:53:16.885356,1761799996.885223569,133.29
2025/10/30-04:53:17.885503,1761799997.885433812,70.03
2025/10/30-04:53:18.885653,1761799998.885581289,72.28
2025/10/30-04:53:19.885803,1761799999.885732162,70.94
2025/10/30-04:53:20.885923,1761800000.885857082,66.00
2025/10/30-04:53:21.886072,1761800001.886006363,66.18
2025/10/30-04:53:22.886215,1761800002.886149320,65.80
2025/10/30-04:53:23.886371,1761800003.886302937,68.91
2025/10/30-04:53:24.886590,1761800004.886454372,135.83
2025/10/30-04:53:25.886760,1761800005.886672643,88.05
2025/10/30-04:53:26.886908,1761800006.886856184,52.05
2025/10/30-04:53:27.887052,1761800007.886990360,61.83
2025/10/30-04:53:28.887254,1761800008.887128691,126.03
2025/10/30-04:53:29.887411,1761800009.887332960,78.22
2025/10/30-04:53:30.887571,1761800010.887490279,81.46
2025/10/30-04:53:31.887725,1761800011.887649520,76.22
2025/10/30-04:53:32.887927,1761800012.887808881,118.45
2025/10/30-04:53:33.888090,1761800013.888006962,83.87
2025/10/30-04:53:34.888241,1761800014.888168821,72.38
2025/10/30-04:53:35.888397,1761800015.888323458,73.86
2025/10/30-04:53:36.888559,1761800016.888480504,79.28
2025/10/30-04:53:37.888717,1761800017.888637432,79.71
2025/10/30-04:53:38.888881,1761800018.888794376,87.40
