2025/10/30-05:18:15.042931,1761801495.042878332,53.55
2025/10/30-05:18:15.143790,1761801495.143744018,46.50
2025/10/30-05:18:15.243904,1761801495.243855453,48.76
2025/10/30-05:18:15.344027,1761801495.343991805,35.85
2025/10/30-05:18:15.444169,1761801495.444123351,45.94
2025/10/30-05:18:15.544299,1761801495.544257101,41.90
2025/10/30-05:18:15.644504,1761801495.644412441,91.84
2025/10/30-05:18:15.744627,1761801495.744580541,46.83
2025/10/30-05:18:15.844774,1761801495.844735740,38.82
2025/10/30-05:18:15.944930,1761801495.944870951,59.40
2025/10/30-05:18:16.045060,1761801496.045016684,43.80
2025/10/30-05:18:16.145175,1761801496.145143868,31.62
2025/10/30-05:18:16.245297,1761801496.245257142,39.89
2025/10/30-05:18:16.345451,1761801496.345386570,64.53
2025/10/30-05:18:16.445581,1761801496.445535491,45.53
2025/10/30-05:18:16.545775,1761801496.545680905,94.75
2025/10/30-05:18:16.645898,1761801496.645854581,43.96
2025/10/30-05:18:16.746038,1761801496.745986157,52.58
2025/10/30-05:18:16.846161,1761801496.846117894,44.04
2025/10/30-05:18:16.946290,1761801496.946251887,38.94
2025/10/30-05:18:17.046419,1761801497.046373097,46.38
2025/10/30-05:18:17.146541,1761801497.146503485,38.21
2025/10/30-05:18:17.246662,1761801497.246631507,31.47
2025/10/30-05:18:17.346805,1761801497.346753325,51.73
2025/10/30-05:18:17.446902,1761801497.446862946,39.06
2025/10/30-05:18:17.547036,1761801497.546978117,58.67
2025/10/30-05:18:17.647179,1761801497.647138029,41.43
2025/10/30-05:18:17.747371,1761801497.747280186,91.78
2025/10/30-05:18:17.847496,1761801497.847455013,41.02
2025/10/30-05:18:17.947623,1761801497.947588334,35.28
2025/10/30-05:18:18.047739,1761801498.047700072,39.92
2025/10/30-05:18:18.147867,1761801498.147815728,51.79
2025/10/30-05:18:18.248043,1761801498.247950599,92.55
2025/10/30-05:18:18.348167,1761801498.348122945,44.53
2025/10/30-05:18:18.448286,1761801498.448261945,25.04
2025/10/30-05:18:18.548399,1761801498.548363201,35.83
2025/10/30-05:18:18.648535,1761801498.648480475,54.79
2025/10/30-05:18:18.748657,1761801498.748617251,40.48
2025/10/30-05:18:18.848781,1761801498.848737157,43.85
2025/10/30-05:18:18.948910,1761801498.948876534,33.70
2025/10/30-05:18:19.049038,1761801499.048997672,40.95
2025/10/30-05:18:19.149176,1761801499.149130701,46.28
2025/10/30-05:18:19.249322,1761801499.249252548,70.41
2025/10/30-05:18:19.349447,1761801499.349406875,40.20
2025/10/30-05:18:19.449574,1761801499.449538747,35.61
2025/10/30-05:18:19.549708,1761801499.549662302,46.19
2025/10/30-05:18:19.649904,1761801499.649801099,103.59
2025/10/30-05:18:19.750020,1761801499.749981168,38.97
2025/10/30-05:18:19.850144,1761801499.850109117,35.21
2025/10/30-05:18:19.950278,1761801499.950230803,47.33
2025/10/30-05:18:20.050466,1761801500.050364249,102.49
2025/10/30-05:18:20.150581,1761801500.150544151,36.97
2025/10/30-05:18:20.250703,1761801500.250666170,37.04
2025/10/30-05:18:20.350821,1761801500.350778634,42.64
2025/10/30-05:18:20.451020,1761801500.450925460,94.98
2025/10/30-05:18:20.551161,1761801500.551111028,50.02
2025/10/30-05:18:20.651274,1761801500.651236998,37.78
2025/10/30-05:18:20.751387,1761801500.751352618,34.55
2025/10/30-05:18:20.851528,1761801500.851471748,56.61
2025/10/30-05:18:20.951676,1761801500.951626960,50.00
2025/10/30-05:18:21.051810,1761801501.051754980,55.55
2025/10/30-05:18:21.151907,1761801501.151870488,37.13
2025/10/30-05:18:21.252034,1761801501.251991744,43.11
