2025/10/29-05:56:11.343426,1761717371.343325311,101.48
2025/10/29-05:56:11.447504,1761717371.447454857,49.77
2025/10/29-05:56:11.547648,1761717371.547597883,50.14
2025/10/29-05:56:11.647776,1761717371.647735819,40.89
2025/10/29-05:56:11.747890,1761717371.747853487,37.47
2025/10/29-05:56:11.848051,1761717371.847967271,84.31
2025/10/29-05:56:11.948170,1761717371.948135525,35.47
2025/10/29-05:56:12.048319,1761717372.048257012,62.15
2025/10/29-05:56:12.148452,1761717372.148410194,42.69
2025/10/29-05:56:12.248586,1761717372.248535007,51.25
2025/10/29-05:56:12.348715,1761717372.348682082,33.88
2025/10/29-05:56:12.448856,1761717372.448806358,50.47
2025/10/29-05:56:12.548993,1761717372.548944573,49.41
2025/10/29-05:56:12.649119,1761717372.649080192,38.84
2025/10/29-05:56:12.749236,1761717372.749193474,43.14
2025/10/29-05:56:12.849363,1761717372.849328985,34.73
2025/10/29-05:56:12.949492,1761717372.949452790,39.39
2025/10/29-05:56:13.049612,1761717373.049572669,39.90
2025/10/29-05:56:13.149738,1761717373.149700019,38.13
2025/10/29-05:56:13.249874,1761717373.249852059,22.61
2025/10/29-05:56:13.350010,1761717373.349974386,36.55
2025/10/29-05:56:13.450135,1761717373.450100892,34.83
2025/10/29-05:56:13.550260,1761717373.550220716,39.42
2025/10/29-05:56:13.650429,1761717373.650339003,90.57
2025/10/29-05:56:13.750548,1761717373.750520527,27.66
2025/10/29-05:56:13.850681,1761717373.850632273,49.02
2025/10/29-05:56:13.950807,1761717373.950771908,35.95
2025/10/29-05:56:14.050917,1761717374.050892006,25.15
2025/10/29-05:56:14.151056,1761717374.151016196,39.85
2025/10/29-05:56:14.251229,1761717374.251134037,95.69
2025/10/29-05:56:14.351361,1761717374.351322781,38.96
2025/10/29-05:56:14.451536,1761717374.451447241,89.12
2025/10/29-05:56:14.551672,1761717374.551636282,36.43
2025/10/29-05:56:14.651795,1761717374.651753300,41.92
2025/10/29-05:56:14.751952,1761717374.751853216,99.28
2025/10/29-05:56:14.852074,1761717374.852049367,25.38
2025/10/29-05:56:14.952191,1761717374.952152907,38.31
2025/10/29-05:56:15.052314,1761717375.052272536,41.81
2025/10/29-05:56:15.152428,1761717375.152392034,36.44
2025/10/29-05:56:15.252543,1761717375.252515467,28.34
2025/10/29-05:56:15.352672,1761717375.352631309,41.37
2025/10/29-05:56:15.452803,1761717375.452757284,46.17
2025/10/29-05:56:15.552892,1761717375.552856252,36.33
2025/10/29-05:56:15.653003,1761717375.652966838,37.06
2025/10/29-05:56:15.753128,1761717375.753090285,38.41
2025/10/29-05:56:15.853267,1761717375.853205597,62.20
2025/10/29-05:56:15.953384,1761717375.953346636,37.51
2025/10/29-05:56:16.053498,1761717376.053459175,39.11
2025/10/29-05:56:16.153641,1761717376.153597350,44.50
2025/10/29-05:56:16.253756,1761717376.253718725,37.97
2025/10/29-05:56:16.353879,1761717376.353857650,21.76
2025/10/29-05:56:16.454010,1761717376.453963408,46.80
2025/10/29-05:56:16.554131,1761717376.554094135,37.09
2025/10/29-05:56:16.654325,1761717376.654222301,102.98
2025/10/29-05:56:16.754447,1761717376.754400971,46.12
2025/10/29-05:56:16.854563,1761717376.854524656,39.18
2025/10/29-05:56:16.954688,1761717376.954638399,50.35
2025/10/29-05:56:17.054875,1761717377.054783408,92.01
2025/10/29-05:56:17.155016,1761717377.154966489,50.47
2025/10/29-05:56:17.255131,1761717377.255097157,33.91
2025/10/29-05:56:17.355256,1761717377.355206865,50.12
2025/10/29-05:56:17.455443,1761717377.455342316,101.19
2025/10/29-05:56:17.555566,1761717377.555523030,43.23
2025/10/29-05:56:17.655695,1761717377.655651709,43.90
2025/10/29-05:56:17.755831,1761717377.755782190,49.34
2025/10/29-05:56:17.855966,1761717377.855921332,45.28
2025/10/29-05:56:17.956079,1761717377.956041061,38.62
2025/10/29-05:56:18.056202,1761717378.056164022,38.03
2025/10/29-05:56:18.156319,1761717378.156276252,42.80
2025/10/29-05:56:18.256433,1761717378.256399062,34.48
2025/10/29-05:56:18.356545,1761717378.356511102,34.54
2025/10/29-05:56:18.456662,1761717378.456626326,35.79
2025/10/29-05:56:18.556779,1761717378.556743400,35.60
2025/10/29-05:56:18.656908,1761717378.656857294,51.56
2025/10/29-05:56:18.757026,1761717378.756989051,37.80
2025/10/29-05:56:18.857146,1761717378.857104926,41.29
2025/10/29-05:56:18.957276,1761717378.957235079,41.83
2025/10/29-05:56:19.057448,1761717379.057365409,82.84
2025/10/29-05:56:19.157584,1761717379.157531641,52.94
2025/10/29-05:56:19.257710,1761717379.257661690,49.05
2025/10/29-05:56:19.357846,1761717379.357794454,52.21
2025/10/29-05:56:19.457981,1761717379.457935081,46.06
2025/10/29-05:56:19.558113,1761717379.558055318,57.85
2025/10/29-05:56:19.658232,1761717379.658192983,39.08
2025/10/29-05:56:19.758352,1761717379.758317169,35.80
2025/10/29-05:56:19.858595,1761717379.858445784,149.50
2025/10/29-05:56:19.958707,1761717379.958671154,36.08
2025/10/29-05:56:20.058832,1761717380.058782288,49.98
2025/10/29-05:56:20.158968,1761717380.158919413,48.94
2025/10/29-05:56:20.259091,1761717380.259049056,42.28
2025/10/29-05:56:20.359212,1761717380.359172388,40.51
2025/10/29-05:56:20.459325,1761717380.459287243,38.09
2025/10/29-05:56:20.559441,1761717380.559404756,37.04
2025/10/29-05:56:20.659579,1761717380.659524831,54.35
2025/10/29-05:56:20.759728,1761717380.759679550,48.56
2025/10/29-05:56:20.859868,1761717380.859824811,43.33
2025/10/29-05:56:20.960001,1761717380.959951666,49.65
2025/10/29-05:56:21.060143,1761717381.060101317,42.65
2025/10/29-05:56:21.160271,1761717381.160224971,46.44
2025/10/29-05:56:21.260389,1761717381.260353123,36.57
2025/10/29-05:56:21.360525,1761717381.360474575,51.40
2025/10/29-05:56:21.460656,1761717381.460612771,43.72
2025/10/29-05:56:21.560777,1761717381.560735290,41.80
2025/10/29-05:56:21.660958,1761717381.660866902,91.44
