2025/10/29-05:59:03.612134,1761717543.612102292,32.19
2025/10/29-05:59:04.618244,1761717544.618192426,51.64
2025/10/29-05:59:05.618388,1761717545.618345459,43.27
2025/10/29-05:59:06.618540,1761717546.618490727,50.24
2025/10/29-05:59:07.618699,1761717547.618655748,43.83
2025/10/29-05:59:08.618860,1761717548.618804893,56.07
2025/10/29-05:59:09.619007,1761717549.618962599,44.52
2025/10/29-05:59:10.619153,1761717550.619113657,39.68
2025/10/29-05:59:11.619292,1761717551.619248605,43.89
2025/10/29-05:59:12.619420,1761717552.619399578,21.21
2025/10/29-05:59:13.619584,1761717553.619516698,67.46
2025/10/29-05:59:14.619738,1761717554.619683593,54.72
2025/10/29-05:59:15.619876,1761717555.619831428,45.15
2025/10/29-05:59:16.620009,1761717556.619964152,45.73
2025/10/29-05:59:17.620172,1761717557.620122223,50.14
2025/10/29-05:59:18.620314,1761717558.620268839,45.35
2025/10/29-05:59:19.620460,1761717559.620415687,44.69
2025/10/29-05:59:20.620605,1761717560.620567934,37.82
2025/10/29-05:59:21.620751,1761717561.620698336,53.09
2025/10/29-05:59:22.620944,1761717562.620853071,91.83
2025/10/29-05:59:23.621077,1761717563.621034972,42.49
2025/10/29-05:59:24.621217,1761717564.621172058,45.37
2025/10/29-05:59:25.621351,1761717565.621309593,42.34
2025/10/29-05:59:26.621485,1761717566.621439845,45.91
2025/10/29-05:59:27.621624,1761717567.621578324,45.69
2025/10/29-05:59:28.621764,1761717568.621714558,50.27
2025/10/29-05:59:29.621903,1761717569.621859289,44.18
2025/10/29-05:59:30.622037,1761717570.621988708,49.16
2025/10/29-05:59:31.622174,1761717571.622133012,41.78
2025/10/29-05:59:32.622303,1761717572.622262419,40.59
2025/10/29-05:59:33.622436,1761717573.622390548,45.48
2025/10/29-05:59:34.622563,1761717574.622526008,37.25
2025/10/29-05:59:35.622704,1761717575.622665163,39.43
2025/10/29-05:59:36.622859,1761717576.622806396,53.26
2025/10/29-05:59:37.623005,1761717577.622959678,46.22
2025/10/29-05:59:38.623141,1761717578.623099469,42.51
2025/10/29-05:59:39.623288,1761717579.623245474,43.33
2025/10/29-05:59:40.623490,1761717580.623397607,92.76
2025/10/29-05:59:41.623634,1761717581.623585708,48.32
2025/10/29-05:59:42.623785,1761717582.623733412,52.06
2025/10/29-05:59:43.623915,1761717583.623868666,46.58
2025/10/29-05:59:44.624063,1761717584.624011530,52.31
2025/10/29-05:59:45.624201,1761717585.624154511,46.69
2025/10/29-05:59:46.624346,1761717586.624294279,52.68
2025/10/29-05:59:47.624511,1761717587.624474106,37.21
2025/10/29-05:59:48.624666,1761717588.624620798,45.71
2025/10/29-05:59:49.624806,1761717589.624765128,41.50
2025/10/29-05:59:50.624902,1761717590.624861326,41.13
2025/10/29-05:59:51.625053,1761717591.625003454,49.84
2025/10/29-05:59:52.625200,1761717592.625152872,48.09
2025/10/29-05:59:53.625332,1761717593.625286713,45.67
2025/10/29-05:59:54.625464,1761717594.625425964,38.25
2025/10/29-05:59:55.625597,1761717595.625548388,48.65
2025/10/29-05:59:56.625730,1761717596.625685018,45.74
2025/10/29-05:59:57.625864,1761717597.625813563,50.69
2025/10/29-05:59:58.626000,1761717598.625947513,53.31
2025/10/29-05:59:59.626130,1761717599.626095680,35.19
2025/10/29-06:00:00.626257,1761717600.626215097,42.61
2025/10/29-06:00:01.626399,1761717601.626356313,43.42
2025/10/29-06:00:02.626538,1761717602.626488074,50.80
