2025/10/30-04:20:24.817798,1761798024.817710558,88.30
2025/10/30-04:20:24.828547,1761798024.828452379,95.00
2025/10/30-04:20:24.838972,1761798024.838869106,103.40
2025/10/30-04:20:24.850994,1761798024.850896616,97.85
2025/10/30-04:20:24.861157,1761798024.861087822,69.98
2025/10/30-04:20:24.871421,1761798024.871239469,182.44
2025/10/30-04:20:24.881595,1761798024.881493909,101.29
2025/10/30-04:20:24.891746,1761798024.891679924,66.33
2025/10/30-04:20:24.901940,1761798024.901828948,111.11
2025/10/30-04:20:24.912090,1761798024.912017054,72.97
2025/10/30-04:20:24.922243,1761798024.922160706,82.72
2025/10/30-04:20:24.932404,1761798024.932317643,86.60
2025/10/30-04:20:24.942557,1761798024.942477271,80.38
2025/10/30-04:20:24.952761,1761798024.952629581,132.24
2025/10/30-04:20:24.962907,1761798024.962832017,75.68
2025/10/30-04:20:24.973060,1761798024.972982640,77.79
2025/10/30-04:20:24.983253,1761798024.983140751,113.00
2025/10/30-04:20:24.993395,1761798024.993327848,67.49
2025/10/30-04:20:25.003548,1761798025.003468038,80.69
2025/10/30-04:20:25.013701,1761798025.013617640,83.90
2025/10/30-04:20:25.023855,1761798025.023774774,81.20
2025/10/30-04:20:25.034055,1761798025.033929454,125.58
2025/10/30-04:20:25.044203,1761798025.044135851,67.90
2025/10/30-04:20:25.054367,1761798025.054289747,77.60
2025/10/30-04:20:25.064964,1761798025.064880772,83.39
2025/10/30-04:20:25.075120,1761798025.075037781,82.53
2025/10/30-04:20:25.085274,1761798025.085201390,73.19
2025/10/30-04:20:25.095440,1761798025.095360607,80.18
2025/10/30-04:20:25.105596,1761798025.105509362,87.33
2025/10/30-04:20:25.115802,1761798025.115665424,137.46
2025/10/30-04:20:25.125936,1761798025.125856174,80.27
2025/10/30-04:20:25.136087,1761798025.136003620,83.87
2025/10/30-04:20:25.146246,1761798025.146165899,80.57
2025/10/30-04:20:25.156405,1761798025.156323522,82.46
2025/10/30-04:20:25.166561,1761798025.166473701,87.37
2025/10/30-04:20:25.176718,1761798025.176628163,90.25
2025/10/30-04:20:25.186871,1761798025.186785958,85.56
2025/10/30-04:20:25.197084,1761798025.196947081,137.05
2025/10/30-04:20:25.207243,1761798025.207165404,78.44
2025/10/30-04:20:25.217400,1761798025.217320107,80.09
2025/10/30-04:20:25.227557,1761798025.227479777,77.80
2025/10/30-04:20:25.237717,1761798025.237625073,92.07
2025/10/30-04:20:25.247881,1761798025.247795422,85.76
2025/10/30-04:20:25.258037,1761798025.257958500,78.77
2025/10/30-04:20:25.268207,1761798025.268126842,81.16
2025/10/30-04:20:25.278422,1761798025.278279790,142.92
2025/10/30-04:20:25.288576,1761798025.288501806,74.74
2025/10/30-04:20:25.298764,1761798025.298648836,116.15
2025/10/30-04:20:25.308917,1761798025.308858203,59.35
2025/10/30-04:20:25.319076,1761798025.318988006,88.03
2025/10/30-04:20:25.329222,1761798025.329143034,79.03
2025/10/30-04:20:25.339403,1761798025.339289267,113.75
2025/10/30-04:20:25.349544,1761798025.349476298,68.20
2025/10/30-04:20:25.359744,1761798025.359611385,132.84
2025/10/30-04:20:25.369894,1761798025.369812136,82.11
2025/10/30-04:20:25.380048,1761798025.379974450,73.87
2025/10/30-04:20:25.390205,1761798025.390115951,89.94
2025/10/30-04:20:25.400360,1761798025.400278493,82.22
2025/10/30-04:20:25.410508,1761798025.410433586,74.88
2025/10/30-04:20:25.420682,1761798025.420585851,96.71
2025/10/30-04:20:25.430829,1761798025.430751123,78.51
2025/10/30-04:20:25.440986,1761798025.440854704,132.23
2025/10/30-04:20:25.451147,1761798025.451061083,86.12
2025/10/30-04:20:25.461306,1761798025.461214423,92.06
2025/10/30-04:20:25.471467,1761798025.471376055,91.41
2025/10/30-04:20:25.481615,1761798025.481542011,73.23
2025/10/30-04:20:25.491771,1761798025.491682478,88.94
2025/10/30-04:20:25.501924,1761798025.501845032,79.53
2025/10/30-04:20:25.512089,1761798025.512004842,85.05
2025/10/30-04:20:25.522301,1761798025.522165197,136.61
2025/10/30-04:20:25.532447,1761798025.532370104,76.90
2025/10/30-04:20:25.542600,1761798025.542520705,80.25
2025/10/30-04:20:25.552757,1761798025.552670591,87.07
2025/10/30-04:20:25.562903,1761798025.562824869,78.51
2025/10/30-04:20:25.573051,1761798025.572981469,69.92
2025/10/30-04:20:25.583237,1761798025.583118735,118.74
2025/10/30-04:20:25.593381,1761798025.593312883,68.83
2025/10/30-04:20:25.603599,1761798025.603456581,142.70
2025/10/30-04:20:25.613746,1761798025.613672500,73.64
2025/10/30-04:20:25.623913,1761798025.623832848,80.52
2025/10/30-04:20:25.634063,1761798025.633980704,82.65
2025/10/30-04:20:25.644221,1761798025.644136000,85.90
2025/10/30-04:20:25.654369,1761798025.654289239,79.82
2025/10/30-04:20:25.664516,1761798025.664439328,76.93
2025/10/30-04:20:25.674662,1761798025.674588688,73.47
2025/10/30-04:20:25.684863,1761798025.684737089,126.44
2025/10/30-04:20:25.695030,1761798025.694956663,73.43
2025/10/30-04:20:25.705182,1761798025.705103478,78.86
2025/10/30-04:20:25.715341,1761798025.715259273,82.33
2025/10/30-04:20:25.725503,1761798025.725414652,88.41
2025/10/30-04:20:25.735657,1761798025.735577434,80.43
2025/10/30-04:20:25.745815,1761798025.745740086,75.72
2025/10/30-04:20:25.755938,1761798025.755867190,71.53
2025/10/30-04:20:25.766163,1761798025.766024664,139.32
2025/10/30-04:20:25.776319,1761798025.776233535,86.28
2025/10/30-04:20:25.786488,1761798025.786398906,89.17
2025/10/30-04:20:25.796650,1761798025.796560529,89.87
2025/10/30-04:20:25.806803,1761798025.806719250,84.71
2025/10/30-04:20:25.816941,1761798025.816849333,92.41
2025/10/30-04:20:25.827091,1761798025.827013810,77.43
2025/10/30-04:20:25.837247,1761798025.837174448,72.86
2025/10/30-04:20:25.847458,1761798025.847321480,137.31
2025/10/30-04:20:25.857627,1761798025.857533616,93.74
2025/10/30-04:20:25.867772,1761798025.867695419,77.48
2025/10/30-04:20:25.877949,1761798025.877860809,88.97
2025/10/30-04:20:25.888110,1761798025.888025205,85.77
2025/10/30-04:20:25.898262,1761798025.898181886,80.21
2025/10/30-04:20:25.908407,1761798025.908330039,77.49
2025/10/30-04:20:25.918558,1761798025.918480901,77.44
2025/10/30-04:20:25.928773,1761798025.928625827,147.58
2025/10/30-04:20:25.938926,1761798025.938847279,78.74
2025/10/30-04:20:25.949099,1761798025.949004874,94.80
2025/10/30-04:20:25.959270,1761798025.959178313,92.46
2025/10/30-04:20:25.969489,1761798025.969338607,150.63
2025/10/30-04:20:25.979646,1761798025.979562453,83.61
2025/10/30-04:20:25.989799,1761798025.989722074,77.71
2025/10/30-04:20:25.999935,1761798025.999863259,72.48
2025/10/30-04:20:26.010155,1761798026.010014430,141.16
2025/10/30-04:20:26.020306,1761798026.020225073,81.54
2025/10/30-04:20:26.030457,1761798026.030378758,78.40
2025/10/30-04:20:26.040607,1761798026.040529714,77.59
2025/10/30-04:20:26.050751,1761798026.050686795,64.56
