2025/11/26-10:00:26.723407,3512312.947536780,36.00
2025/11/26-10:00:27.724087,3512313.948186672,66.00
2025/11/26-10:00:28.724154,3512314.948257145,63.00
2025/11/26-10:00:29.724217,3512315.948324124,59.00
2025/11/26-10:00:30.724291,3512316.948390596,66.00
2025/11/26-10:00:31.724356,3512317.948457166,64.00
2025/11/26-10:00:32.724422,3512318.948523932,64.00
2025/11/26-10:00:33.724481,3512319.948589719,57.00
2025/11/26-10:00:34.724558,3512320.948656280,68.00
2025/11/26-10:00:35.724616,3512321.948721729,60.00
2025/11/26-10:00:36.724685,3512322.948787654,63.00
2025/11/26-10:00:37.724752,3512323.948854776,63.00
2025/11/26-10:00:38.724821,3512324.948921445,65.00
2025/11/26-10:00:39.724883,3512325.948987056,61.00
2025/11/26-10:00:40.724945,3512326.949054041,57.00
2025/11/26-10:00:41.725017,3512327.949119625,63.00
2025/11/26-10:00:42.725079,3512328.949185322,59.00
2025/11/26-10:00:43.725145,3512329.949250314,61.00
2025/11/26-10:00:44.725207,3512330.949316866,56.00
2025/11/26-10:00:45.725279,3512331.949382709,62.00
2025/11/26-10:00:46.725371,3512332.949449137,87.00
2025/11/26-10:00:47.725408,3512333.949515169,59.00
2025/11/26-10:00:48.725477,3512334.949581874,61.00
2025/11/26-10:00:49.725544,3512335.949647822,62.00
2025/11/26-10:00:50.725608,3512336.949714157,59.00
2025/11/26-10:00:51.725686,3512337.949779466,72.00
2025/11/26-10:00:52.725737,3512338.949846601,57.00
2025/11/26-10:00:53.725804,3512339.949912712,57.00
2025/11/26-10:00:54.725869,3512340.949978884,56.00
2025/11/26-10:00:55.725941,3512341.950043620,63.00
2025/11/26-10:00:56.726008,3512342.950110192,63.00
2025/11/26-10:00:57.726069,3512343.950176624,58.00
2025/11/26-10:00:58.726139,3512344.950242658,62.00
2025/11/26-10:00:59.726198,3512345.950307833,56.00
2025/11/26-10:01:00.726268,3512346.950373640,60.00
2025/11/26-10:01:01.726341,3512347.950440348,66.00
2025/11/26-10:01:02.726398,3512348.950506986,57.00
2025/11/26-10:01:03.726464,3512349.950573909,56.00
2025/11/26-10:01:04.726537,3512350.950640840,62.00
2025/11/26-10:01:05.726605,3512351.950706820,64.00
2025/11/26-10:01:06.726670,3512352.950773120,62.00
2025/11/26-10:01:07.726736,3512353.950838987,63.00
2025/11/26-10:01:08.726799,3512354.950905266,59.00
2025/11/26-10:01:09.726866,3512355.950972374,59.00
2025/11/26-10:01:10.726933,3512356.951039605,59.00
2025/11/26-10:01:11.727002,3512357.951105227,62.00
2025/11/26-10:01:12.727067,3512358.951172985,59.00
2025/11/26-10:01:13.727140,3512359.951242800,63.00
2025/11/26-10:01:14.727201,3512360.951309336,57.00
2025/11/26-10:01:15.727265,3512361.951374973,56.00
2025/11/26-10:01:16.727336,3512362.951441327,60.00
2025/11/26-10:01:17.727402,3512363.951508090,59.00
2025/11/26-10:01:18.727469,3512364.951574672,60.00
2025/11/26-10:01:19.727535,3512365.951640038,61.00
2025/11/26-10:01:20.727599,3512366.951706760,58.00
2025/11/26-10:01:21.727673,3512367.951773018,66.00
2025/11/26-10:01:22.727733,3512368.951839343,59.00
2025/11/26-10:01:23.727796,3512369.951904904,56.00
2025/11/26-10:01:24.727872,3512370.951971551,66.00
2025/11/26-10:01:25.727931,3512371.952038900,58.00
2025/11/26-10:01:26.727999,3512372.952104953,59.00
2025/11/26-10:01:27.728768,3512373.952875188,59.00
2025/11/26-10:01:28.728846,3512374.952942376,69.00
2025/11/26-10:01:29.728903,3512375.953010662,57.00
2025/11/26-10:01:30.728976,3512376.953078735,63.00
2025/11/26-10:01:31.729038,3512377.953143755,60.00
2025/11/26-10:01:32.729102,3512378.953209664,58.00
2025/11/26-10:01:33.729169,3512379.953276021,58.00
2025/11/26-10:01:34.729239,3512380.953342419,62.00
2025/11/26-10:01:35.729299,3512381.953407317,57.00
2025/11/26-10:01:36.729369,3512382.953474776,60.00
2025/11/26-10:01:37.729433,3512383.953539963,59.00
2025/11/26-10:01:38.729500,3512384.953606459,59.00
2025/11/26-10:01:39.729563,3512385.953671455,58.00
2025/11/26-10:01:40.729629,3512386.953737133,57.00
2025/11/26-10:01:41.729697,3512387.953803472,59.00
2025/11/26-10:01:42.729762,3512388.953870212,57.00
2025/11/26-10:01:43.729825,3512389.953935110,56.00
2025/11/26-10:01:44.729893,3512390.954008709,50.00
2025/11/26-10:01:45.729971,3512391.954075226,62.00
2025/11/26-10:01:46.730033,3512392.954140343,59.00
2025/11/26-10:01:47.730121,3512393.954204685,82.00
2025/11/26-10:01:48.730167,3512394.954271649,61.00
2025/11/26-10:01:49.730231,3512395.954337571,59.00
2025/11/26-10:01:50.730298,3512396.954404001,60.00
2025/11/26-10:01:51.730363,3512397.954469085,59.00
2025/11/26-10:01:52.730432,3512398.954535184,62.00
2025/11/26-10:01:53.730496,3512399.954602149,60.00
2025/11/26-10:01:54.730564,3512400.954669234,60.00
2025/11/26-10:01:55.730639,3512401.954744830,59.00
2025/11/26-10:01:56.730729,3512402.954830477,64.00
2025/11/26-10:01:57.730801,3512403.954906895,59.00
2025/11/26-10:01:58.730872,3512404.954975959,62.00
2025/11/26-10:01:59.730940,3512405.955042655,63.00
2025/11/26-10:02:00.731008,3512406.955110688,63.00
2025/11/26-10:02:01.731071,3512407.955176599,61.00
2025/11/26-10:02:02.731141,3512408.955243539,63.00
2025/11/26-10:02:03.731212,3512409.955313193,64.00
