2025/11/26-10:08:46.729039,3512812.953172918,32.00
2025/11/26-10:08:47.229682,3512813.453789591,58.00
2025/11/26-10:08:47.729754,3512813.953857817,61.00
2025/11/26-10:08:48.229843,3512814.453941167,67.00
2025/11/26-10:08:48.729906,3512814.954014709,57.00
2025/11/26-10:08:49.229971,3512815.454081723,55.00
2025/11/26-10:08:49.730053,3512815.954163453,55.00
2025/11/26-10:08:50.230123,3512816.454236599,52.00
2025/11/26-10:08:50.730190,3512816.954302846,53.00
2025/11/26-10:08:51.230271,3512817.454381839,55.00
2025/11/26-10:08:51.730342,3512817.954454554,53.00
2025/11/26-10:08:52.230413,3512818.454521721,57.00
2025/11/26-10:08:52.730495,3512818.954600718,60.00
2025/11/26-10:08:53.230563,3512819.454673489,55.00
2025/11/26-10:08:53.730630,3512819.954739608,56.00
2025/11/26-10:08:54.230711,3512820.454818594,58.00
2025/11/26-10:08:54.730780,3512820.954890347,56.00
2025/11/26-10:08:55.230843,3512821.454955902,52.00
2025/11/26-10:08:55.730928,3512821.955036732,57.00
2025/11/26-10:08:56.230995,3512822.455107911,53.00
2025/11/26-10:08:56.731063,3512822.955174102,55.00
2025/11/26-10:08:57.231144,3512823.455254331,56.00
2025/11/26-10:08:57.731227,3512823.955326089,66.00
2025/11/26-10:08:58.231281,3512824.455393458,53.00
2025/11/26-10:08:58.731363,3512824.955472397,56.00
2025/11/26-10:08:59.231431,3512825.455544057,53.00
2025/11/26-10:08:59.731501,3512825.955611665,54.00
2025/11/26-10:09:00.231584,3512826.455691652,58.00
2025/11/26-10:09:00.731652,3512826.955763234,55.00
2025/11/26-10:09:01.231721,3512827.455829523,57.00
2025/11/26-10:09:01.731796,3512827.955906785,55.00
2025/11/26-10:09:02.231867,3512828.455978550,54.00
2025/11/26-10:09:02.731932,3512828.956046003,52.00
2025/11/26-10:09:03.232017,3512829.456123101,60.00
2025/11/26-10:09:03.732081,3512829.956193738,53.00
2025/11/26-10:09:04.232149,3512830.456260308,54.00
2025/11/26-10:09:04.732234,3512830.956338789,61.00
2025/11/26-10:09:05.232298,3512831.456410287,54.00
2025/11/26-10:09:05.732363,3512831.956475063,54.00
2025/11/26-10:09:06.232447,3512832.456554329,58.00
2025/11/26-10:09:06.732515,3512832.956627070,53.00
2025/11/26-10:09:07.232582,3512833.456693798,53.00
2025/11/26-10:09:07.732662,3512833.956772675,55.00
2025/11/26-10:09:08.232735,3512834.456844397,57.00
2025/11/26-10:09:08.732798,3512834.956910424,53.00
2025/11/26-10:09:09.232878,3512835.456987273,56.00
2025/11/26-10:09:09.732947,3512835.957059779,52.00
2025/11/26-10:09:10.233025,3512836.457133640,57.00
2025/11/26-10:09:10.733102,3512836.957212187,55.00
2025/11/26-10:09:11.233172,3512837.457283724,54.00
2025/11/26-10:09:11.733248,3512837.957349806,64.00
2025/11/26-10:09:12.233319,3512838.457428513,57.00
2025/11/26-10:09:12.733389,3512838.957499564,56.00
2025/11/26-10:09:13.233449,3512839.457564910,50.00
2025/11/26-10:09:13.733530,3512839.957642419,53.00
2025/11/26-10:09:14.233604,3512840.457713666,56.00
2025/11/26-10:09:14.733672,3512840.957779942,58.00
2025/11/26-10:09:15.233744,3512841.457855636,54.00
2025/11/26-10:09:15.733816,3512841.957927385,54.00
2025/11/26-10:09:16.233881,3512842.457994214,52.00
2025/11/26-10:09:16.733917,3512842.958027530,55.00
2025/11/26-10:09:17.233994,3512843.458104341,56.00
2025/11/26-10:09:17.734096,3512843.958170591,91.00
2025/11/26-10:09:18.234126,3512844.458237081,54.00
2025/11/26-10:09:18.734192,3512844.958302475,55.00
2025/11/26-10:09:19.234254,3512845.458366795,53.00
2025/11/26-10:09:19.734326,3512845.958432773,59.00
2025/11/26-10:09:20.234385,3512846.458496880,54.00
2025/11/26-10:09:20.734446,3512846.958560133,51.00
2025/11/26-10:09:21.234511,3512847.458624514,52.00
2025/11/26-10:09:21.734580,3512847.958689751,55.00
2025/11/26-10:09:22.234642,3512848.458754156,53.00
2025/11/26-10:09:22.734707,3512848.958819444,53.00
2025/11/26-10:09:23.234802,3512849.458883419,84.00
2025/11/26-10:09:23.734842,3512849.958948212,60.00
2025/11/26-10:09:24.234900,3512850.459012775,53.00
2025/11/26-10:09:24.734963,3512850.959076534,53.00
2025/11/26-10:09:25.235028,3512851.459140171,54.00
2025/11/26-10:09:25.735092,3512851.959203628,54.00
2025/11/26-10:09:26.235158,3512852.459268381,55.00
2025/11/26-10:09:26.735219,3512852.959331846,52.00
2025/11/26-10:09:27.235283,3512853.459396593,52.00
2025/11/26-10:09:27.735348,3512853.959459723,54.00
2025/11/26-10:09:28.235409,3512854.459523810,50.00
2025/11/26-10:09:28.735481,3512854.959588233,59.00
2025/11/26-10:09:29.235541,3512855.459651807,55.00
2025/11/26-10:09:29.735603,3512855.959715111,54.00
2025/11/26-10:09:30.235666,3512856.459780209,52.00
2025/11/26-10:09:30.735732,3512856.959843848,54.00
2025/11/26-10:09:31.235796,3512857.459907790,54.00
2025/11/26-10:09:31.735861,3512857.959971514,55.00
2025/11/26-10:09:32.235903,3512858.460014784,54.00
2025/11/26-10:09:32.735965,3512858.960079036,51.00
2025/11/26-10:09:33.236034,3512859.460144518,55.00
2025/11/26-10:09:33.736096,3512859.960208425,53.00
2025/11/26-10:09:34.236162,3512860.460273105,54.00
2025/11/26-10:09:34.736228,3512860.960339082,54.00
2025/11/26-10:09:35.236297,3512861.460403853,58.00
2025/11/26-10:09:35.736360,3512861.960468590,57.00
2025/11/26-10:09:36.236422,3512862.460533108,55.00
2025/11/26-10:09:36.736486,3512862.960597400,54.00
2025/11/26-10:09:37.236547,3512863.460661627,51.00
2025/11/26-10:09:37.736617,3512863.960725628,57.00
2025/11/26-10:09:38.236678,3512864.460791100,53.00
2025/11/26-10:09:38.736745,3512864.960854166,56.00
2025/11/26-10:09:39.236804,3512865.460917619,52.00
2025/11/26-10:09:39.736868,3512865.960981942,52.00
2025/11/26-10:09:40.236899,3512866.461011544,53.00
2025/11/26-10:09:40.736964,3512866.961074910,55.00
2025/11/26-10:09:41.237027,3512867.461139245,53.00
2025/11/26-10:09:41.737092,3512867.961203750,54.00
2025/11/26-10:09:42.237156,3512868.461267861,53.00
2025/11/26-10:09:42.737219,3512868.961331402,53.00
2025/11/26-10:09:43.237305,3512869.461396490,74.00
2025/11/26-10:09:43.737349,3512869.961459607,55.00
2025/11/26-10:09:44.237414,3512870.461523112,57.00
2025/11/26-10:09:44.737475,3512870.961586658,54.00
2025/11/26-10:09:45.237536,3512871.461650305,52.00
2025/11/26-10:09:45.737604,3512871.961715578,54.00
2025/11/26-10:09:46.237665,3512872.461779990,51.00
2025/11/26-10:09:46.737746,3512872.961844241,67.00
2025/11/26-10:09:47.238534,3512873.462628601,71.00
2025/11/26-10:09:47.738578,3512873.962692791,51.00
2025/11/26-10:09:48.238648,3512874.462757714,56.00
2025/11/26-10:09:48.738711,3512874.962821789,55.00
2025/11/26-10:09:49.238775,3512875.462885409,55.00
2025/11/26-10:09:49.738844,3512875.962950989,58.00
2025/11/26-10:09:50.238902,3512876.463011627,56.00
2025/11/26-10:09:50.738971,3512876.963076835,59.00
2025/11/26-10:09:51.239028,3512877.463141385,52.00
2025/11/26-10:09:51.739102,3512877.963206054,61.00
2025/11/26-10:09:52.239158,3512878.463270247,54.00
2025/11/26-10:09:52.739222,3512878.963333462,54.00
2025/11/26-10:09:53.239286,3512879.463397910,54.00
2025/11/26-10:09:53.739350,3512879.963462337,54.00
2025/11/26-10:09:54.239416,3512880.463527404,54.00
2025/11/26-10:09:54.739482,3512880.963592706,55.00
2025/11/26-10:09:55.239546,3512881.463657553,54.00
2025/11/26-10:09:55.739608,3512881.963721331,52.00
2025/11/26-10:09:56.239677,3512882.463787403,55.00
2025/11/26-10:09:56.739748,3512882.963852169,61.00
2025/11/26-10:09:57.239805,3512883.463918097,52.00
2025/11/26-10:09:57.739871,3512883.963982611,54.00
2025/11/26-10:09:58.239934,3512884.464047102,53.00
2025/11/26-10:09:58.739997,3512884.964110936,52.00
2025/11/26-10:09:59.240064,3512885.464175131,55.00
2025/11/26-10:09:59.740132,3512885.964238386,59.00
2025/11/26-10:10:00.240188,3512886.464302539,51.00
2025/11/26-10:10:00.740256,3512886.964368569,53.00
2025/11/26-10:10:01.240321,3512887.464435056,52.00
2025/11/26-10:10:01.740387,3512887.964498230,54.00
2025/11/26-10:10:02.240460,3512888.464564123,62.00
2025/11/26-10:10:02.740516,3512888.964630424,51.00
2025/11/26-10:10:03.240585,3512889.464696099,54.00
2025/11/26-10:10:03.740651,3512889.964762382,55.00
2025/11/26-10:10:04.240718,3512890.464825634,58.00
2025/11/26-10:10:04.740781,3512890.964889989,57.00
2025/11/26-10:10:05.240845,3512891.464954451,56.00
2025/11/26-10:10:05.740905,3512891.965018344,53.00
2025/11/26-10:10:06.240974,3512892.465081840,58.00
2025/11/26-10:10:06.741035,3512892.965146975,54.00
2025/11/26-10:10:07.241121,3512893.465230995,55.00
2025/11/26-10:10:07.741184,3512893.965295976,53.00
2025/11/26-10:10:08.241250,3512894.465360193,55.00
2025/11/26-10:10:08.741313,3512894.965425420,54.00
2025/11/26-10:10:09.241378,3512895.465488857,55.00
2025/11/26-10:10:09.741436,3512895.965552021,50.00
2025/11/26-10:10:10.241508,3512896.465617055,57.00
2025/11/26-10:10:10.741570,3512896.965680428,55.00
2025/11/26-10:10:11.241630,3512897.465744221,51.00
2025/11/26-10:10:11.741700,3512897.965809916,56.00
2025/11/26-10:10:12.241761,3512898.465874232,52.00
2025/11/26-10:10:12.741832,3512898.965939072,58.00
2025/11/26-10:10:13.241901,3512899.466011564,55.00
2025/11/26-10:10:13.741965,3512899.966076694,54.00
2025/11/26-10:10:14.242027,3512900.466140394,52.00
2025/11/26-10:10:14.742111,3512900.966204335,72.00
2025/11/26-10:10:15.242157,3512901.466268042,55.00
2025/11/26-10:10:15.742220,3512901.966331709,54.00
2025/11/26-10:10:16.242292,3512902.466396871,61.00
2025/11/26-10:10:16.742348,3512902.966461235,52.00
2025/11/26-10:10:17.242416,3512903.466525865,56.00
2025/11/26-10:10:17.742483,3512903.966590320,59.00
2025/11/26-10:10:18.242538,3512904.466653416,51.00
2025/11/26-10:10:18.742629,3512904.966716729,78.00
2025/11/26-10:10:19.242670,3512905.466780099,55.00
2025/11/26-10:10:19.742730,3512905.966843616,52.00
2025/11/26-10:10:20.242792,3512906.466907709,50.00
2025/11/26-10:10:20.742860,3512906.966971538,54.00
2025/11/26-10:10:21.242927,3512907.467036759,56.00
2025/11/26-10:10:21.742987,3512907.967100551,52.00
2025/11/26-10:10:22.243051,3512908.467164325,52.00
2025/11/26-10:10:22.743119,3512908.967229231,55.00
2025/11/26-10:10:23.243181,3512909.467294271,53.00
2025/11/26-10:10:23.743247,3512909.967357333,55.00
2025/11/26-10:10:24.243310,3512910.467422108,53.00
2025/11/26-10:10:24.743374,3512910.967486061,53.00
2025/11/26-10:10:25.243446,3512911.467551185,60.00
