2025/11/26-10:06:27.938839,3512674.162968633,36.00
2025/11/26-10:06:28.939539,3512675.163645794,59.00
2025/11/26-10:06:29.939616,3512676.163721021,60.00
2025/11/26-10:06:30.939687,3512677.163791890,61.00
2025/11/26-10:06:31.939749,3512678.163859419,55.00
2025/11/26-10:06:32.939817,3512679.163927299,56.00
2025/11/26-10:06:33.939885,3512680.163995667,55.00
2025/11/26-10:06:34.939952,3512681.164062292,56.00
2025/11/26-10:06:35.940020,3512682.164129573,56.00
2025/11/26-10:06:36.940085,3512683.164197489,53.00
2025/11/26-10:06:37.940154,3512684.164263175,56.00
2025/11/26-10:06:38.940219,3512685.164330237,54.00
2025/11/26-10:06:39.940286,3512686.164397889,54.00
2025/11/26-10:06:40.940366,3512687.164463635,68.00
2025/11/26-10:06:41.940423,3512688.164531141,58.00
2025/11/26-10:06:42.940488,3512689.164598570,55.00
2025/11/26-10:06:43.940553,3512690.164664272,55.00
2025/11/26-10:06:44.940619,3512691.164730091,55.00
2025/11/26-10:06:45.940684,3512692.164794915,55.00
2025/11/26-10:06:46.940751,3512693.164861253,55.00
2025/11/26-10:06:47.940817,3512694.164927525,55.00
2025/11/26-10:06:48.940912,3512695.165017844,60.00
2025/11/26-10:06:49.940987,3512696.165096218,57.00
2025/11/26-10:06:50.941055,3512697.165163895,57.00
2025/11/26-10:06:51.941132,3512698.165242227,55.00
2025/11/26-10:06:52.941215,3512699.165321973,58.00
2025/11/26-10:06:53.941278,3512700.165389254,54.00
2025/11/26-10:06:54.941347,3512701.165456939,56.00
2025/11/26-10:06:55.941415,3512702.165524474,56.00
2025/11/26-10:06:56.941479,3512703.165591110,53.00
2025/11/26-10:06:57.941550,3512704.165659424,56.00
2025/11/26-10:06:58.941617,3512705.165725869,57.00
2025/11/26-10:06:59.941681,3512706.165791664,55.00
2025/11/26-10:07:00.941749,3512707.165859543,55.00
2025/11/26-10:07:01.941814,3512708.165924297,55.00
2025/11/26-10:07:02.941883,3512709.165993413,56.00
2025/11/26-10:07:03.941954,3512710.166060802,59.00
2025/11/26-10:07:04.942021,3512711.166127374,59.00
2025/11/26-10:07:05.942082,3512712.166192873,54.00
2025/11/26-10:07:06.942152,3512713.166260291,58.00
2025/11/26-10:07:07.942216,3512714.166326384,55.00
2025/11/26-10:07:08.942283,3512715.166392106,56.00
2025/11/26-10:07:09.942350,3512716.166459704,56.00
2025/11/26-10:07:10.942416,3512717.166525719,56.00
2025/11/26-10:07:11.942488,3512718.166592911,60.00
2025/11/26-10:07:12.942556,3512719.166659829,62.00
2025/11/26-10:07:13.942617,3512720.166725349,57.00
2025/11/26-10:07:14.942689,3512721.166796608,58.00
2025/11/26-10:07:15.942753,3512722.166860862,58.00
2025/11/26-10:07:16.942827,3512723.166926798,65.00
2025/11/26-10:07:17.942881,3512724.166992676,54.00
2025/11/26-10:07:18.942948,3512725.167058539,55.00
2025/11/26-10:07:19.943014,3512726.167124681,55.00
2025/11/26-10:07:20.943088,3512727.167191442,62.00
2025/11/26-10:07:21.943147,3512728.167257594,55.00
2025/11/26-10:07:22.943213,3512729.167322839,55.00
2025/11/26-10:07:23.943279,3512730.167390442,55.00
2025/11/26-10:07:24.943348,3512731.167457364,56.00
2025/11/26-10:07:25.943415,3512732.167522730,58.00
2025/11/26-10:07:26.943479,3512733.167588589,56.00
2025/11/26-10:07:27.943546,3512734.167655903,56.00
2025/11/26-10:07:28.944318,3512735.168427865,55.00
2025/11/26-10:07:29.944381,3512736.168494548,52.00
2025/11/26-10:07:30.944451,3512737.168561288,56.00
2025/11/26-10:07:31.944517,3512738.168626670,56.00
2025/11/26-10:07:32.944584,3512739.168694864,55.00
2025/11/26-10:07:33.944653,3512740.168760791,58.00
2025/11/26-10:07:34.944715,3512741.168825719,55.00
2025/11/26-10:07:35.944792,3512742.168890746,67.00
2025/11/26-10:07:36.944850,3512743.168957627,58.00
2025/11/26-10:07:37.944904,3512744.169014814,55.00
2025/11/26-10:07:38.944970,3512745.169082036,54.00
2025/11/26-10:07:39.945038,3512746.169147425,56.00
2025/11/26-10:07:40.945102,3512747.169212968,55.00
2025/11/26-10:07:41.945167,3512748.169279263,54.00
2025/11/26-10:07:42.945245,3512749.169345824,65.00
2025/11/26-10:07:43.945301,3512750.169410744,56.00
2025/11/26-10:07:44.945369,3512751.169477694,57.00
2025/11/26-10:07:45.945435,3512752.169543586,57.00
2025/11/26-10:07:46.945497,3512753.169608336,54.00
2025/11/26-10:07:47.945581,3512754.169675979,71.00
2025/11/26-10:07:48.945633,3512755.169742579,56.00
2025/11/26-10:07:49.945703,3512756.169809927,58.00
2025/11/26-10:07:50.945765,3512757.169875836,55.00
2025/11/26-10:07:51.945842,3512758.169942456,65.00
2025/11/26-10:07:52.945900,3512759.170011083,55.00
2025/11/26-10:07:53.945967,3512760.170076035,57.00
2025/11/26-10:07:54.946029,3512761.170141579,53.00
2025/11/26-10:07:55.946097,3512762.170208790,54.00
2025/11/26-10:07:56.946167,3512763.170276197,56.00
2025/11/26-10:07:57.946267,3512764.170342420,90.00
2025/11/26-10:07:58.946298,3512765.170408624,55.00
2025/11/26-10:07:59.946366,3512766.170475155,56.00
2025/11/26-10:08:00.946436,3512767.170541898,60.00
2025/11/26-10:08:01.946495,3512768.170606766,54.00
2025/11/26-10:08:02.946568,3512769.170675216,59.00
2025/11/26-10:08:03.946631,3512770.170740448,56.00
2025/11/26-10:08:04.946698,3512771.170808258,56.00
2025/11/26-10:08:05.946768,3512772.170873642,60.00
