2025/10/29-11:37:43.614955,1761737863.614882404,73.05
2025/10/29-11:37:44.615746,1761737864.615658098,87.97
2025/10/29-11:37:45.615904,1761737865.615833988,70.61
2025/10/29-11:37:46.616053,1761737866.615988477,64.57
2025/10/29-11:37:47.616215,1761737867.616138665,77.04
2025/10/29-11:37:48.616420,1761737868.616297565,122.56
2025/10/29-11:37:49.616585,1761737869.616503493,82.23
2025/10/29-11:37:50.616745,1761737870.616666119,79.75
2025/10/29-11:37:51.616913,1761737871.616825643,88.34
2025/10/29-11:37:52.617080,1761737872.616998343,82.08
2025/10/29-11:37:53.617244,1761737873.617159476,84.89
2025/10/29-11:37:54.617405,1761737874.617323343,81.76
2025/10/29-11:37:55.617548,1761737875.617481942,66.94
2025/10/29-11:37:56.617765,1761737876.617626853,138.94
2025/10/29-11:37:57.617931,1761737877.617851787,79.97
2025/10/29-11:37:58.618088,1761737878.618011495,77.38
2025/10/29-11:37:59.618253,1761737879.618171377,82.50
2025/10/29-11:38:00.618400,1761737880.618332203,68.19
2025/10/29-11:38:01.618560,1761737881.618477799,82.99
2025/10/29-11:38:02.618730,1761737882.618647292,83.13
2025/10/29-11:38:03.618904,1761737883.618823899,80.19
2025/10/29-11:38:04.619133,1761737884.618989155,143.97
2025/10/29-11:38:05.619308,1761737885.619222910,86.06
2025/10/29-11:38:06.619469,1761737886.619391917,77.86
2025/10/29-11:38:07.619627,1761737887.619550543,77.21
2025/10/29-11:38:08.619787,1761737888.619708193,78.94
2025/10/29-11:38:09.619947,1761737889.619860982,86.81
2025/10/29-11:38:10.620106,1761737890.620026594,79.97
2025/10/29-11:38:11.620270,1761737891.620190362,80.63
2025/10/29-11:38:12.620420,1761737892.620349061,71.72
2025/10/29-11:38:13.620592,1761737893.620508859,83.54
2025/10/29-11:38:14.620741,1761737894.620672140,69.08
2025/10/29-11:38:15.620902,1761737895.620822330,79.82
2025/10/29-11:38:16.621117,1761737896.620991638,125.86
2025/10/29-11:38:17.621282,1761737897.621199265,82.87
2025/10/29-11:38:18.621446,1761737898.621363934,82.29
2025/10/29-11:38:19.621609,1761737899.621532780,77.08
2025/10/29-11:38:20.621826,1761737900.621694257,132.16
2025/10/29-11:38:21.621994,1761737901.621914150,80.04
2025/10/29-11:38:22.622145,1761737902.622075122,70.49
2025/10/29-11:38:23.622305,1761737903.622232675,72.74
2025/10/29-11:38:24.622450,1761737904.622391236,59.13
2025/10/29-11:38:25.622607,1761737905.622531623,75.56
2025/10/29-11:38:26.622766,1761737906.622694946,71.80
2025/10/29-11:38:27.622934,1761737907.622856409,78.33
2025/10/29-11:38:28.623103,1761737908.623014941,88.20
2025/10/29-11:38:29.623267,1761737909.623186845,80.83
2025/10/29-11:38:30.623443,1761737910.623354139,89.40
2025/10/29-11:38:31.623585,1761737911.623525844,59.19
2025/10/29-11:38:32.623732,1761737912.623664675,68.29
2025/10/29-11:38:33.623880,1761737913.623809432,71.03
2025/10/29-11:38:34.624025,1761737914.623956908,68.93
2025/10/29-11:38:35.624172,1761737915.624101890,70.42
2025/10/29-11:38:36.624376,1761737916.624248189,128.75
2025/10/29-11:38:37.624524,1761737917.624454008,70.62
2025/10/29-11:38:38.624674,1761737918.624601583,72.68
2025/10/29-11:38:39.624817,1761737919.624752342,65.15
2025/10/29-11:38:40.624928,1761737920.624857693,70.44
2025/10/29-11:38:41.625073,1761737921.625005920,68.01
2025/10/29-11:38:42.625232,1761737922.625150508,81.92
