2025/11/10-09:49:13.238854,1762768153.238790941,63.07
2025/11/10-09:49:14.242370,1762768154.242310446,59.61
2025/11/10-09:49:15.242526,1762768155.242476110,50.67
2025/11/10-09:49:16.242674,1762768156.242623419,51.11
2025/11/10-09:49:17.242813,1762768157.242754942,58.27
2025/11/10-09:49:18.242898,1762768158.242849757,49.10
2025/11/10-09:49:19.243037,1762768159.242976199,60.86
2025/11/10-09:49:20.243180,1762768160.243115322,64.96
2025/11/10-09:49:21.243316,1762768161.243268508,47.84
2025/11/10-09:49:22.243454,1762768162.243404914,49.69
2025/11/10-09:49:23.243599,1762768163.243539403,59.85
2025/11/10-09:49:24.243733,1762768164.243679367,53.95
2025/11/10-09:49:25.243858,1762768165.243808319,50.60
2025/11/10-09:49:26.243994,1762768166.243944166,49.94
2025/11/10-09:49:27.244121,1762768167.244071592,49.58
2025/11/10-09:49:28.244247,1762768168.244200882,47.09
2025/11/10-09:49:29.244373,1762768169.244322073,51.75
2025/11/10-09:49:30.244508,1762768170.244453195,55.38
2025/11/10-09:49:31.244644,1762768171.244587405,57.04
2025/11/10-09:49:32.244772,1762768172.244719702,53.00
2025/11/10-09:49:33.244901,1762768173.244849112,52.26
2025/11/10-09:49:34.245026,1762768174.244977510,49.41
2025/11/10-09:49:35.245160,1762768175.245112260,47.91
2025/11/10-09:49:36.245288,1762768176.245240390,47.74
2025/11/10-09:49:37.245423,1762768177.245371486,51.91
2025/11/10-09:49:38.245550,1762768178.245499510,51.23
2025/11/10-09:49:39.247842,1762768179.245637809,2204.52
2025/11/10-09:49:40.248001,1762768180.247936733,64.81
2025/11/10-09:49:41.248133,1762768181.248080479,53.40
2025/11/10-09:49:42.248280,1762768182.248222396,57.97
2025/11/10-09:49:43.248413,1762768183.248359937,53.71
2025/11/10-09:49:44.248538,1762768184.248489728,48.45
2025/11/10-09:49:45.248680,1762768185.248624560,55.63
2025/11/10-09:49:46.248814,1762768186.248766095,47.91
2025/11/10-09:49:47.248900,1762768187.248853058,47.75
2025/11/10-09:49:48.249052,1762768188.248987401,65.12
2025/11/10-09:49:49.249180,1762768189.249131301,49.54
2025/11/10-09:49:50.249306,1762768190.249256628,50.11
2025/11/10-09:49:51.249435,1762768191.249381233,54.52
2025/11/10-09:49:52.249573,1762768192.249526764,47.20
2025/11/10-09:49:53.249705,1762768193.249673450,31.77
2025/11/10-09:49:54.249844,1762768194.249791533,52.85
2025/11/10-09:49:55.249983,1762768195.249929051,54.93
2025/11/10-09:49:56.250108,1762768196.250058894,49.23
2025/11/10-09:49:57.250255,1762768197.250211189,44.16
2025/11/10-09:49:58.250384,1762768198.250333806,50.90
2025/11/10-09:49:59.250520,1762768199.250463753,56.34
2025/11/10-09:50:00.250661,1762768200.250608443,52.77
2025/11/10-09:50:01.250789,1762768201.250735886,54.02
2025/11/10-09:50:02.250909,1762768202.250854915,54.84
2025/11/10-09:50:03.251036,1762768203.250988542,48.12
2025/11/10-09:50:04.251169,1762768204.251122601,46.99
2025/11/10-09:50:05.251312,1762768205.251254339,58.32
2025/11/10-09:50:06.251444,1762768206.251394377,50.34
2025/11/10-09:50:07.251569,1762768207.251519928,49.97
2025/11/10-09:50:08.251695,1762768208.251646774,48.62
2025/11/10-09:50:09.251829,1762768209.251770958,58.88
2025/11/10-09:50:10.252004,1762768210.251930698,73.84
2025/11/10-09:50:11.252130,1762768211.252078546,51.95
2025/11/10-09:50:12.252273,1762768212.252215064,58.90
