2025/11/10-10:03:24.988550,1762769004.988477718,72.49
2025/11/10-10:03:25.095366,1762769005.095303533,63.36
2025/11/10-10:03:25.195506,1762769005.195444564,61.57
2025/11/10-10:03:25.295627,1762769005.295581673,45.62
2025/11/10-10:03:25.395768,1762769005.395704049,64.54
2025/11/10-10:03:25.495919,1762769005.495848461,71.53
2025/11/10-10:03:25.596044,1762769005.595999053,45.51
2025/11/10-10:03:25.696177,1762769005.696114018,63.68
2025/11/10-10:03:25.796292,1762769005.796256424,36.38
2025/11/10-10:03:25.896408,1762769005.896365148,43.85
2025/11/10-10:03:25.996533,1762769005.996485123,47.94
2025/11/10-10:03:26.096653,1762769006.096608821,44.40
2025/11/10-10:03:26.196789,1762769006.196735309,53.71
2025/11/10-10:03:26.296895,1762769006.296853322,41.87
2025/11/10-10:03:26.397026,1762769006.396977478,49.20
2025/11/10-10:03:26.497153,1762769006.497094847,58.55
2025/11/10-10:03:26.597275,1762769006.597228093,47.15
2025/11/10-10:03:26.697393,1762769006.697348877,44.86
2025/11/10-10:03:26.797520,1762769006.797471515,48.54
2025/11/10-10:03:26.897641,1762769006.897594726,47.26
2025/11/10-10:03:26.997758,1762769006.997718308,39.92
2025/11/10-10:03:27.097883,1762769007.097839314,44.39
2025/11/10-10:03:27.198005,1762769007.197959164,46.07
2025/11/10-10:03:27.298122,1762769007.298079302,43.05
2025/11/10-10:03:27.398237,1762769007.398190573,46.70
2025/11/10-10:03:27.498365,1762769007.498317071,47.93
2025/11/10-10:03:27.598489,1762769007.598443915,45.75
2025/11/10-10:03:27.698611,1762769007.698564554,46.95
2025/11/10-10:03:27.798730,1762769007.798680462,50.43
2025/11/10-10:03:27.898849,1762769007.898802478,46.65
2025/11/10-10:03:27.998971,1762769007.998923641,47.36
2025/11/10-10:03:28.099095,1762769008.099056064,39.44
2025/11/10-10:03:28.199219,1762769008.199174772,44.55
2025/11/10-10:03:28.299355,1762769008.299290087,65.78
2025/11/10-10:03:28.399475,1762769008.399429363,46.50
2025/11/10-10:03:28.499593,1762769008.499547536,45.75
2025/11/10-10:03:28.599717,1762769008.599665152,52.76
2025/11/10-10:03:28.699848,1762769008.699790978,57.93
2025/11/10-10:03:28.799962,1762769008.799916950,45.46
2025/11/10-10:03:28.900085,1762769008.900039692,45.67
2025/11/10-10:03:29.000197,1762769009.000152356,45.59
2025/11/10-10:03:29.100319,1762769009.100272236,46.90
2025/11/10-10:03:29.200438,1762769009.200393980,44.98
2025/11/10-10:03:29.300556,1762769009.300509112,47.43
2025/11/10-10:03:29.400693,1762769009.400649243,44.55
2025/11/10-10:03:29.500815,1762769009.500765866,49.65
2025/11/10-10:03:29.600893,1762769009.600845849,47.70
2025/11/10-10:03:29.701015,1762769009.700966226,49.21
2025/11/10-10:03:29.801139,1762769009.801097149,42.64
2025/11/10-10:03:29.901269,1762769009.901215580,53.97
2025/11/10-10:03:30.001414,1762769010.001348492,65.82
2025/11/10-10:03:30.101575,1762769010.101490469,85.21
2025/11/10-10:03:30.201721,1762769010.201648939,72.40
2025/11/10-10:03:30.301844,1762769010.301799750,44.43
2025/11/10-10:03:30.401956,1762769010.401912105,44.45
2025/11/10-10:03:30.502070,1762769010.502023954,47.04
2025/11/10-10:03:30.602217,1762769010.602146467,71.03
2025/11/10-10:03:30.702359,1762769010.702290209,69.08
2025/11/10-10:03:30.802472,1762769010.802427103,45.22
2025/11/10-10:03:30.902602,1762769010.902551487,51.42
2025/11/10-10:03:31.002716,1762769011.002675835,40.45
2025/11/10-10:03:31.102848,1762769011.102798832,49.36
2025/11/10-10:03:31.202963,1762769011.202916603,47.05
2025/11/10-10:03:31.303106,1762769011.303032760,73.41
2025/11/10-10:03:31.403241,1762769011.403181255,60.29
2025/11/10-10:03:31.503354,1762769011.503310812,43.65
2025/11/10-10:03:31.603490,1762769011.603445772,44.46
2025/11/10-10:03:31.703619,1762769011.703575980,43.74
2025/11/10-10:03:31.803737,1762769011.803688322,49.21
2025/11/10-10:03:31.903861,1762769011.903816842,44.55
2025/11/10-10:03:32.003975,1762769012.003930285,45.12
2025/11/10-10:03:32.104101,1762769012.104049555,51.62
2025/11/10-10:03:32.204258,1762769012.204182449,75.70
2025/11/10-10:03:32.304387,1762769012.304339655,48.18
2025/11/10-10:03:32.404505,1762769012.404456618,48.51
2025/11/10-10:03:32.504618,1762769012.504574299,44.62
2025/11/10-10:03:32.604738,1762769012.604692469,45.70
2025/11/10-10:03:32.704865,1762769012.704806232,59.34
2025/11/10-10:03:32.804978,1762769012.804933134,44.96
2025/11/10-10:03:32.905096,1762769012.905049739,47.05
2025/11/10-10:03:33.005225,1762769013.005182477,42.99
2025/11/10-10:03:33.105344,1762769013.105293453,50.71
2025/11/10-10:03:33.205461,1762769013.205416764,44.40
2025/11/10-10:03:33.305581,1762769013.305536824,44.46
2025/11/10-10:03:33.405694,1762769013.405648507,46.40
2025/11/10-10:03:33.505824,1762769013.505770778,53.38
2025/11/10-10:03:33.605896,1762769013.605851920,44.19
2025/11/10-10:03:33.706025,1762769013.705976222,49.20
2025/11/10-10:03:33.806147,1762769013.806093949,53.13
