2025/11/10-09:09:44.934158,1762765784.934063388,95.21
2025/11/10-09:09:45.041442,1762765785.041364683,77.78
2025/11/10-09:09:45.141612,1762765785.141536139,76.07
2025/11/10-09:09:45.241781,1762765785.241695054,86.64
2025/11/10-09:09:45.341932,1762765785.341849576,82.68
2025/11/10-09:09:45.442096,1762765785.442015903,80.45
2025/11/10-09:09:45.542270,1762765785.542171012,99.19
2025/11/10-09:09:45.642425,1762765785.642340029,85.29
2025/11/10-09:09:45.742617,1762765785.742506589,111.23
2025/11/10-09:09:45.842773,1762765785.842687446,85.78
2025/11/10-09:09:45.942940,1762765785.942849462,90.61
2025/11/10-09:09:46.043091,1762765786.043009946,81.93
2025/11/10-09:09:46.143260,1762765786.143171626,88.68
2025/11/10-09:09:46.243425,1762765786.243342417,83.31
2025/11/10-09:09:46.343578,1762765786.343494690,83.62
2025/11/10-09:09:46.443748,1762765786.443654401,93.98
2025/11/10-09:09:46.543898,1762765786.543817473,81.44
2025/11/10-09:09:46.644060,1762765786.643973235,86.89
2025/11/10-09:09:46.744225,1762765786.744140520,84.75
2025/11/10-09:09:46.844387,1762765786.844302021,85.23
2025/11/10-09:09:46.944554,1762765786.944470074,84.34
2025/11/10-09:09:47.044729,1762765787.044640799,88.98
2025/11/10-09:09:47.144883,1762765787.144799574,83.90
2025/11/10-09:09:47.245058,1762765787.244952963,105.13
2025/11/10-09:09:47.345213,1762765787.345127473,85.61
2025/11/10-09:09:47.445391,1762765787.445303393,88.30
2025/11/10-09:09:47.545543,1762765787.545461435,81.99
2025/11/10-09:09:47.645705,1762765787.645618996,86.44
2025/11/10-09:09:47.745859,1762765787.745774694,84.70
2025/11/10-09:09:47.846016,1762765787.845928611,87.61
2025/11/10-09:09:47.946180,1762765787.946097763,82.57
2025/11/10-09:09:48.046344,1762765788.046259880,84.29
2025/11/10-09:09:48.146508,1762765788.146413776,94.69
2025/11/10-09:09:48.246666,1762765788.246588523,77.73
2025/11/10-09:09:48.346832,1762765788.346735458,96.93
2025/11/10-09:09:48.447008,1762765788.446923877,84.12
