2025/11/17-15:53:09.568072,1763394789.568021688,51.30
2025/11/17-15:53:09.671130,1763394789.671078243,52.08
2025/11/17-15:53:09.771263,1763394789.771220404,42.86
2025/11/17-15:53:09.871377,1763394789.871332663,44.60
2025/11/17-15:53:09.971486,1763394789.971443649,42.37
2025/11/17-15:53:10.071594,1763394790.071552492,41.75
2025/11/17-15:53:10.171699,1763394790.171659084,40.83
2025/11/17-15:53:10.271806,1763394790.271765389,41.17
2025/11/17-15:53:10.371887,1763394790.371844460,43.07
2025/11/17-15:53:10.472001,1763394790.471955805,45.33
2025/11/17-15:53:10.572108,1763394790.572068577,40.29
2025/11/17-15:53:10.672223,1763394790.672180038,43.62
2025/11/17-15:53:10.772328,1763394790.772287304,41.40
2025/11/17-15:53:10.872438,1763394790.872396418,42.10
2025/11/17-15:53:10.972546,1763394790.972502477,44.07
2025/11/17-15:53:11.072649,1763394791.072609790,39.49
2025/11/17-15:53:11.172760,1763394791.172718898,41.14
2025/11/17-15:53:11.272867,1763394791.272823332,44.08
2025/11/17-15:53:11.372977,1763394791.372934895,42.74
2025/11/17-15:53:11.473085,1763394791.473041063,44.02
2025/11/17-15:53:11.573189,1763394791.573148701,40.58
2025/11/17-15:53:11.673293,1763394791.673255277,38.59
2025/11/17-15:53:11.773396,1763394791.773357195,38.99
2025/11/17-15:53:11.873501,1763394791.873459836,41.17
2025/11/17-15:53:11.973605,1763394791.973564511,40.79
2025/11/17-15:53:12.073712,1763394792.073667842,44.36
2025/11/17-15:53:12.173813,1763394792.173774869,39.04
2025/11/17-15:53:12.273899,1763394792.273845279,54.72
2025/11/17-15:53:12.374049,1763394792.373962520,87.02
2025/11/17-15:53:12.474187,1763394792.474114601,73.03
2025/11/17-15:53:12.574332,1763394792.574252017,80.72
2025/11/17-15:53:12.674476,1763394792.674397228,78.80
2025/11/17-15:53:12.774622,1763394792.774543077,79.83
2025/11/17-15:53:12.874766,1763394792.874686304,80.50
2025/11/17-15:53:12.974912,1763394792.974830089,82.69
2025/11/17-15:53:13.075052,1763394793.074978525,74.07
2025/11/17-15:53:13.175157,1763394793.175115174,42.12
2025/11/17-15:53:13.275261,1763394793.275220580,41.32
2025/11/17-15:53:13.375365,1763394793.375324991,40.61
2025/11/17-15:53:13.475469,1763394793.475428511,40.88
2025/11/17-15:53:13.575573,1763394793.575531940,41.83
2025/11/17-15:53:13.675676,1763394793.675636291,40.40
2025/11/17-15:53:13.775783,1763394793.775745771,37.54
2025/11/17-15:53:13.875884,1763394793.875843644,40.99
2025/11/17-15:53:13.975998,1763394793.975953419,44.64
2025/11/17-15:53:14.076103,1763394794.076062989,40.69
2025/11/17-15:53:14.176207,1763394794.176166912,40.69
2025/11/17-15:53:14.276330,1763394794.276287559,43.32
2025/11/17-15:53:14.376434,1763394794.376393369,41.36
2025/11/17-15:53:14.476535,1763394794.476496896,38.95
2025/11/17-15:53:14.576639,1763394794.576599330,40.40
2025/11/17-15:53:14.676742,1763394794.676703141,39.73
2025/11/17-15:53:14.776849,1763394794.776809034,40.06
2025/11/17-15:53:14.876951,1763394794.876911742,39.30
2025/11/17-15:53:14.977053,1763394794.977013726,39.77
2025/11/17-15:53:15.077160,1763394795.077118841,42.08
2025/11/17-15:53:15.177261,1763394795.177223594,37.53
2025/11/17-15:53:15.277372,1763394795.277329908,42.83
2025/11/17-15:53:15.377482,1763394795.377441712,40.77
2025/11/17-15:53:15.477586,1763394795.477545751,40.76
2025/11/17-15:53:15.577693,1763394795.577652339,40.69
2025/11/17-15:53:15.677801,1763394795.677755855,45.94
2025/11/17-15:53:15.777886,1763394795.777846947,39.32
2025/11/17-15:53:15.877993,1763394795.877949305,44.53
2025/11/17-15:53:15.978115,1763394795.978057083,58.62
2025/11/17-15:53:16.078217,1763394796.078178148,39.56
2025/11/17-15:53:16.178324,1763394796.178280014,44.79
2025/11/17-15:53:16.278433,1763394796.278387046,46.80
2025/11/17-15:53:16.378538,1763394796.378496361,41.84
2025/11/17-15:53:16.478640,1763394796.478601173,39.05
2025/11/17-15:53:16.578753,1763394796.578707377,46.05
2025/11/17-15:53:16.678863,1763394796.678816347,47.56
2025/11/17-15:53:16.778967,1763394796.778925962,41.16
2025/11/17-15:53:16.879067,1763394796.879029337,38.50
2025/11/17-15:53:16.979173,1763394796.979133130,40.18
2025/11/17-15:53:17.079279,1763394797.079235383,44.60
2025/11/17-15:53:17.179382,1763394797.179342689,39.62
