2025/11/17-15:51:30.586934,1763394690.586891932,42.38
2025/11/17-15:51:31.587648,1763394691.587598055,50.12
2025/11/17-15:51:32.587772,1763394692.587720338,52.62
2025/11/17-15:51:33.587891,1763394693.587846842,44.53
2025/11/17-15:51:34.588005,1763394694.587960059,45.74
2025/11/17-15:51:35.588121,1763394695.588074329,47.64
2025/11/17-15:51:36.588239,1763394696.588192848,46.72
2025/11/17-15:51:37.588366,1763394697.588320035,46.61
2025/11/17-15:51:38.588495,1763394698.588449623,45.75
2025/11/17-15:51:39.588617,1763394699.588569405,48.58
2025/11/17-15:51:40.588733,1763394700.588687544,46.08
2025/11/17-15:51:41.588848,1763394701.588802747,46.11
2025/11/17-15:51:42.588966,1763394702.588920131,46.05
2025/11/17-15:51:43.589080,1763394703.589038254,42.09
2025/11/17-15:51:44.589195,1763394704.589148783,47.13
2025/11/17-15:51:45.589309,1763394705.589263472,45.53
2025/11/17-15:51:46.589425,1763394706.589380128,44.88
2025/11/17-15:51:47.589561,1763394707.589492857,69.14
2025/11/17-15:51:48.589674,1763394708.589629936,44.47
2025/11/17-15:51:49.589787,1763394709.589741823,45.34
2025/11/17-15:51:50.589900,1763394710.589854444,45.61
2025/11/17-15:51:51.590011,1763394711.589967256,44.21
2025/11/17-15:51:52.590125,1763394712.590079331,46.25
2025/11/17-15:51:53.590239,1763394713.590193541,46.12
2025/11/17-15:51:54.590356,1763394714.590309509,46.74
2025/11/17-15:51:55.590472,1763394715.590425415,46.59
2025/11/17-15:51:56.590583,1763394716.590539180,44.47
2025/11/17-15:51:57.590699,1763394717.590654864,44.26
2025/11/17-15:51:58.590811,1763394718.590765795,45.76
2025/11/17-15:51:59.590927,1763394719.590878732,48.32
2025/11/17-15:52:00.591038,1763394720.590993810,45.14
2025/11/17-15:52:01.591150,1763394721.591106200,43.91
2025/11/17-15:52:02.591262,1763394722.591217880,44.42
2025/11/17-15:52:03.591389,1763394723.591340142,49.13
2025/11/17-15:52:04.591502,1763394724.591456492,46.14
2025/11/17-15:52:05.591616,1763394725.591569719,46.38
2025/11/17-15:52:06.591729,1763394726.591683560,45.77
2025/11/17-15:52:07.591850,1763394727.591797514,53.11
2025/11/17-15:52:08.591966,1763394728.591919542,46.76
2025/11/17-15:52:09.592082,1763394729.592033482,48.87
2025/11/17-15:52:10.592197,1763394730.592149660,47.60
2025/11/17-15:52:11.592310,1763394731.592265032,45.09
2025/11/17-15:52:12.592428,1763394732.592379247,49.27
2025/11/17-15:52:13.592546,1763394733.592498288,48.30
2025/11/17-15:52:14.592673,1763394734.592627076,46.88
2025/11/17-15:52:15.592787,1763394735.592741004,46.12
2025/11/17-15:52:16.592905,1763394736.592858682,46.94
2025/11/17-15:52:17.593026,1763394737.592981071,45.39
2025/11/17-15:52:18.593143,1763394738.593093625,49.53
2025/11/17-15:52:19.593254,1763394739.593210170,44.20
2025/11/17-15:52:20.593368,1763394740.593325601,42.44
2025/11/17-15:52:21.593480,1763394741.593435256,44.80
2025/11/17-15:52:22.593598,1763394742.593551173,46.86
2025/11/17-15:52:23.593714,1763394743.593668476,45.89
2025/11/17-15:52:24.593829,1763394744.593782076,46.96
2025/11/17-15:52:25.593948,1763394745.593905333,43.60
2025/11/17-15:52:26.594065,1763394746.594018153,46.93
2025/11/17-15:52:27.594176,1763394747.594132619,44.30
2025/11/17-15:52:28.594293,1763394748.594246779,47.02
2025/11/17-15:52:29.594406,1763394749.594361522,45.09
