2025/11/12-19:06:33.191894,1762974393.191857269,37.37
2025/11/12-19:06:33.202770,1762974393.202728399,41.86
2025/11/12-19:06:33.213904,1762974393.213855814,48.50
2025/11/12-19:06:33.224045,1762974393.223990745,54.73
2025/11/12-19:06:33.234154,1762974393.234111157,42.84
2025/11/12-19:06:33.244285,1762974393.244232274,53.02
2025/11/12-19:06:33.254411,1762974393.254356837,54.34
2025/11/12-19:06:33.264523,1762974393.264477463,45.74
2025/11/12-19:06:33.274643,1762974393.274592740,50.38
2025/11/12-19:06:33.287909,1762974393.287859402,50.08
2025/11/12-19:06:33.298020,1762974393.297985643,34.55
2025/11/12-19:06:33.308143,1762974393.308089920,53.61
2025/11/12-19:06:33.318254,1762974393.318208179,46.44
2025/11/12-19:06:33.328372,1762974393.328321563,50.74
2025/11/12-19:06:33.338475,1762974393.338435370,39.79
2025/11/12-19:06:33.348594,1762974393.348540455,53.92
2025/11/12-19:06:33.358705,1762974393.358657631,47.99
2025/11/12-19:06:33.368819,1762974393.368775309,44.42
2025/11/12-19:06:33.378899,1762974393.378854993,44.08
2025/11/12-19:06:33.389020,1762974393.388966953,53.83
2025/11/12-19:06:33.399129,1762974393.399084284,45.14
2025/11/12-19:06:33.409233,1762974393.409195563,38.12
2025/11/12-19:06:33.419340,1762974393.419301971,38.80
2025/11/12-19:06:33.429453,1762974393.429403578,50.01
2025/11/12-19:06:33.439563,1762974393.439515760,47.71
2025/11/12-19:06:33.449666,1762974393.449625878,40.51
2025/11/12-19:06:33.459787,1762974393.459735883,51.20
2025/11/12-19:06:33.469885,1762974393.469850792,34.21
2025/11/12-19:06:33.480030,1762974393.479954954,75.84
2025/11/12-19:06:33.490140,1762974393.490092824,47.81
2025/11/12-19:06:33.500250,1762974393.500203507,47.36
2025/11/12-19:06:33.510364,1762974393.510313131,51.00
2025/11/12-19:06:33.520481,1762974393.520430588,50.42
2025/11/12-19:06:33.530605,1762974393.530543391,61.68
2025/11/12-19:06:33.540711,1762974393.540671377,40.00
2025/11/12-19:06:33.550829,1762974393.550788779,40.66
2025/11/12-19:06:33.560891,1762974393.560849635,42.24
2025/11/12-19:06:33.571001,1762974393.570959245,42.18
2025/11/12-19:06:33.581104,1762974393.581071612,32.94
2025/11/12-19:06:33.591221,1762974393.591179597,41.79
2025/11/12-19:06:33.601331,1762974393.601291320,40.65
2025/11/12-19:06:33.611444,1762974393.611405467,38.80
2025/11/12-19:06:33.621553,1762974393.621514131,39.43
2025/11/12-19:06:33.631659,1762974393.631621868,37.86
2025/11/12-19:06:33.641783,1762974393.641745102,38.24
2025/11/12-19:06:33.651890,1762974393.651851893,38.78
2025/11/12-19:06:33.662010,1762974393.661952428,58.48
2025/11/12-19:06:33.672113,1762974393.672073262,40.01
2025/11/12-19:06:33.682217,1762974393.682175930,41.32
2025/11/12-19:06:33.692338,1762974393.692281939,56.18
2025/11/12-19:06:33.702438,1762974393.702399832,38.89
2025/11/12-19:06:33.712561,1762974393.712515973,45.58
2025/11/12-19:06:33.722690,1762974393.722623570,66.44
2025/11/12-19:06:33.732795,1762974393.732754318,40.95
2025/11/12-19:06:33.742900,1762974393.742853766,46.56
2025/11/12-19:06:33.753012,1762974393.752974748,37.82
2025/11/12-19:06:33.763132,1762974393.763078847,53.43
2025/11/12-19:06:33.773259,1762974393.773210246,48.83
2025/11/12-19:06:33.783363,1762974393.783320722,42.79
2025/11/12-19:06:33.793476,1762974393.793436847,40.15
2025/11/12-19:06:33.803591,1762974393.803544566,46.95
2025/11/12-19:06:33.813718,1762974393.813658992,59.77
2025/11/12-19:06:33.823829,1762974393.823785023,44.72
2025/11/12-19:06:33.833889,1762974393.833843099,46.68
2025/11/12-19:06:33.843998,1762974393.843957711,41.15
2025/11/12-19:06:33.854109,1762974393.854069226,40.23
2025/11/12-19:06:33.864212,1762974393.864172239,40.64
2025/11/12-19:06:33.874324,1762974393.874284306,40.43
2025/11/12-19:06:33.884432,1762974393.884392491,39.81
2025/11/12-19:06:33.894546,1762974393.894505322,41.30
2025/11/12-19:06:33.904665,1762974393.904615102,50.33
2025/11/12-19:06:33.914772,1762974393.914737671,34.45
2025/11/12-19:06:33.924896,1762974393.924847647,48.77
2025/11/12-19:06:33.934999,1762974393.934960023,39.62
2025/11/12-19:06:33.945107,1762974393.945061204,46.06
2025/11/12-19:06:33.955217,1762974393.955176459,40.55
2025/11/12-19:06:33.965328,1762974393.965283063,45.28
2025/11/12-19:06:33.975429,1762974393.975390229,39.62
2025/11/12-19:06:33.985530,1762974393.985491513,38.88
2025/11/12-19:06:33.995639,1762974393.995597513,42.19
2025/11/12-19:06:34.005766,1762974394.005703863,62.96
2025/11/12-19:06:34.015869,1762974394.015828516,40.53
2025/11/12-19:06:34.025998,1762974394.025933145,65.35
2025/11/12-19:06:34.036103,1762974394.036059675,44.04
2025/11/12-19:06:34.046209,1762974394.046165310,44.61
2025/11/12-19:06:34.056312,1762974394.056271492,41.07
2025/11/12-19:06:34.066416,1762974394.066378532,37.81
2025/11/12-19:06:34.076521,1762974394.076477883,44.05
2025/11/12-19:06:34.086633,1762974394.086589995,43.60
2025/11/12-19:06:34.096734,1762974394.096694833,39.48
2025/11/12-19:06:34.106841,1762974394.106795629,45.49
2025/11/12-19:06:34.116945,1762974394.116903412,42.33
2025/11/12-19:06:34.127046,1762974394.127007102,39.09
2025/11/12-19:06:34.137165,1762974394.137119969,45.91
2025/11/12-19:06:34.147279,1762974394.147238030,41.16
2025/11/12-19:06:34.157388,1762974394.157347737,41.01
2025/11/12-19:06:34.167507,1762974394.167455738,51.49
2025/11/12-19:06:34.177610,1762974394.177571380,39.00
2025/11/12-19:06:34.187717,1762974394.187678305,38.90
2025/11/12-19:06:34.197822,1762974394.197779879,42.74
2025/11/12-19:06:34.207889,1762974394.207846478,42.62
2025/11/12-19:06:34.217995,1762974394.217959840,35.45
2025/11/12-19:06:34.228100,1762974394.228060455,40.28
2025/11/12-19:06:34.238213,1762974394.238163808,49.91
2025/11/12-19:06:34.248318,1762974394.248275363,43.41
2025/11/12-19:06:34.258442,1762974394.258385727,56.69
2025/11/12-19:06:34.268544,1762974394.268505068,39.80
2025/11/12-19:06:34.278649,1762974394.278606479,42.59
2025/11/12-19:06:34.288756,1762974394.288715830,40.70
2025/11/12-19:06:34.298864,1762974394.298822631,42.25
2025/11/12-19:06:34.308967,1762974394.308928850,38.56
2025/11/12-19:06:34.319074,1762974394.319028897,45.87
2025/11/12-19:06:34.329182,1762974394.329137139,45.05
2025/11/12-19:06:34.339298,1762974394.339256890,41.55
2025/11/12-19:06:34.349408,1762974394.349365269,43.54
2025/11/12-19:06:34.359533,1762974394.359480833,52.52
2025/11/12-19:06:34.369642,1762974394.369601512,41.15
2025/11/12-19:06:34.379753,1762974394.379709486,44.19
2025/11/12-19:06:34.389864,1762974394.389821528,42.74
2025/11/12-19:06:34.399973,1762974394.399928420,44.75
2025/11/12-19:06:34.410080,1762974394.410035071,45.56
2025/11/12-19:06:34.420183,1762974394.420142650,40.51
2025/11/12-19:06:34.430284,1762974394.430244701,40.20
2025/11/12-19:06:34.440386,1762974394.440346817,39.94
2025/11/12-19:06:34.450496,1762974394.450453070,43.13
2025/11/12-19:06:34.460598,1762974394.460558066,40.77
2025/11/12-19:06:34.470709,1762974394.470666174,43.66
2025/11/12-19:06:34.480823,1762974394.480781940,41.66
2025/11/12-19:06:34.490895,1762974394.490856439,39.26
2025/11/12-19:06:34.501001,1762974394.500969890,31.16
2025/11/12-19:06:34.511118,1762974394.511073993,44.56
2025/11/12-19:06:34.521226,1762974394.521185458,41.07
2025/11/12-19:06:34.531327,1762974394.531288116,39.00
2025/11/12-19:06:34.541430,1762974394.541389605,41.21
2025/11/12-19:06:34.551531,1762974394.551492705,38.64
2025/11/12-19:06:34.561633,1762974394.561593153,40.20
2025/11/12-19:06:34.571744,1762974394.571704467,40.31
2025/11/12-19:06:34.581870,1762974394.581827844,43.10
2025/11/12-19:06:34.591991,1762974394.591947184,43.82
2025/11/12-19:06:34.602090,1762974394.602052113,38.84
2025/11/12-19:06:34.612192,1762974394.612152802,39.98
2025/11/12-19:06:34.622302,1762974394.622254225,48.09
2025/11/12-19:06:34.632405,1762974394.632364190,41.76
2025/11/12-19:06:34.642519,1762974394.642470965,48.15
2025/11/12-19:06:34.652635,1762974394.652586711,48.65
2025/11/12-19:06:34.662742,1762974394.662700929,41.15
2025/11/12-19:06:34.672856,1762974394.672818010,38.40
2025/11/12-19:06:34.682967,1762974394.682924065,43.81
2025/11/12-19:06:34.693074,1762974394.693030298,44.68
2025/11/12-19:06:34.703183,1762974394.703139202,43.99
2025/11/12-19:06:34.713292,1762974394.713248865,43.23
2025/11/12-19:06:34.723403,1762974394.723362809,41.06
2025/11/12-19:06:34.733554,1762974394.733503165,51.01
2025/11/12-19:06:34.743660,1762974394.743615583,45.41
2025/11/12-19:06:34.753761,1762974394.753722164,39.54
2025/11/12-19:06:34.763871,1762974394.763823329,47.90
2025/11/12-19:06:34.773975,1762974394.773932050,43.65
2025/11/12-19:06:34.784076,1762974394.784037213,39.40
2025/11/12-19:06:34.794181,1762974394.794137472,43.83
2025/11/12-19:06:34.804299,1762974394.804242752,56.42
2025/11/12-19:06:34.814410,1762974394.814369081,41.87
2025/11/12-19:06:34.824522,1762974394.824482900,39.31
2025/11/12-19:06:34.834627,1762974394.834585770,41.97
2025/11/12-19:06:34.844738,1762974394.844697994,40.15
2025/11/12-19:06:34.854848,1762974394.854799938,48.78
2025/11/12-19:06:34.864966,1762974394.864918458,48.39
2025/11/12-19:06:34.875067,1762974394.875027920,39.47
2025/11/12-19:06:34.885168,1762974394.885129032,39.00
2025/11/12-19:06:34.895278,1762974394.895236222,41.86
2025/11/12-19:06:34.905382,1762974394.905339629,42.63
2025/11/12-19:06:34.915493,1762974394.915443553,49.53
2025/11/12-19:06:34.925618,1762974394.925554092,64.14
2025/11/12-19:06:34.935730,1762974394.935688796,42.10
2025/11/12-19:06:34.945839,1762974394.945792269,47.04
2025/11/12-19:06:34.955941,1762974394.955903383,37.83
2025/11/12-19:06:34.966041,1762974394.966002335,39.50
2025/11/12-19:06:34.976148,1762974394.976102771,45.36
2025/11/12-19:06:34.986259,1762974394.986215815,43.63
2025/11/12-19:06:34.996365,1762974394.996326198,39.79
2025/11/12-19:06:35.006472,1762974395.006431648,40.96
2025/11/12-19:06:35.016577,1762974395.016534298,43.27
2025/11/12-19:06:35.026683,1762974395.026642619,40.55
2025/11/12-19:06:35.036788,1762974395.036744813,44.04
2025/11/12-19:06:35.046882,1762974395.046843333,39.41
