2025/11/12-18:18:40.470252,1762971520.470171952,80.34
2025/11/12-18:18:41.474852,1762971521.472323669,2528.74
2025/11/12-18:18:42.475013,1762971522.474951164,62.12
2025/11/12-18:18:43.475161,1762971523.475107434,53.84
2025/11/12-18:18:44.475301,1762971524.475244781,57.03
2025/11/12-18:18:45.475436,1762971525.475385501,50.88
2025/11/12-18:18:46.475574,1762971526.475522322,52.65
2025/11/12-18:18:47.475718,1762971527.475660535,58.09
2025/11/12-18:18:48.475871,1762971528.475800689,70.41
2025/11/12-18:18:49.475998,1762971529.475947183,50.88
2025/11/12-18:18:50.476131,1762971530.476077430,53.74
2025/11/12-18:18:51.476271,1762971531.476211798,59.34
2025/11/12-18:18:52.476400,1762971532.476354513,45.87
2025/11/12-18:18:53.476526,1762971533.476475937,50.31
2025/11/12-18:18:54.476660,1762971534.476612572,48.01
2025/11/12-18:18:55.476810,1762971535.476736854,73.79
2025/11/12-18:18:56.476907,1762971536.476858509,48.53
2025/11/12-18:18:57.477043,1762971537.477000915,42.84
2025/11/12-18:18:58.477176,1762971538.477125879,50.96
2025/11/12-18:18:59.477302,1762971539.477253594,48.73
2025/11/12-18:19:00.477446,1762971540.477388121,58.81
2025/11/12-18:19:01.477599,1762971541.477535900,63.29
2025/11/12-18:19:02.477732,1762971542.477673823,59.02
2025/11/12-18:19:03.477888,1762971543.477824242,64.30
2025/11/12-18:19:04.478025,1762971544.477976237,48.95
2025/11/12-18:19:05.478174,1762971545.478113645,61.07
2025/11/12-18:19:06.478308,1762971546.478251673,57.07
2025/11/12-18:19:07.478445,1762971547.478395400,49.95
2025/11/12-18:19:08.478601,1762971548.478553397,48.22
2025/11/12-18:19:09.478728,1762971549.478680080,48.45
2025/11/12-18:19:10.478855,1762971550.478815212,40.47
2025/11/12-18:19:11.478985,1762971551.478936508,49.07
2025/11/12-18:19:12.479125,1762971552.479075912,49.11
2025/11/12-18:19:13.479260,1762971553.479202420,58.15
2025/11/12-18:19:14.479393,1762971554.479349628,44.07
2025/11/12-18:19:15.479530,1762971555.479477331,53.13
2025/11/12-18:19:16.479667,1762971556.479614742,53.20
2025/11/12-18:19:17.479801,1762971557.479751963,49.68
2025/11/12-18:19:18.479906,1762971558.479851085,55.63
2025/11/12-18:19:19.480046,1762971559.479996031,50.44
2025/11/12-18:19:20.480171,1762971560.480122478,48.98
2025/11/12-18:19:21.480294,1762971561.480247142,47.31
2025/11/12-18:19:22.480432,1762971562.480370271,61.84
2025/11/12-18:19:23.480557,1762971563.480507166,50.47
2025/11/12-18:19:24.480690,1762971564.480641135,49.25
2025/11/12-18:19:25.480814,1762971565.480765554,49.17
2025/11/12-18:19:26.480908,1762971566.480850310,57.88
2025/11/12-18:19:27.481045,1762971567.480991709,54.27
2025/11/12-18:19:28.481180,1762971568.481127592,53.39
2025/11/12-18:19:29.481313,1762971569.481263793,49.39
2025/11/12-18:19:30.481449,1762971570.481401271,48.23
2025/11/12-18:19:31.481584,1762971571.481535009,49.81
2025/11/12-18:19:32.481715,1762971572.481666699,48.37
2025/11/12-18:19:33.481847,1762971573.481797788,50.03
2025/11/12-18:19:34.481998,1762971574.481933481,65.25
2025/11/12-18:19:35.482140,1762971575.482080029,60.71
2025/11/12-18:19:36.482274,1762971576.482223669,50.39
2025/11/12-18:19:37.482402,1762971577.482352802,49.59
2025/11/12-18:19:38.482535,1762971578.482484665,51.29
2025/11/12-18:19:39.482660,1762971579.482610542,49.93
