2025/11/12-18:29:59.948688,1762972199.948648392,40.23
2025/11/12-18:29:59.959544,1762972199.959501677,42.81
2025/11/12-18:29:59.969656,1762972199.969610530,45.70
2025/11/12-18:29:59.979762,1762972199.979719291,43.19
2025/11/12-18:29:59.989923,1762972199.989854804,69.06
2025/11/12-18:30:00.000114,1762972200.000053139,61.39
2025/11/12-18:30:00.013902,1762972200.013851022,51.47
2025/11/12-18:30:00.024030,1762972200.023978176,52.13
2025/11/12-18:30:00.034170,1762972200.034098531,71.71
2025/11/12-18:30:00.044290,1762972200.044241767,48.74
2025/11/12-18:30:00.054406,1762972200.054360859,45.59
2025/11/12-18:30:00.064529,1762972200.064469875,59.20
2025/11/12-18:30:00.074648,1762972200.074603251,45.72
2025/11/12-18:30:00.084763,1762972200.084718122,44.93
2025/11/12-18:30:00.094880,1762972200.094832748,48.01
2025/11/12-18:30:00.104987,1762972200.104944201,43.49
2025/11/12-18:30:00.115102,1762972200.115051191,50.87
2025/11/12-18:30:00.125212,1762972200.125165215,47.37
2025/11/12-18:30:00.135323,1762972200.135278127,45.20
2025/11/12-18:30:00.145446,1762972200.145399237,47.35
2025/11/12-18:30:00.155554,1762972200.155509918,44.59
2025/11/12-18:30:00.165679,1762972200.165619745,59.44
2025/11/12-18:30:00.175786,1762972200.175741812,44.56
2025/11/12-18:30:00.185902,1762972200.185855050,47.37
2025/11/12-18:30:00.196014,1762972200.195969621,44.88
2025/11/12-18:30:00.206128,1762972200.206076469,51.90
2025/11/12-18:30:00.216239,1762972200.216195984,43.45
2025/11/12-18:30:00.226351,1762972200.226306533,45.35
2025/11/12-18:30:00.236460,1762972200.236414583,45.62
2025/11/12-18:30:00.246577,1762972200.246522891,54.66
2025/11/12-18:30:00.256684,1762972200.256639923,44.89
2025/11/12-18:30:00.266802,1762972200.266755772,46.24
2025/11/12-18:30:00.276896,1762972200.276843666,52.43
2025/11/12-18:30:00.287008,1762972200.286965324,43.48
2025/11/12-18:30:00.297118,1762972200.297070191,48.66
2025/11/12-18:30:00.307226,1762972200.307182156,44.49
2025/11/12-18:30:00.317348,1762972200.317288318,59.96
2025/11/12-18:30:00.327453,1762972200.327409574,43.98
2025/11/12-18:30:00.337581,1762972200.337525685,55.40
2025/11/12-18:30:00.347695,1762972200.347643811,51.63
2025/11/12-18:30:00.357807,1762972200.357757253,49.77
2025/11/12-18:30:00.367893,1762972200.367843889,49.63
2025/11/12-18:30:00.378012,1762972200.377964655,47.95
2025/11/12-18:30:00.388126,1762972200.388079943,46.46
2025/11/12-18:30:00.398246,1762972200.398198886,47.37
2025/11/12-18:30:00.408353,1762972200.408309653,43.96
2025/11/12-18:30:00.418482,1762972200.418415058,67.78
2025/11/12-18:30:00.428596,1762972200.428552983,43.38
2025/11/12-18:30:00.438710,1762972200.438664782,45.45
2025/11/12-18:30:00.448842,1762972200.448781261,61.21
2025/11/12-18:30:00.458957,1762972200.458911352,46.10
2025/11/12-18:30:00.469062,1762972200.469019634,43.35
2025/11/12-18:30:00.479176,1762972200.479124302,52.66
2025/11/12-18:30:00.489295,1762972200.489238998,56.28
2025/11/12-18:30:00.499410,1762972200.499365378,44.71
2025/11/12-18:30:00.509534,1762972200.509482158,52.21
2025/11/12-18:30:00.519641,1762972200.519595667,45.49
2025/11/12-18:30:00.529759,1762972200.529706928,52.20
2025/11/12-18:30:00.539885,1762972200.539847371,38.27
2025/11/12-18:30:00.549992,1762972200.549949823,42.55
2025/11/12-18:30:00.560100,1762972200.560054077,46.33
2025/11/12-18:30:00.570208,1762972200.570162108,46.10
2025/11/12-18:30:00.580331,1762972200.580269720,61.66
2025/11/12-18:30:00.590436,1762972200.590393150,43.57
2025/11/12-18:30:00.600553,1762972200.600498332,54.68
2025/11/12-18:30:00.610680,1762972200.610614566,66.29
2025/11/12-18:30:00.620797,1762972200.620742311,54.99
2025/11/12-18:30:00.630899,1762972200.630850177,48.91
2025/11/12-18:30:00.641024,1762972200.640974125,50.22
2025/11/12-18:30:00.651136,1762972200.651086360,50.31
2025/11/12-18:30:00.661249,1762972200.661198593,51.10
2025/11/12-18:30:00.671354,1762972200.671312187,42.76
2025/11/12-18:30:00.681480,1762972200.681431599,48.46
2025/11/12-18:30:00.691601,1762972200.691547580,53.48
2025/11/12-18:30:00.701726,1762972200.701673419,53.48
2025/11/12-18:30:00.711846,1762972200.711788916,57.10
2025/11/12-18:30:00.721956,1762972200.721908177,48.71
2025/11/12-18:30:00.732071,1762972200.732024925,46.24
2025/11/12-18:30:00.742187,1762972200.742144974,42.59
2025/11/12-18:30:00.752306,1762972200.752250044,56.35
2025/11/12-18:30:00.762416,1762972200.762368768,47.93
2025/11/12-18:30:00.772522,1762972200.772478976,43.90
2025/11/12-18:30:00.782644,1762972200.782589890,55.06
2025/11/12-18:30:00.792754,1762972200.792706427,48.12
2025/11/12-18:30:00.802868,1762972200.802821386,46.84
2025/11/12-18:30:00.812998,1762972200.812933436,65.10
2025/11/12-18:30:00.823108,1762972200.823063380,45.16
2025/11/12-18:30:00.833231,1762972200.833170232,61.17
2025/11/12-18:30:00.843351,1762972200.843292911,58.46
2025/11/12-18:30:00.853462,1762972200.853414161,48.28
2025/11/12-18:30:00.863572,1762972200.863524238,48.08
2025/11/12-18:30:00.873679,1762972200.873634302,45.61
2025/11/12-18:30:00.883789,1762972200.883741696,47.44
2025/11/12-18:30:00.893909,1762972200.893845214,64.21
2025/11/12-18:30:00.904022,1762972200.903971670,50.82
2025/11/12-18:30:00.914135,1762972200.914086940,48.47
