2025/11/12-19:33:30.402828,1762976010.402776677,51.51
2025/11/12-19:33:31.408849,1762976011.405323218,3526.00
2025/11/12-19:33:32.408999,1762976012.408948210,51.68
2025/11/12-19:33:33.409142,1762976013.409087093,55.13
2025/11/12-19:33:34.409284,1762976014.409226250,57.87
2025/11/12-19:33:35.409415,1762976015.409361861,53.53
2025/11/12-19:33:36.409563,1762976016.409508921,54.34
2025/11/12-19:33:37.409702,1762976017.409639606,62.93
2025/11/12-19:33:38.409827,1762976018.409778816,48.26
2025/11/12-19:33:39.409965,1762976019.409915363,49.70
2025/11/12-19:33:40.410113,1762976020.410059079,54.58
2025/11/12-19:33:41.410257,1762976021.410195804,62.19
2025/11/12-19:33:42.410392,1762976022.410355783,36.95
2025/11/12-19:33:43.410512,1762976023.410465854,46.84
2025/11/12-19:33:44.410655,1762976024.410595892,59.66
2025/11/12-19:33:45.410786,1762976025.410738032,48.61
2025/11/12-19:33:46.410904,1762976026.410863754,40.75
2025/11/12-19:33:47.411031,1762976027.410983444,47.83
2025/11/12-19:33:48.411159,1762976028.411110158,49.84
2025/11/12-19:33:49.411294,1762976029.411246003,48.57
2025/11/12-19:33:50.411425,1762976030.411377244,48.13
2025/11/12-19:33:51.411558,1762976031.411511736,46.88
2025/11/12-19:33:52.411681,1762976032.411633344,48.14
2025/11/12-19:33:53.411807,1762976033.411766764,40.42
2025/11/12-19:33:54.411910,1762976034.411854335,56.10
2025/11/12-19:33:55.412042,1762976035.411987094,55.22
2025/11/12-19:33:56.412170,1762976036.412124121,46.02
2025/11/12-19:33:57.412297,1762976037.412248053,49.93
2025/11/12-19:33:58.412450,1762976038.412390372,60.50
2025/11/12-19:33:59.412583,1762976039.412534614,48.82
2025/11/12-19:34:00.412713,1762976040.412663283,49.72
2025/11/12-19:34:01.412847,1762976041.412793890,53.62
2025/11/12-19:34:02.412983,1762976042.412934917,48.77
2025/11/12-19:34:03.413138,1762976043.413081260,56.96
2025/11/12-19:34:04.413265,1762976044.413213487,51.76
2025/11/12-19:34:05.413408,1762976045.413355413,53.23
2025/11/12-19:34:06.413540,1762976046.413495106,45.14
2025/11/12-19:34:07.413675,1762976047.413621734,53.60
2025/11/12-19:34:08.413805,1762976048.413753388,52.32
2025/11/12-19:34:09.413906,1762976049.413853545,52.53
2025/11/12-19:34:10.414030,1762976050.413980191,49.98
2025/11/12-19:34:11.414175,1762976051.414123279,51.76
2025/11/12-19:34:12.414308,1762976052.414255459,52.77
2025/11/12-19:34:13.414432,1762976053.414382280,49.82
2025/11/12-19:34:14.414565,1762976054.414518247,47.30
2025/11/12-19:34:15.414690,1762976055.414640092,50.60
2025/11/12-19:34:16.414823,1762976056.414774270,49.00
2025/11/12-19:34:17.414969,1762976057.414915789,54.20
2025/11/12-19:34:18.415106,1762976058.415050883,55.90
2025/11/12-19:34:19.415234,1762976059.415188151,46.65
2025/11/12-19:34:20.415375,1762976060.415316921,58.57
2025/11/12-19:34:21.415497,1762976061.415450597,46.99
2025/11/12-19:34:22.415624,1762976062.415576446,48.38
2025/11/12-19:34:23.415761,1762976063.415712993,48.89
2025/11/12-19:34:24.415893,1762976064.415843033,50.69
2025/11/12-19:34:25.416018,1762976065.415966928,51.17
2025/11/12-19:34:26.416162,1762976066.416102727,60.02
2025/11/12-19:34:27.416295,1762976067.416237340,58.32
2025/11/12-19:34:28.416429,1762976068.416370126,59.25
2025/11/12-19:34:29.416559,1762976069.416510726,48.86
