2025/11/17-17:21:34.318584,1763400094.318550721,33.36
2025/11/17-17:21:34.320489,1763400094.320447712,41.50
2025/11/17-17:21:34.321594,1763400094.321553521,41.19
2025/11/17-17:21:34.322698,1763400094.322657331,41.57
2025/11/17-17:21:34.323804,1763400094.323760860,43.18
2025/11/17-17:21:34.324884,1763400094.324843440,40.71
2025/11/17-17:21:34.325988,1763400094.325946315,41.99
2025/11/17-17:21:34.327091,1763400094.327050404,40.70
2025/11/17-17:21:34.328195,1763400094.328153025,42.33
2025/11/17-17:21:34.329298,1763400094.329257115,41.33
2025/11/17-17:21:34.330401,1763400094.330360293,41.28
2025/11/17-17:21:34.331508,1763400094.331464423,43.96
2025/11/17-17:21:34.332929,1763400094.332882036,47.91
2025/11/17-17:21:34.335902,1763400094.335857630,45.00
2025/11/17-17:21:34.337003,1763400094.336967404,36.48
2025/11/17-17:21:34.338110,1763400094.338072000,38.02
2025/11/17-17:21:34.339211,1763400094.339173882,37.34
2025/11/17-17:21:34.340313,1763400094.340274951,38.98
2025/11/17-17:21:34.341420,1763400094.341376786,43.96
2025/11/17-17:21:34.342524,1763400094.342485392,38.70
2025/11/17-17:21:34.343631,1763400094.343592025,39.25
2025/11/17-17:21:34.344731,1763400094.344694703,37.25
2025/11/17-17:21:34.345832,1763400094.345795126,37.80
2025/11/17-17:21:34.346939,1763400094.346905262,34.35
2025/11/17-17:21:34.348042,1763400094.348003621,38.42
2025/11/17-17:21:34.349143,1763400094.349105006,38.80
2025/11/17-17:21:34.350251,1763400094.350211612,39.58
2025/11/17-17:21:34.351376,1763400094.351335755,40.45
2025/11/17-17:21:34.352477,1763400094.352439088,38.24
2025/11/17-17:21:34.353581,1763400094.353542896,38.52
2025/11/17-17:21:34.354697,1763400094.354650011,47.18
2025/11/17-17:21:34.355800,1763400094.355761992,38.56
2025/11/17-17:21:34.356886,1763400094.356848738,37.37
2025/11/17-17:21:34.357985,1763400094.357948575,37.34
2025/11/17-17:21:34.359087,1763400094.359048850,38.63
2025/11/17-17:21:34.360189,1763400094.360150107,39.41
2025/11/17-17:21:34.361291,1763400094.361252238,38.80
2025/11/17-17:21:34.362398,1763400094.362359357,39.20
2025/11/17-17:21:34.363503,1763400094.363463127,40.08
2025/11/17-17:21:34.364609,1763400094.364569382,40.47
