2025/11/18-16:01:57.357072,1763481717.357034118,38.56
2025/11/18-16:01:57.358764,1763481717.358717680,46.99
2025/11/18-16:01:57.359877,1763481717.359830178,47.68
2025/11/18-16:01:57.360988,1763481717.360942695,45.84
2025/11/18-16:01:57.362100,1763481717.362052683,47.32
2025/11/18-16:01:57.363207,1763481717.363163225,44.46
2025/11/18-16:01:57.364318,1763481717.364271349,46.88
2025/11/18-16:01:57.365428,1763481717.365381842,46.74
2025/11/18-16:01:57.366538,1763481717.366492226,46.01
2025/11/18-16:01:57.367648,1763481717.367602547,46.20
2025/11/18-16:01:57.368757,1763481717.368712593,45.11
2025/11/18-16:01:57.369868,1763481717.369821542,46.94
2025/11/18-16:01:57.370979,1763481717.370931188,48.43
2025/11/18-16:01:57.372088,1763481717.372043244,45.72
2025/11/18-16:01:57.373197,1763481717.373152250,45.42
2025/11/18-16:01:57.374306,1763481717.374261032,45.04
2025/11/18-16:01:57.375418,1763481717.375370081,48.10
2025/11/18-16:01:57.376527,1763481717.376480981,46.31
2025/11/18-16:01:57.377639,1763481717.377590974,48.46
2025/11/18-16:01:57.378752,1763481717.378704545,47.64
2025/11/18-16:01:57.380874,1763481717.379821762,1052.49
2025/11/18-16:01:57.382016,1763481717.381962442,54.53
2025/11/18-16:01:57.383147,1763481717.383109008,38.70
2025/11/18-16:01:57.384250,1763481717.384212353,38.14
2025/11/18-16:01:57.385353,1763481717.385314266,39.68
2025/11/18-16:01:57.386459,1763481717.386418912,40.52
2025/11/18-16:01:57.387563,1763481717.387523041,40.44
2025/11/18-16:01:57.388669,1763481717.388630153,39.29
2025/11/18-16:01:57.389773,1763481717.389733629,39.63
2025/11/18-16:01:57.390881,1763481717.390842726,39.20
2025/11/18-16:01:57.391984,1763481717.391944854,39.15
2025/11/18-16:01:57.393086,1763481717.393047018,39.44
2025/11/18-16:01:57.394188,1763481717.394150573,38.34
2025/11/18-16:01:57.395293,1763481717.395253453,40.04
2025/11/18-16:01:57.396397,1763481717.396358126,39.46
2025/11/18-16:01:57.397500,1763481717.397462780,38.12
2025/11/18-16:01:57.398604,1763481717.398564858,39.77
2025/11/18-16:01:57.399707,1763481717.399668655,38.81
2025/11/18-16:01:57.400817,1763481717.400778018,39.32
2025/11/18-16:01:57.401886,1763481717.401846420,40.33
2025/11/18-16:01:57.402993,1763481717.402951837,41.74
2025/11/18-16:01:57.404098,1763481717.404060099,37.98
2025/11/18-16:01:57.405201,1763481717.405163655,38.15
2025/11/18-16:01:57.406305,1763481717.406265602,39.80
2025/11/18-16:01:57.407411,1763481717.407372965,38.71
2025/11/18-16:01:57.408514,1763481717.408475699,39.09
2025/11/18-16:01:57.409619,1763481717.409578441,41.06
2025/11/18-16:01:57.410723,1763481717.410684765,38.95
2025/11/18-16:01:57.411828,1763481717.411788142,40.10
2025/11/18-16:01:57.412885,1763481717.412844847,40.17
2025/11/18-16:01:57.413989,1763481717.413949445,40.18
2025/11/18-16:01:57.415096,1763481717.415054880,41.15
2025/11/18-16:01:57.416197,1763481717.416158913,38.25
2025/11/18-16:01:57.417296,1763481717.417259861,36.60
2025/11/18-16:01:57.418397,1763481717.418359173,38.04
2025/11/18-16:01:57.419501,1763481717.419461492,39.79
2025/11/18-16:01:57.420607,1763481717.420568387,38.72
2025/11/18-16:01:57.421726,1763481717.421669878,56.13
2025/11/18-16:01:57.422829,1763481717.422790167,39.58
2025/11/18-16:01:57.423940,1763481717.423899704,40.35
2025/11/18-16:01:57.425043,1763481717.425003684,40.23
2025/11/18-16:01:57.426149,1763481717.426106684,42.86
2025/11/18-16:01:57.427251,1763481717.427213046,38.16
2025/11/18-16:01:57.428357,1763481717.428319057,38.44
2025/11/18-16:01:57.429458,1763481717.429421131,37.50
2025/11/18-16:01:57.430565,1763481717.430522550,42.85
2025/11/18-16:01:57.431670,1763481717.431629495,41.38
2025/11/18-16:01:57.432773,1763481717.432733973,39.61
2025/11/18-16:01:57.433877,1763481717.433838360,39.17
2025/11/18-16:01:57.434980,1763481717.434940044,40.50
2025/11/18-16:01:57.436085,1763481717.436046079,39.72
2025/11/18-16:01:57.437187,1763481717.437149220,38.34
2025/11/18-16:01:57.438288,1763481717.438251439,37.34
2025/11/18-16:01:57.439393,1763481717.439353749,39.85
2025/11/18-16:01:57.440495,1763481717.440457547,38.08
2025/11/18-16:01:57.441598,1763481717.441559146,39.60
2025/11/18-16:01:57.442706,1763481717.442662946,43.15
2025/11/18-16:01:57.443819,1763481717.443773129,46.15
2025/11/18-16:01:57.444890,1763481717.444850296,39.98
2025/11/18-16:01:57.445992,1763481717.445953549,38.53
2025/11/18-16:01:57.447097,1763481717.447058078,39.11
2025/11/18-16:01:57.448203,1763481717.448164539,38.56
2025/11/18-16:01:57.449306,1763481717.449267498,38.92
2025/11/18-16:01:57.450411,1763481717.450368863,42.40
2025/11/18-16:01:57.451517,1763481717.451473476,43.59
2025/11/18-16:01:57.452621,1763481717.452581016,40.22
2025/11/18-16:01:57.453723,1763481717.453685213,38.61
2025/11/18-16:01:57.454826,1763481717.454788094,38.56
2025/11/18-16:01:57.455884,1763481717.455844200,40.33
2025/11/18-16:01:57.456997,1763481717.456948023,49.75
2025/11/18-16:01:57.458099,1763481717.458063481,36.16
2025/11/18-16:01:57.459205,1763481717.459163833,41.51
2025/11/18-16:01:57.460306,1763481717.460267888,38.44
2025/11/18-16:01:57.461417,1763481717.461372015,45.51
2025/11/18-16:01:57.462521,1763481717.462482745,38.97
2025/11/18-16:01:57.463627,1763481717.463588837,38.71
