2025/10/30-09:51:09.675540,1761817869.675501249,39.40
2025/10/30-09:51:10.679653,1761817870.679613098,40.70
2025/10/30-09:51:11.679799,1761817871.679754998,44.28
2025/10/30-09:51:12.679901,1761817872.679859430,42.25
2025/10/30-09:51:13.680037,1761817873.679992285,45.37
2025/10/30-09:51:14.680182,1761817874.680135500,46.69
2025/10/30-09:51:15.680310,1761817875.680272311,37.77
2025/10/30-09:51:16.680445,1761817876.680400772,44.90
2025/10/30-09:51:17.680582,1761817877.680543223,39.63
2025/10/30-09:51:18.680707,1761817878.680670235,37.41
2025/10/30-09:51:19.680854,1761817879.680806284,48.60
2025/10/30-09:51:20.681002,1761817880.680953174,49.60
2025/10/30-09:51:21.681134,1761817881.681090147,44.36
2025/10/30-09:51:22.681267,1761817882.681221919,45.69
2025/10/30-09:51:23.681406,1761817883.681362335,44.42
2025/10/30-09:51:24.681536,1761817884.681496630,40.19
2025/10/30-09:51:25.681673,1761817885.681631396,42.31
2025/10/30-09:51:26.681813,1761817886.681768017,45.15
2025/10/30-09:51:27.681899,1761817887.681860832,39.03
2025/10/30-09:51:28.682034,1761817888.681989502,44.94
2025/10/30-09:51:29.682181,1761817889.682131252,50.05
2025/10/30-09:51:30.682307,1761817890.682267394,39.70
2025/10/30-09:51:31.682442,1761817891.682396534,46.44
2025/10/30-09:51:32.682569,1761817892.682531640,38.20
2025/10/30-09:51:33.682703,1761817893.682661610,42.36
2025/10/30-09:51:34.682855,1761817894.682798275,57.03
2025/10/30-09:51:35.682983,1761817895.682943520,40.18
2025/10/30-09:51:36.683121,1761817896.683073411,47.83
2025/10/30-09:51:37.683267,1761817897.683217083,50.89
2025/10/30-09:51:38.683408,1761817898.683366184,42.21
2025/10/30-09:51:39.683547,1761817899.683501563,45.45
2025/10/30-09:51:40.683698,1761817900.683648184,50.71
2025/10/30-09:51:41.683832,1761817901.683792816,39.57
2025/10/30-09:51:42.683978,1761817902.683936297,42.34
2025/10/30-09:51:43.684120,1761817903.684074648,45.73
2025/10/30-09:51:44.684250,1761817904.684209212,41.20
2025/10/30-09:51:45.684382,1761817905.684342649,39.43
2025/10/30-09:51:46.684519,1761817906.684476276,43.25
2025/10/30-09:51:47.684652,1761817907.684608245,44.37
2025/10/30-09:51:48.684794,1761817908.684751213,43.54
2025/10/30-09:51:49.684908,1761817909.684872889,35.45
2025/10/30-09:51:50.685038,1761817910.684998729,39.97
2025/10/30-09:51:51.685181,1761817911.685136098,45.59
2025/10/30-09:51:52.685320,1761817912.685281193,39.11
2025/10/30-09:51:53.685465,1761817913.685424313,40.71
2025/10/30-09:51:54.685596,1761817914.685553729,42.54
2025/10/30-09:51:55.685734,1761817915.685691009,43.95
2025/10/30-09:51:56.685865,1761817916.685826702,39.02
2025/10/30-09:51:57.685998,1761817917.685956109,41.97
2025/10/30-09:51:58.686139,1761817918.686092628,47.19
2025/10/30-09:51:59.686273,1761817919.686233819,39.63
2025/10/30-09:52:00.686408,1761817920.686366093,42.34
2025/10/30-09:52:01.686548,1761817921.686506732,41.93
2025/10/30-09:52:02.686678,1761817922.686640575,37.82
2025/10/30-09:52:03.686810,1761817923.686765588,44.76
2025/10/30-09:52:04.686911,1761817924.686866990,44.55
2025/10/30-09:52:05.687042,1761817925.687001166,41.37
2025/10/30-09:52:06.687177,1761817926.687129724,47.44
2025/10/30-09:52:07.687316,1761817927.687274257,42.68
2025/10/30-09:52:08.687449,1761817928.687410337,39.42
