2025/10/30-09:57:57.873113,1761818277.873055076,58.09
2025/10/30-09:57:57.981384,1761818277.981337139,47.55
2025/10/30-09:57:58.081515,1761818278.081480654,35.22
2025/10/30-09:57:58.181643,1761818278.181618427,24.70
2025/10/30-09:57:58.281819,1761818278.281728223,90.85
2025/10/30-09:57:58.381907,1761818278.381870177,37.41
2025/10/30-09:57:58.482104,1761818278.482011320,93.13
2025/10/30-09:57:58.582238,1761818278.582200347,37.78
2025/10/30-09:57:58.682409,1761818278.682322893,86.45
2025/10/30-09:57:58.782575,1761818278.782494308,81.48
2025/10/30-09:57:58.882771,1761818278.882663533,108.17
2025/10/30-09:57:58.982911,1761818278.982867846,43.19
2025/10/30-09:57:59.083142,1761818279.082999336,143.10
2025/10/30-09:57:59.183269,1761818279.183236984,32.84
2025/10/30-09:57:59.283435,1761818279.283351623,84.35
2025/10/30-09:57:59.383585,1761818279.383542509,42.84
2025/10/30-09:57:59.483705,1761818279.483662434,42.59
2025/10/30-09:57:59.583918,1761818279.583788007,130.15
2025/10/30-09:57:59.684038,1761818279.683995694,42.90
2025/10/30-09:57:59.784178,1761818279.784131155,47.33
2025/10/30-09:57:59.884322,1761818279.884257294,64.86
2025/10/30-09:57:59.984511,1761818279.984413230,98.21
2025/10/30-09:58:00.084638,1761818280.084597862,40.22
2025/10/30-09:58:00.184768,1761818280.184727447,41.06
2025/10/30-09:58:00.284891,1761818280.284856488,35.13
2025/10/30-09:58:00.385046,1761818280.384996842,49.40
2025/10/30-09:58:00.485276,1761818280.485136436,140.55
2025/10/30-09:58:00.585402,1761818280.585362762,39.54
2025/10/30-09:58:00.685534,1761818280.685506596,28.33
2025/10/30-09:58:00.785667,1761818280.785627251,40.26
2025/10/30-09:58:00.885793,1761818280.885756513,37.03
2025/10/30-09:58:00.985903,1761818280.985864308,38.74
2025/10/30-09:58:01.086041,1761818281.086006056,35.55
2025/10/30-09:58:01.186194,1761818281.186129143,65.76
2025/10/30-09:58:01.286329,1761818281.286289250,40.21
2025/10/30-09:58:01.386493,1761818281.386419888,73.22
2025/10/30-09:58:01.486624,1761818281.486575654,48.66
2025/10/30-09:58:01.586825,1761818281.586712626,112.52
2025/10/30-09:58:01.686925,1761818281.686856071,69.46
2025/10/30-09:58:01.787111,1761818281.787016635,94.87
2025/10/30-09:58:01.887230,1761818281.887196585,34.12
2025/10/30-09:58:01.987347,1761818281.987307798,39.82
2025/10/30-09:58:02.087489,1761818282.087429668,60.26
2025/10/30-09:58:02.187634,1761818282.187568230,66.03
2025/10/30-09:58:02.287778,1761818282.287726565,51.68
