2025/10/30-09:47:42.958504,1761817662.958342276,162.53
2025/10/30-09:47:43.064519,1761817663.064421001,98.55
2025/10/30-09:47:43.164719,1761817663.164628261,90.87
2025/10/30-09:47:43.264900,1761817663.264805651,95.26
2025/10/30-09:47:43.365115,1761817663.364991607,123.51
2025/10/30-09:47:43.465278,1761817663.465198884,79.56
2025/10/30-09:47:43.565456,1761817663.565366895,89.33
2025/10/30-09:47:43.665659,1761817663.665547261,112.23
2025/10/30-09:47:43.765914,1761817663.765737516,177.20
2025/10/30-09:47:43.866119,1761817663.866018538,101.30
2025/10/30-09:47:43.966313,1761817663.966231025,82.36
2025/10/30-09:47:44.066498,1761817664.066408963,89.52
2025/10/30-09:47:44.166669,1761817664.166586870,82.95
2025/10/30-09:47:44.266894,1761817664.266759787,134.83
2025/10/30-09:47:44.367064,1761817664.366977463,86.56
2025/10/30-09:47:44.467227,1761817664.467143778,83.98
2025/10/30-09:47:44.567475,1761817664.567316225,159.11
2025/10/30-09:47:44.667679,1761817664.667580278,99.08
2025/10/30-09:47:44.767892,1761817664.767761672,131.09
2025/10/30-09:47:44.868082,1761817664.867975198,106.94
2025/10/30-09:47:44.968271,1761817664.968172919,98.95
2025/10/30-09:47:45.068438,1761817665.068363440,74.58
2025/10/30-09:47:45.168621,1761817665.168520673,101.31
2025/10/30-09:47:45.268804,1761817665.268711003,93.50
2025/10/30-09:47:45.369092,1761817665.368947977,144.62
2025/10/30-09:47:45.469254,1761817665.469168850,85.47
2025/10/30-09:47:45.569419,1761817665.569334084,85.38
2025/10/30-09:47:45.669592,1761817665.669504326,88.53
2025/10/30-09:47:45.769781,1761817665.769678564,102.56
2025/10/30-09:47:45.869961,1761817665.869870627,90.54
2025/10/30-09:47:45.970133,1761817665.970041251,91.75
2025/10/30-09:47:46.070301,1761817666.070215580,86.21
2025/10/30-09:47:46.170526,1761817666.170392982,134.02
2025/10/30-09:47:46.270701,1761817666.270608119,93.69
2025/10/30-09:47:46.370887,1761817666.370788875,98.98
2025/10/30-09:47:46.471065,1761817666.470969534,96.28
2025/10/30-09:47:46.571242,1761817666.571153618,88.77
2025/10/30-09:47:46.671428,1761817666.671339325,89.25
2025/10/30-09:47:46.771603,1761817666.771517738,85.75
2025/10/30-09:47:46.871786,1761817666.871692191,94.16
2025/10/30-09:47:46.972019,1761817666.971871597,147.61
2025/10/30-09:47:47.072194,1761817667.072114430,80.48
2025/10/30-09:47:47.172373,1761817667.172275924,97.40
2025/10/30-09:47:47.272546,1761817667.272455654,90.46
2025/10/30-09:47:47.372724,1761817667.372645207,79.23
2025/10/30-09:47:47.472891,1761817667.472812985,78.14
2025/10/30-09:47:47.573061,1761817667.572972518,88.59
2025/10/30-09:47:47.673240,1761817667.673157126,83.24
2025/10/30-09:47:47.773475,1761817667.773344108,131.69
2025/10/30-09:47:47.873648,1761817667.873560832,87.37
2025/10/30-09:47:47.973826,1761817667.973733034,93.85
2025/10/30-09:47:48.074000,1761817668.073913002,87.42
2025/10/30-09:47:48.174173,1761817668.174087763,85.92
2025/10/30-09:47:48.274341,1761817668.274255546,86.10
2025/10/30-09:47:48.374516,1761817668.374428741,87.49
2025/10/30-09:47:48.474681,1761817668.474597963,83.27
2025/10/30-09:47:48.574909,1761817668.574774278,135.29
2025/10/30-09:47:48.675099,1761817668.675005537,94.23
2025/10/30-09:47:48.775265,1761817668.775181873,83.47
2025/10/30-09:47:48.875424,1761817668.875352993,71.55
2025/10/30-09:47:48.975595,1761817668.975507079,88.45
2025/10/30-09:47:49.075772,1761817669.075679341,93.35
2025/10/30-09:47:49.175963,1761817669.175876718,87.14
2025/10/30-09:47:49.276137,1761817669.276040344,96.68
2025/10/30-09:47:49.376379,1761817669.376231250,147.81
2025/10/30-09:47:49.476559,1761817669.476470495,89.37
2025/10/30-09:47:49.576732,1761817669.576636952,95.98
2025/10/30-09:47:49.676924,1761817669.676823912,100.99
2025/10/30-09:47:49.777105,1761817669.777018424,87.52
2025/10/30-09:47:49.877282,1761817669.877192686,90.00
2025/10/30-09:47:49.977474,1761817669.977388286,86.51
2025/10/30-09:47:50.077684,1761817670.077560600,124.40
2025/10/30-09:47:50.177857,1761817670.177767350,89.70
2025/10/30-09:47:50.278025,1761817670.277940518,84.82
2025/10/30-09:47:50.378206,1761817670.378107156,99.80
2025/10/30-09:47:50.478391,1761817670.478287474,103.55
2025/10/30-09:47:50.578557,1761817670.578474855,82.77
2025/10/30-09:47:50.678733,1761817670.678642121,90.97
2025/10/30-09:47:50.778906,1761817670.778814246,92.29
2025/10/30-09:47:50.879075,1761817670.878989921,85.50
2025/10/30-09:47:50.979302,1761817670.979173717,129.04
2025/10/30-09:47:51.079470,1761817671.079383703,86.79
2025/10/30-09:47:51.179628,1761817671.179546443,81.92
2025/10/30-09:47:51.279798,1761817671.279712389,85.87
2025/10/30-09:47:51.379951,1761817671.379860345,90.68
2025/10/30-09:47:51.480112,1761817671.480026659,85.59
2025/10/30-09:47:51.580274,1761817671.580189036,85.80
2025/10/30-09:47:51.680448,1761817671.680357430,90.91
2025/10/30-09:47:51.780679,1761817671.780532514,147.43
2025/10/30-09:47:51.880860,1761817671.880756231,104.02
2025/10/30-09:47:51.981037,1761817671.980947406,90.07
2025/10/30-09:47:52.081211,1761817672.081128242,83.69
2025/10/30-09:47:52.181378,1761817672.181294090,84.19
2025/10/30-09:47:52.281543,1761817672.281458976,84.87
2025/10/30-09:47:52.381725,1761817672.381646889,78.31
2025/10/30-09:47:52.481886,1761817672.481813645,73.15
2025/10/30-09:47:52.582128,1761817672.581975384,153.15
2025/10/30-09:47:52.682308,1761817672.682209715,98.39
2025/10/30-09:47:52.782487,1761817672.782394453,92.88
2025/10/30-09:47:52.882656,1761817672.882571584,85.25
2025/10/30-09:47:52.982817,1761817672.982733908,84.00
2025/10/30-09:47:53.083009,1761817673.082919218,90.35
2025/10/30-09:47:53.183171,1761817673.183099529,72.04
2025/10/30-09:47:53.283343,1761817673.283251604,92.02
2025/10/30-09:47:53.383567,1761817673.383424573,143.42
2025/10/30-09:47:53.483743,1761817673.483649958,93.81
