2025/10/30-09:46:19.645652,1761817579.645549093,103.10
2025/10/30-09:46:20.649534,1761817580.649445868,88.68
2025/10/30-09:46:21.649747,1761817581.649643596,103.94
2025/10/30-09:46:22.649946,1761817582.649850298,96.42
2025/10/30-09:46:23.650149,1761817583.650055226,94.36
2025/10/30-09:46:24.650399,1761817584.650242783,157.13
2025/10/30-09:46:25.650586,1761817585.650493032,93.75
2025/10/30-09:46:26.650790,1761817586.650687372,103.26
2025/10/30-09:46:27.650977,1761817587.650859098,118.16
2025/10/30-09:46:28.651171,1761817588.651066695,105.30
2025/10/30-09:46:29.651359,1761817589.651271118,88.39
2025/10/30-09:46:30.651588,1761817590.651465904,122.95
2025/10/30-09:46:31.651816,1761817591.651693027,123.09
2025/10/30-09:46:32.652045,1761817592.651862982,182.44
2025/10/30-09:46:33.652235,1761817593.652141223,94.37
2025/10/30-09:46:34.652432,1761817594.652339123,93.11
2025/10/30-09:46:35.652622,1761817595.652539789,82.28
2025/10/30-09:46:36.652814,1761817596.652729936,84.93
2025/10/30-09:46:37.652947,1761817597.652876394,71.03
2025/10/30-09:46:38.653130,1761817598.653038008,92.07
2025/10/30-09:46:39.653322,1761817599.653234198,88.32
2025/10/30-09:46:40.653560,1761817600.653410660,149.38
2025/10/30-09:46:41.653759,1761817601.653657742,101.84
2025/10/30-09:46:42.653943,1761817602.653859071,84.85
2025/10/30-09:46:43.654135,1761817603.654042871,93.05
2025/10/30-09:46:44.654329,1761817604.654237522,92.07
2025/10/30-09:46:45.654526,1761817605.654442028,84.17
2025/10/30-09:46:46.654728,1761817606.654645475,83.31
2025/10/30-09:46:47.654908,1761817607.654816530,92.15
2025/10/30-09:46:48.655143,1761817608.654996757,146.83
2025/10/30-09:46:49.655319,1761817609.655234742,85.04
2025/10/30-09:46:50.655515,1761817610.655420596,95.13
2025/10/30-09:46:51.655708,1761817611.655608629,99.89
2025/10/30-09:46:52.655900,1761817612.655804492,96.46
2025/10/30-09:46:53.656084,1761817613.655995086,89.27
2025/10/30-09:46:54.656277,1761817614.656183954,93.61
2025/10/30-09:46:55.656459,1761817615.656369185,90.41
2025/10/30-09:46:56.656703,1761817616.656559350,144.12
2025/10/30-09:46:57.656939,1761817617.656811669,128.28
2025/10/30-09:46:58.657129,1761817618.657039438,90.19
2025/10/30-09:46:59.657317,1761817619.657217677,99.49
2025/10/30-09:47:00.657528,1761817620.657442783,85.49
2025/10/30-09:47:01.657716,1761817621.657615811,101.18
2025/10/30-09:47:02.657923,1761817622.657851893,71.47
2025/10/30-09:47:03.658123,1761817623.658024889,98.96
2025/10/30-09:47:04.658360,1761817624.658215171,144.96
2025/10/30-09:47:05.658537,1761817625.658452790,84.28
2025/10/30-09:47:06.658730,1761817626.658640489,89.64
2025/10/30-09:47:07.658919,1761817627.658825033,94.76
2025/10/30-09:47:08.659100,1761817628.659016730,83.54
2025/10/30-09:47:09.659274,1761817629.659195883,78.38
2025/10/30-09:47:10.659470,1761817630.659374522,96.25
2025/10/30-09:47:11.659645,1761817631.659560753,85.03
2025/10/30-09:47:12.659877,1761817632.659732160,144.87
2025/10/30-09:47:13.660068,1761817633.659985371,83.58
2025/10/30-09:47:14.660238,1761817634.660166010,72.41
2025/10/30-09:47:15.660422,1761817635.660335865,86.63
2025/10/30-09:47:16.660593,1761817636.660515003,78.17
2025/10/30-09:47:17.660786,1761817637.660698217,88.02
2025/10/30-09:47:18.660980,1761817638.660865100,115.72
