2025/11/16-19:34:52.344273,1763321692.344234388,39.01
2025/11/16-19:34:52.346060,1763321692.346014160,46.46
2025/11/16-19:34:52.347181,1763321692.347124600,56.48
2025/11/16-19:34:52.348291,1763321692.348243763,47.49
2025/11/16-19:34:52.349402,1763321692.349353833,48.33
2025/11/16-19:34:52.350510,1763321692.350464639,45.43
2025/11/16-19:34:52.351641,1763321692.351591645,49.60
2025/11/16-19:34:52.352774,1763321692.352721967,52.62
2025/11/16-19:34:52.353891,1763321692.353844706,46.66
2025/11/16-19:34:52.355000,1763321692.354953944,46.06
2025/11/16-19:34:52.356107,1763321692.356062038,45.13
2025/11/16-19:34:52.357215,1763321692.357169044,46.71
2025/11/16-19:34:52.358331,1763321692.358278205,52.84
2025/11/16-19:34:52.359437,1763321692.359392519,44.72
2025/11/16-19:34:52.360545,1763321692.360498766,47.06
2025/11/16-19:34:52.361653,1763321692.361607448,45.58
2025/11/16-19:34:52.362806,1763321692.362735236,71.06
2025/11/16-19:34:52.363968,1763321692.363926993,41.34
2025/11/16-19:34:52.365074,1763321692.365033274,40.78
2025/11/16-19:34:52.366175,1763321692.366134921,40.52
2025/11/16-19:34:52.367283,1763321692.367240990,42.72
2025/11/16-19:34:52.368390,1763321692.368344492,45.77
2025/11/16-19:34:52.369493,1763321692.369451564,41.60
2025/11/16-19:34:52.370598,1763321692.370553945,44.81
2025/11/16-19:34:52.371706,1763321692.371660035,46.38
2025/11/16-19:34:52.372808,1763321692.372767555,40.71
2025/11/16-19:34:52.373888,1763321692.373843072,45.39
2025/11/16-19:34:52.374987,1763321692.374948562,38.70
2025/11/16-19:34:52.376096,1763321692.376051974,44.11
2025/11/16-19:34:52.377202,1763321692.377157140,45.35
2025/11/16-19:34:52.378310,1763321692.378263137,46.99
2025/11/16-19:34:52.379418,1763321692.379370995,47.81
2025/11/16-19:34:52.380525,1763321692.380479424,46.18
2025/11/16-19:34:52.381636,1763321692.381588795,48.07
2025/11/16-19:34:52.382738,1763321692.382697392,41.08
2025/11/16-19:34:52.383843,1763321692.383799244,44.05
2025/11/16-19:34:52.384945,1763321692.384903922,41.84
2025/11/16-19:34:52.386049,1763321692.386006873,42.30
2025/11/16-19:34:52.387154,1763321692.387109807,45.04
2025/11/16-19:34:52.388264,1763321692.388222356,41.71
2025/11/16-19:34:52.389368,1763321692.389326537,42.09
2025/11/16-19:34:52.390479,1763321692.390429303,50.06
2025/11/16-19:34:52.391582,1763321692.391540103,42.46
2025/11/16-19:34:52.392691,1763321692.392651237,40.01
2025/11/16-19:34:52.393804,1763321692.393760454,43.63
2025/11/16-19:34:52.394883,1763321692.394843268,39.75
2025/11/16-19:34:52.395992,1763321692.395944108,48.35
2025/11/16-19:34:52.397098,1763321692.397057624,40.56
2025/11/16-19:34:52.398209,1763321692.398164825,45.01
2025/11/16-19:34:52.399324,1763321692.399280650,43.63
2025/11/16-19:34:52.400425,1763321692.400384922,40.62
2025/11/16-19:34:52.401535,1763321692.401499568,36.28
2025/11/16-19:34:52.402642,1763321692.402596871,46.08
2025/11/16-19:34:52.403746,1763321692.403705976,40.58
2025/11/16-19:34:52.404848,1763321692.404807017,41.33
2025/11/16-19:34:52.405956,1763321692.405911599,44.65
2025/11/16-19:34:52.407057,1763321692.407016859,40.83
2025/11/16-19:34:52.408164,1763321692.408123339,41.23
2025/11/16-19:34:52.409266,1763321692.409225324,41.32
2025/11/16-19:34:52.410375,1763321692.410331816,43.46
2025/11/16-19:34:52.411484,1763321692.411435739,48.63
2025/11/16-19:34:52.412586,1763321692.412544830,41.70
2025/11/16-19:34:52.413686,1763321692.413647311,38.91
2025/11/16-19:34:52.414787,1763321692.414747074,40.65
2025/11/16-19:34:52.415886,1763321692.415843255,43.53
2025/11/16-19:34:52.416987,1763321692.416947324,40.40
2025/11/16-19:34:52.418089,1763321692.418048333,41.14
2025/11/16-19:34:52.419196,1763321692.419155792,40.41
2025/11/16-19:34:52.420297,1763321692.420256822,40.41
2025/11/16-19:34:52.421398,1763321692.421357729,41.09
2025/11/16-19:34:52.422509,1763321692.422465664,43.34
2025/11/16-19:34:52.423615,1763321692.423569780,45.30
2025/11/16-19:34:52.424717,1763321692.424675806,41.95
2025/11/16-19:34:52.425825,1763321692.425778624,47.17
2025/11/16-19:34:52.426883,1763321692.426842305,41.53
2025/11/16-19:34:52.427985,1763321692.427944521,40.62
2025/11/16-19:34:52.429086,1763321692.429045508,41.01
2025/11/16-19:34:52.430191,1763321692.430147181,44.75
2025/11/16-19:34:52.431303,1763321692.431256667,46.99
2025/11/16-19:34:52.432406,1763321692.432364373,42.06
2025/11/16-19:34:52.433510,1763321692.433467315,43.62
2025/11/16-19:34:52.434610,1763321692.434571400,39.56
2025/11/16-19:34:52.435711,1763321692.435671682,40.01
2025/11/16-19:34:52.436813,1763321692.436772515,41.22
2025/11/16-19:34:52.437888,1763321692.437847482,41.44
2025/11/16-19:34:52.438995,1763321692.438952420,43.02
2025/11/16-19:34:52.440096,1763321692.440055997,40.51
2025/11/16-19:34:52.441196,1763321692.441157203,39.36
2025/11/16-19:34:52.442300,1763321692.442257505,43.42
2025/11/16-19:34:52.443404,1763321692.443362727,41.31
2025/11/16-19:34:52.444506,1763321692.444464790,41.48
2025/11/16-19:34:52.445613,1763321692.445567089,45.98
2025/11/16-19:34:52.446714,1763321692.446673632,40.76
2025/11/16-19:34:52.447825,1763321692.447779532,45.93
2025/11/16-19:34:52.448891,1763321692.448842529,49.34
2025/11/16-19:34:52.449995,1763321692.449952531,43.06
2025/11/16-19:34:52.451099,1763321692.451056645,42.92
2025/11/16-19:34:52.452203,1763321692.452160100,43.43
2025/11/16-19:34:52.453310,1763321692.453267939,42.89
2025/11/16-19:34:52.454413,1763321692.454371445,41.61
2025/11/16-19:34:52.455518,1763321692.455478533,39.79
2025/11/16-19:34:52.456630,1763321692.456585974,44.99
2025/11/16-19:34:52.457733,1763321692.457695871,37.15
2025/11/16-19:34:52.458838,1763321692.458793520,44.68
2025/11/16-19:34:52.459943,1763321692.459898540,44.99
2025/11/16-19:34:52.461043,1763321692.461003799,39.62
2025/11/16-19:34:52.462145,1763321692.462104096,40.96
2025/11/16-19:34:52.463249,1763321692.463205657,43.86
2025/11/16-19:34:52.464357,1763321692.464310080,47.70
2025/11/16-19:34:52.465462,1763321692.465418341,43.83
2025/11/16-19:34:52.466563,1763321692.466522636,41.30
2025/11/16-19:34:52.467667,1763321692.467625123,42.51
2025/11/16-19:34:52.468773,1763321692.468733517,39.98
2025/11/16-19:34:52.469887,1763321692.469834193,53.16
2025/11/16-19:34:52.470998,1763321692.470947679,50.45
2025/11/16-19:34:52.472101,1763321692.472058891,42.80
2025/11/16-19:34:52.473209,1763321692.473162075,47.09
2025/11/16-19:34:52.474314,1763321692.474269750,44.37
2025/11/16-19:34:52.475422,1763321692.475377457,45.47
2025/11/16-19:34:52.476524,1763321692.476485106,38.90
2025/11/16-19:34:52.477625,1763321692.477584707,41.18
2025/11/16-19:34:52.478729,1763321692.478689495,40.37
2025/11/16-19:34:52.479849,1763321692.479790559,58.69
2025/11/16-19:34:52.480959,1763321692.480909689,49.53
2025/11/16-19:34:52.482061,1763321692.482019723,41.83
2025/11/16-19:34:52.483171,1763321692.483123761,47.95
2025/11/16-19:34:52.484273,1763321692.484240044,33.32
2025/11/16-19:34:52.485373,1763321692.485333716,39.66
2025/11/16-19:34:52.486473,1763321692.486434742,39.14
2025/11/16-19:34:52.487574,1763321692.487534576,40.17
2025/11/16-19:34:52.488673,1763321692.488635222,38.63
