2025/11/13-07:55:04.719859,1763020504.719803108,56.33
2025/11/13-07:55:05.722856,1763020505.722317237,539.07
2025/11/13-07:55:06.723001,1763020506.722950766,50.55
2025/11/13-07:55:07.723138,1763020507.723088898,49.51
2025/11/13-07:55:08.723275,1763020508.723218478,57.48
2025/11/13-07:55:09.723416,1763020509.723361987,54.75
2025/11/13-07:55:10.723551,1763020510.723500582,50.90
2025/11/13-07:55:11.723687,1763020511.723628823,58.97
2025/11/13-07:55:12.723823,1763020512.723766914,56.63
2025/11/13-07:55:13.723972,1763020513.723919520,53.44
2025/11/13-07:55:14.724111,1763020514.724061055,50.19
2025/11/13-07:55:15.724233,1763020515.724191213,42.43
2025/11/13-07:55:16.724371,1763020516.724318532,53.27
2025/11/13-07:55:17.724514,1763020517.724456615,58.02
2025/11/13-07:55:18.724655,1763020518.724594653,60.37
2025/11/13-07:55:19.724782,1763020519.724733987,48.75
2025/11/13-07:55:20.724905,1763020520.724853894,52.08
2025/11/13-07:55:21.725042,1763020521.724992710,49.98
2025/11/13-07:55:22.725190,1763020522.725144919,45.79
2025/11/13-07:55:23.725345,1763020523.725290087,54.95
2025/11/13-07:55:24.725472,1763020524.725423692,49.17
2025/11/13-07:55:25.725610,1763020525.725561236,49.09
2025/11/13-07:55:26.725741,1763020526.725692388,49.36
2025/11/13-07:55:27.725876,1763020527.725821603,55.30
2025/11/13-07:55:28.726005,1763020528.725959330,46.59
2025/11/13-07:55:29.726140,1763020529.726090480,49.72
2025/11/13-07:55:30.726278,1763020530.726221780,57.10
2025/11/13-07:55:31.726414,1763020531.726362035,52.01
2025/11/13-07:55:32.726545,1763020532.726495093,50.42
2025/11/13-07:55:33.726680,1763020533.726621364,59.10
2025/11/13-07:55:34.726802,1763020534.726762682,39.79
2025/11/13-07:55:35.726911,1763020535.726852943,58.10
2025/11/13-07:55:36.727044,1763020536.726986825,57.96
2025/11/13-07:55:37.727184,1763020537.727141808,43.09
2025/11/13-07:55:38.727319,1763020538.727270880,48.68
2025/11/13-07:55:39.727467,1763020539.727410978,56.30
2025/11/13-07:55:40.727609,1763020540.727555303,53.90
2025/11/13-07:55:41.727743,1763020541.727695149,48.69
2025/11/13-07:55:42.727871,1763020542.727819219,52.63
2025/11/13-07:55:43.728008,1763020543.727957936,50.96
2025/11/13-07:55:44.728147,1763020544.728091815,56.16
2025/11/13-07:55:45.728278,1763020545.728233770,44.78
2025/11/13-07:55:46.728416,1763020546.728367592,48.41
2025/11/13-07:55:47.728552,1763020547.728512571,39.65
2025/11/13-07:55:48.728713,1763020548.728653398,59.92
2025/11/13-07:55:49.728855,1763020549.728796497,59.36
2025/11/13-07:55:50.728984,1763020550.728931082,53.13
2025/11/13-07:55:51.729115,1763020551.729065756,49.56
2025/11/13-07:55:52.729238,1763020552.729191049,47.37
2025/11/13-07:55:53.729370,1763020553.729313120,56.92
2025/11/13-07:55:54.729501,1763020554.729450785,50.47
2025/11/13-07:55:55.729636,1763020555.729585917,50.54
2025/11/13-07:55:56.729788,1763020556.729735161,52.95
2025/11/13-07:55:57.729921,1763020557.729870499,50.55
2025/11/13-07:55:58.730047,1763020558.730000951,46.54
2025/11/13-07:55:59.730166,1763020559.730122389,44.22
2025/11/13-07:56:00.730317,1763020560.730258485,58.87
2025/11/13-07:56:01.730450,1763020561.730391780,59.01
2025/11/13-07:56:02.730578,1763020562.730531039,47.95
2025/11/13-07:56:03.730708,1763020563.730661112,47.12
