2025/11/13-08:00:39.236643,1763020839.236580429,62.78
2025/11/13-08:00:39.340503,1763020839.340454961,48.17
2025/11/13-08:00:39.440651,1763020839.440579569,71.69
2025/11/13-08:00:39.540783,1763020839.540739255,44.19
2025/11/13-08:00:39.640897,1763020839.640847069,50.32
2025/11/13-08:00:39.741021,1763020839.740966968,54.22
2025/11/13-08:00:39.841167,1763020839.841102358,64.72
2025/11/13-08:00:39.941291,1763020839.941236294,55.36
2025/11/13-08:00:40.041425,1763020840.041359797,65.93
2025/11/13-08:00:40.141572,1763020840.141505592,67.32
2025/11/13-08:00:40.241696,1763020840.241645050,51.38
2025/11/13-08:00:40.341816,1763020840.341771627,44.76
2025/11/13-08:00:40.441901,1763020840.441847515,53.75
2025/11/13-08:00:40.542014,1763020840.541970181,44.07
2025/11/13-08:00:40.642128,1763020840.642082555,45.48
2025/11/13-08:00:40.742249,1763020840.742204694,45.09
2025/11/13-08:00:40.842363,1763020840.842318797,44.58
2025/11/13-08:00:40.942491,1763020840.942446671,44.62
2025/11/13-08:00:41.042607,1763020841.042560041,47.91
2025/11/13-08:00:41.142758,1763020841.142702226,55.98
2025/11/13-08:00:41.242887,1763020841.242832931,54.57
2025/11/13-08:00:41.343003,1763020841.342961093,42.33
2025/11/13-08:00:41.443130,1763020841.443082194,48.12
2025/11/13-08:00:41.543264,1763020841.543205378,59.34
2025/11/13-08:00:41.643387,1763020841.643339638,48.01
2025/11/13-08:00:41.743505,1763020841.743466308,39.18
2025/11/13-08:00:41.843623,1763020841.843581002,42.63
2025/11/13-08:00:41.943749,1763020841.943693272,56.52
2025/11/13-08:00:42.043869,1763020842.043825474,44.24
2025/11/13-08:00:42.143999,1763020842.143949477,50.25
2025/11/13-08:00:42.244127,1763020842.244077678,49.37
2025/11/13-08:00:42.344245,1763020842.344195348,49.72
2025/11/13-08:00:42.444382,1763020842.444325897,56.63
2025/11/13-08:00:42.544500,1763020842.544450707,49.31
2025/11/13-08:00:42.644630,1763020842.644573866,56.80
2025/11/13-08:00:42.744754,1763020842.744698807,55.34
2025/11/13-08:00:42.844872,1763020842.844823346,49.45
2025/11/13-08:00:42.944997,1763020842.944941396,56.02
2025/11/13-08:00:43.045109,1763020843.045064978,44.37
2025/11/13-08:00:43.145239,1763020843.145190603,48.77
2025/11/13-08:00:43.245362,1763020843.245311150,51.68
2025/11/13-08:00:43.345500,1763020843.345446471,53.84
2025/11/13-08:00:43.445621,1763020843.445575370,46.41
2025/11/13-08:00:43.545765,1763020843.545706329,59.30
2025/11/13-08:00:43.645896,1763020843.645846140,50.51
2025/11/13-08:00:43.746032,1763020843.745977806,54.23
2025/11/13-08:00:43.846146,1763020843.846099478,47.35
2025/11/13-08:00:43.946269,1763020843.946214768,54.92
2025/11/13-08:00:44.046387,1763020844.046337284,50.55
2025/11/13-08:00:44.146508,1763020844.146461037,47.20
2025/11/13-08:00:44.246627,1763020844.246587932,39.35
2025/11/13-08:00:44.346744,1763020844.346696247,48.31
2025/11/13-08:00:44.446885,1763020844.446828063,57.82
2025/11/13-08:00:44.547002,1763020844.546957702,45.29
2025/11/13-08:00:44.647120,1763020844.647070436,49.66
2025/11/13-08:00:44.747246,1763020844.747194907,51.28
2025/11/13-08:00:44.847363,1763020844.847314033,49.36
2025/11/13-08:00:44.947484,1763020844.947438833,45.62
2025/11/13-08:00:45.047597,1763020845.047553183,44.64
2025/11/13-08:00:45.147723,1763020845.147665383,58.02
2025/11/13-08:00:45.247850,1763020845.247791300,58.96
2025/11/13-08:00:45.347982,1763020845.347937999,44.38
2025/11/13-08:00:45.448099,1763020845.448052584,46.90
2025/11/13-08:00:45.548217,1763020845.548167198,50.25
2025/11/13-08:00:45.648331,1763020845.648287864,44.08
2025/11/13-08:00:45.748448,1763020845.748399878,48.66
2025/11/13-08:00:45.848566,1763020845.848515711,50.83
2025/11/13-08:00:45.948699,1763020845.948654682,45.20
2025/11/13-08:00:46.048814,1763020846.048767461,46.84
2025/11/13-08:00:46.148899,1763020846.148854730,44.61
2025/11/13-08:00:46.249032,1763020846.248981582,50.60
2025/11/13-08:00:46.349155,1763020846.349109743,46.24
2025/11/13-08:00:46.449279,1763020846.449235000,44.32
2025/11/13-08:00:46.549404,1763020846.549349047,55.20
2025/11/13-08:00:46.649529,1763020846.649482809,46.45
2025/11/13-08:00:46.749660,1763020846.749609592,50.64
2025/11/13-08:00:46.849791,1763020846.849733193,58.05
2025/11/13-08:00:46.949915,1763020846.949850270,65.62
2025/11/13-08:00:47.050046,1763020847.049989403,56.93
2025/11/13-08:00:47.150167,1763020847.150119481,47.76
2025/11/13-08:00:47.250278,1763020847.250233906,44.74
2025/11/13-08:00:47.350394,1763020847.350349139,45.08
2025/11/13-08:00:47.450519,1763020847.450461791,58.04
2025/11/13-08:00:47.550647,1763020847.550589675,58.12
2025/11/13-08:00:47.650767,1763020847.650716959,50.49
2025/11/13-08:00:47.750898,1763020847.750856411,42.58
2025/11/13-08:00:47.851021,1763020847.850970885,50.48
2025/11/13-08:00:47.951139,1763020847.951089700,49.80
2025/11/13-08:00:48.051252,1763020848.051207152,45.42
2025/11/13-08:00:48.151372,1763020848.151320922,51.22
2025/11/13-08:00:48.251503,1763020848.251451614,51.54
2025/11/13-08:00:48.351637,1763020848.351592699,44.90
2025/11/13-08:00:48.451756,1763020848.451707701,48.51
2025/11/13-08:00:48.551873,1763020848.551824782,49.15
2025/11/13-08:00:48.651990,1763020848.651954895,35.87
2025/11/13-08:00:48.752113,1763020848.752078783,34.79
2025/11/13-08:00:48.852238,1763020848.852184175,54.40
2025/11/13-08:00:48.952358,1763020848.952313940,44.47
2025/11/13-08:00:49.052482,1763020849.052432558,50.16
2025/11/13-08:00:49.152616,1763020849.152560611,56.36
2025/11/13-08:00:49.252740,1763020849.252688295,52.35
2025/11/13-08:00:49.352868,1763020849.352819776,48.94
2025/11/13-08:00:49.452980,1763020849.452936564,44.25
2025/11/13-08:00:49.553098,1763020849.553048484,50.00
2025/11/13-08:00:49.653223,1763020849.653173313,50.06
2025/11/13-08:00:49.753351,1763020849.753297664,53.38
2025/11/13-08:00:49.853464,1763020849.853418106,45.96
2025/11/13-08:00:49.953591,1763020849.953541711,49.43
2025/11/13-08:00:50.053721,1763020850.053675279,46.19
2025/11/13-08:00:50.153850,1763020850.153793365,57.35
2025/11/13-08:00:50.253974,1763020850.253925981,48.19
2025/11/13-08:00:50.354086,1763020850.354052436,33.59
2025/11/13-08:00:50.454199,1763020850.454155190,44.01
2025/11/13-08:00:50.554325,1763020850.554275955,49.21
2025/11/13-08:00:50.654446,1763020850.654403595,43.33
2025/11/13-08:00:50.754570,1763020850.754518735,51.42
2025/11/13-08:00:50.854702,1763020850.854644864,57.95
2025/11/13-08:00:50.954831,1763020850.954774844,56.62
2025/11/13-08:00:51.054969,1763020851.054926026,43.15
2025/11/13-08:00:51.155086,1763020851.155040799,45.94
2025/11/13-08:00:51.255204,1763020851.255154351,50.32
2025/11/13-08:00:51.355323,1763020851.355278440,45.41
2025/11/13-08:00:51.455440,1763020851.455398252,42.15
2025/11/13-08:00:51.555566,1763020851.555512612,53.46
2025/11/13-08:00:51.655683,1763020851.655639847,44.03
2025/11/13-08:00:51.755800,1763020851.755776749,23.83
2025/11/13-08:00:51.855895,1763020851.855855081,40.70
2025/11/13-08:00:51.956013,1763020851.955963925,49.43
2025/11/13-08:00:52.056130,1763020852.056086528,43.97
2025/11/13-08:00:52.156265,1763020852.156200839,64.79
2025/11/13-08:00:52.256383,1763020852.256338950,45.01
2025/11/13-08:00:52.356499,1763020852.356453503,46.14
2025/11/13-08:00:52.456624,1763020852.456567666,56.51
2025/11/13-08:00:52.556750,1763020852.556698915,51.71
2025/11/13-08:00:52.656888,1763020852.656853551,34.93
2025/11/13-08:00:52.757018,1763020852.756967838,51.05
2025/11/13-08:00:52.857140,1763020852.857087063,53.33
2025/11/13-08:00:52.957253,1763020852.957207715,45.31
2025/11/13-08:00:53.057377,1763020853.057328162,48.93
2025/11/13-08:00:53.157496,1763020853.157448634,47.70
2025/11/13-08:00:53.257635,1763020853.257570466,64.55
2025/11/13-08:00:53.357749,1763020853.357709975,39.10
2025/11/13-08:00:53.457871,1763020853.457825990,45.13
2025/11/13-08:00:53.557987,1763020853.557944045,43.93
2025/11/13-08:00:53.658103,1763020853.658055981,47.05
2025/11/13-08:00:53.758224,1763020853.758177251,46.92
2025/11/13-08:00:53.858351,1763020853.858296238,55.13
2025/11/13-08:00:53.958475,1763020853.958429006,46.17
2025/11/13-08:00:54.058600,1763020854.058547557,52.66
2025/11/13-08:00:54.158724,1763020854.158673085,51.18
2025/11/13-08:00:54.258850,1763020854.258800036,49.99
2025/11/13-08:00:54.358978,1763020854.358931298,46.72
2025/11/13-08:00:54.459140,1763020854.459091007,49.78
2025/11/13-08:00:54.559252,1763020854.559207750,44.48
2025/11/13-08:00:54.659381,1763020854.659346098,35.39
2025/11/13-08:00:54.759511,1763020854.759448780,62.87
2025/11/13-08:00:54.859631,1763020854.859586439,44.89
2025/11/13-08:00:54.959752,1763020854.959699119,52.91
2025/11/13-08:00:55.059871,1763020855.059819351,52.58
2025/11/13-08:00:55.159998,1763020855.159951634,46.67
2025/11/13-08:00:55.260126,1763020855.260078258,48.24
2025/11/13-08:00:55.360263,1763020855.360205798,57.99
2025/11/13-08:00:55.460381,1763020855.460334678,46.58
2025/11/13-08:00:55.560492,1763020855.560448637,43.65
2025/11/13-08:00:55.660625,1763020855.660569706,55.55
2025/11/13-08:00:55.760741,1763020855.760693563,48.11
2025/11/13-08:00:55.860874,1763020855.860810232,64.28
2025/11/13-08:00:55.960985,1763020855.960941905,43.97
2025/11/13-08:00:56.061102,1763020856.061056516,45.71
2025/11/13-08:00:56.161222,1763020856.161179405,43.10
2025/11/13-08:00:56.261338,1763020856.261289870,48.83
2025/11/13-08:00:56.361453,1763020856.361407010,46.40
2025/11/13-08:00:56.461574,1763020856.461527877,46.90
2025/11/13-08:00:56.561687,1763020856.561642121,45.67
2025/11/13-08:00:56.661810,1763020856.661755877,55.00
2025/11/13-08:00:56.761897,1763020856.761856425,41.38
2025/11/13-08:00:56.862016,1763020856.861965531,51.03
