2025/11/13-07:08:48.821284,1763017728.821246857,37.49
2025/11/13-07:08:48.831987,1763017728.831937342,50.56
2025/11/13-07:08:48.842104,1763017728.842057375,46.68
2025/11/13-07:08:48.852218,1763017728.852168962,49.05
2025/11/13-07:08:48.862366,1763017728.862296356,69.75
2025/11/13-07:08:48.872937,1763017728.872874154,63.56
2025/11/13-07:08:48.883062,1763017728.883020984,41.75
2025/11/13-07:08:48.893179,1763017728.893134825,44.84
2025/11/13-07:08:48.903304,1763017728.903255697,48.77
2025/11/13-07:08:48.913453,1763017728.913375443,78.08
2025/11/13-07:08:48.923574,1763017728.923531719,43.15
2025/11/13-07:08:48.933695,1763017728.933644226,51.23
2025/11/13-07:08:48.943843,1763017728.943778446,64.93
2025/11/13-07:08:48.953954,1763017728.953908672,45.67
2025/11/13-07:08:48.964069,1763017728.964026660,43.22
2025/11/13-07:08:48.974188,1763017728.974144557,43.71
2025/11/13-07:08:48.984311,1763017728.984263071,48.41
2025/11/13-07:08:48.994433,1763017728.994381734,51.30
2025/11/13-07:08:49.004539,1763017729.004495743,44.16
2025/11/13-07:08:49.014654,1763017729.014609146,45.16
2025/11/13-07:08:49.024762,1763017729.024717650,44.73
2025/11/13-07:08:49.034878,1763017729.034833535,45.05
2025/11/13-07:08:49.044985,1763017729.044941131,44.82
2025/11/13-07:08:49.055108,1763017729.055064183,44.06
2025/11/13-07:08:49.065228,1763017729.065176011,52.77
2025/11/13-07:08:49.075335,1763017729.075294620,40.97
2025/11/13-07:08:49.085459,1763017729.085410380,48.84
2025/11/13-07:08:49.095587,1763017729.095529811,57.70
2025/11/13-07:08:49.105698,1763017729.105650378,47.87
2025/11/13-07:08:49.115813,1763017729.115770682,43.25
2025/11/13-07:08:49.125925,1763017729.125858757,66.44
2025/11/13-07:08:49.136042,1763017729.135993063,49.32
2025/11/13-07:08:49.146146,1763017729.146104927,42.04
2025/11/13-07:08:49.156265,1763017729.156217125,48.59
2025/11/13-07:08:49.166379,1763017729.166328055,51.07
2025/11/13-07:08:49.176513,1763017729.176453855,59.49
2025/11/13-07:08:49.186624,1763017729.186575636,49.21
2025/11/13-07:08:49.196739,1763017729.196695587,43.74
2025/11/13-07:08:49.206853,1763017729.206807044,46.14
2025/11/13-07:08:49.216975,1763017729.216920738,54.35
2025/11/13-07:08:49.227093,1763017729.227043904,49.53
2025/11/13-07:08:49.237214,1763017729.237170905,43.60
2025/11/13-07:08:49.247318,1763017729.247276479,42.25
2025/11/13-07:08:49.257442,1763017729.257396424,45.71
2025/11/13-07:08:49.267557,1763017729.267511828,45.23
2025/11/13-07:08:49.277665,1763017729.277619861,45.84
2025/11/13-07:08:49.287787,1763017729.287743918,43.72
2025/11/13-07:08:49.297891,1763017729.297844351,47.55
2025/11/13-07:08:49.308002,1763017729.307953733,48.35
2025/11/13-07:08:49.318113,1763017729.318064281,49.13
2025/11/13-07:08:49.328235,1763017729.328175529,60.29
2025/11/13-07:08:49.338354,1763017729.338297817,56.87
2025/11/13-07:08:49.348477,1763017729.348416535,61.10
2025/11/13-07:08:49.358585,1763017729.358540353,44.81
2025/11/13-07:08:49.368693,1763017729.368649490,44.34
2025/11/13-07:08:49.378808,1763017729.378761088,47.44
2025/11/13-07:08:49.388919,1763017729.388850341,69.18
2025/11/13-07:08:49.399024,1763017729.398981126,43.02
2025/11/13-07:08:49.409158,1763017729.409091801,66.20
2025/11/13-07:08:49.419276,1763017729.419231492,44.64
2025/11/13-07:08:49.429394,1763017729.429351506,42.68
2025/11/13-07:08:49.439504,1763017729.439468483,36.40
2025/11/13-07:08:49.449620,1763017729.449578890,41.82
2025/11/13-07:08:49.459735,1763017729.459682560,53.10
2025/11/13-07:08:49.469859,1763017729.469805291,54.51
2025/11/13-07:08:49.479964,1763017729.479921561,43.28
2025/11/13-07:08:49.490077,1763017729.490026742,51.23
2025/11/13-07:08:49.500189,1763017729.500145963,43.37
2025/11/13-07:08:49.510313,1763017729.510256201,56.87
2025/11/13-07:08:49.520421,1763017729.520376947,44.24
2025/11/13-07:08:49.530547,1763017729.530482873,64.40
2025/11/13-07:08:49.540660,1763017729.540612293,47.74
2025/11/13-07:08:49.550773,1763017729.550730194,43.19
2025/11/13-07:08:49.560913,1763017729.560854562,58.78
2025/11/13-07:08:49.571025,1763017729.570974608,51.00
2025/11/13-07:08:49.581136,1763017729.581093592,43.12
2025/11/13-07:08:49.591253,1763017729.591202889,50.60
2025/11/13-07:08:49.601367,1763017729.601316164,51.22
2025/11/13-07:08:49.611476,1763017729.611432220,43.79
2025/11/13-07:08:49.621584,1763017729.621538256,46.02
2025/11/13-07:08:49.631701,1763017729.631646730,54.80
2025/11/13-07:08:49.641807,1763017729.641763344,44.53
2025/11/13-07:08:49.651903,1763017729.651860332,43.37
2025/11/13-07:08:49.662015,1763017729.661970476,44.61
2025/11/13-07:08:49.672130,1763017729.672077570,52.74
2025/11/13-07:08:49.682249,1763017729.682206308,43.61
2025/11/13-07:08:49.692356,1763017729.692313313,43.31
2025/11/13-07:08:49.702476,1763017729.702433699,42.49
2025/11/13-07:08:49.712585,1763017729.712544508,40.60
2025/11/13-07:08:49.722692,1763017729.722650032,42.83
2025/11/13-07:08:49.732805,1763017729.732762685,42.99
2025/11/13-07:08:49.742903,1763017729.742856228,47.24
2025/11/13-07:08:49.753035,1763017729.752969940,65.42
2025/11/13-07:08:49.763153,1763017729.763111127,42.82
2025/11/13-07:08:49.773272,1763017729.773227104,45.50
2025/11/13-07:08:49.783386,1763017729.783334549,52.11
2025/11/13-07:08:49.793501,1763017729.793454552,46.80
2025/11/13-07:08:49.803619,1763017729.803566526,52.88
2025/11/13-07:08:49.813738,1763017729.813688949,49.08
2025/11/13-07:08:49.823855,1763017729.823799997,55.42
2025/11/13-07:08:49.833966,1763017729.833923860,43.01
2025/11/13-07:08:49.844075,1763017729.844029192,46.68
2025/11/13-07:08:49.854182,1763017729.854138454,43.82
2025/11/13-07:08:49.864297,1763017729.864250439,46.73
2025/11/13-07:08:49.874454,1763017729.874373141,81.52
2025/11/13-07:08:49.884562,1763017729.884517516,44.94
2025/11/13-07:08:49.894680,1763017729.894636497,44.42
2025/11/13-07:08:49.904801,1763017729.904753686,48.04
2025/11/13-07:08:49.914904,1763017729.914848084,56.13
2025/11/13-07:08:49.925025,1763017729.924966616,59.35
2025/11/13-07:08:49.935144,1763017729.935088380,56.34
2025/11/13-07:08:49.945249,1763017729.945206950,42.89
2025/11/13-07:08:49.955357,1763017729.955316169,41.64
2025/11/13-07:08:49.965482,1763017729.965434955,47.95
2025/11/13-07:08:49.975598,1763017729.975555187,43.68
2025/11/13-07:08:49.985711,1763017729.985661409,49.85
2025/11/13-07:08:49.995823,1763017729.995773116,50.69
2025/11/13-07:08:50.005918,1763017730.005852272,66.08
2025/11/13-07:08:50.016048,1763017730.015981606,66.72
2025/11/13-07:08:50.026156,1763017730.026111506,44.54
2025/11/13-07:08:50.036273,1763017730.036231292,42.38
2025/11/13-07:08:50.046396,1763017730.046339983,56.56
2025/11/13-07:08:50.056506,1763017730.056458306,48.61
2025/11/13-07:08:50.066619,1763017730.066575731,43.28
2025/11/13-07:08:50.076741,1763017730.076698084,43.31
2025/11/13-07:08:50.086856,1763017730.086803435,52.92
2025/11/13-07:08:50.096972,1763017730.096924236,47.77
2025/11/13-07:08:50.107085,1763017730.107040599,44.75
2025/11/13-07:08:50.117199,1763017730.117156804,42.65
2025/11/13-07:08:50.127316,1763017730.127261072,55.39
2025/11/13-07:08:50.137427,1763017730.137378742,48.87
2025/11/13-07:08:50.147540,1763017730.147489893,50.17
2025/11/13-07:08:50.157657,1763017730.157608046,49.57
2025/11/13-07:08:50.167783,1763017730.167740322,42.90
2025/11/13-07:08:50.177900,1763017730.177857619,42.49
2025/11/13-07:08:50.188018,1763017730.187969960,48.66
2025/11/13-07:08:50.198127,1763017730.198080670,46.77
2025/11/13-07:08:50.208237,1763017730.208193005,44.32
2025/11/13-07:08:50.218355,1763017730.218298831,56.46
2025/11/13-07:08:50.228477,1763017730.228427000,50.01
2025/11/13-07:08:50.238586,1763017730.238538903,47.75
2025/11/13-07:08:50.248702,1763017730.248648447,53.62
2025/11/13-07:08:50.258819,1763017730.258768557,51.20
2025/11/13-07:08:50.268939,1763017730.268850291,88.97
2025/11/13-07:08:50.279054,1763017730.279001209,53.01
2025/11/13-07:08:50.289160,1763017730.289116196,44.45
2025/11/13-07:08:50.299279,1763017730.299229656,49.67
2025/11/13-07:08:50.309392,1763017730.309340879,51.21
2025/11/13-07:08:50.319508,1763017730.319453905,54.26
2025/11/13-07:08:50.329634,1763017730.329569736,64.63
2025/11/13-07:08:50.339751,1763017730.339708122,43.43
2025/11/13-07:08:50.349863,1763017730.349814866,49.09
2025/11/13-07:08:50.360002,1763017730.359960756,42.19
2025/11/13-07:08:50.370121,1763017730.370079471,42.41
2025/11/13-07:08:50.380238,1763017730.380195770,42.48
2025/11/13-07:08:50.390349,1763017730.390300672,49.07
