2025/11/13-07:22:51.738801,1763018571.738733170,68.54
2025/11/13-07:22:52.743493,1763018572.743430431,62.86
2025/11/13-07:22:53.743637,1763018573.743583251,54.31
2025/11/13-07:22:54.743781,1763018574.743737920,43.26
2025/11/13-07:22:55.743908,1763018575.743855770,53.06
2025/11/13-07:22:56.744041,1763018576.743987647,54.19
2025/11/13-07:22:57.744178,1763018577.744126496,51.54
2025/11/13-07:22:58.744314,1763018578.744261531,53.33
2025/11/13-07:22:59.744461,1763018579.744407877,53.56
2025/11/13-07:23:00.744608,1763018580.744550300,58.47
2025/11/13-07:23:01.744746,1763018581.744689686,56.85
2025/11/13-07:23:02.746845,1763018582.744852932,1992.44
2025/11/13-07:23:03.747036,1763018583.746944753,91.52
2025/11/13-07:23:04.747177,1763018584.747119193,58.26
2025/11/13-07:23:05.747313,1763018585.747260907,52.56
2025/11/13-07:23:06.747460,1763018586.747404371,56.14
2025/11/13-07:23:07.747605,1763018587.747548411,57.20
2025/11/13-07:23:08.747764,1763018588.747707387,57.58
2025/11/13-07:23:09.747909,1763018589.747846332,63.57
2025/11/13-07:23:10.748063,1763018590.747984991,78.56
2025/11/13-07:23:11.748199,1763018591.748145264,54.37
2025/11/13-07:23:12.748352,1763018592.748292523,60.43
2025/11/13-07:23:13.748492,1763018593.748431969,60.66
2025/11/13-07:23:14.748619,1763018594.748572165,47.82
2025/11/13-07:23:15.748761,1763018595.748703356,58.52
2025/11/13-07:23:16.748913,1763018596.748857823,55.39
2025/11/13-07:23:17.749059,1763018597.748994388,65.40
2025/11/13-07:23:18.749186,1763018598.749134146,52.22
2025/11/13-07:23:19.749330,1763018599.749273535,56.94
2025/11/13-07:23:20.749483,1763018600.749425258,57.84
2025/11/13-07:23:21.749618,1763018601.749561379,56.66
2025/11/13-07:23:22.749749,1763018602.749692461,57.45
2025/11/13-07:23:23.749894,1763018603.749831546,63.27
2025/11/13-07:23:24.750039,1763018604.749982020,57.44
2025/11/13-07:23:25.750176,1763018605.750126524,50.38
2025/11/13-07:23:26.750310,1763018606.750256526,53.61
2025/11/13-07:23:27.750451,1763018607.750385513,65.62
2025/11/13-07:23:28.750587,1763018608.750530998,56.52
2025/11/13-07:23:29.750718,1763018609.750662979,55.74
2025/11/13-07:23:30.750863,1763018610.750804375,59.35
2025/11/13-07:23:31.751017,1763018611.750954487,62.66
2025/11/13-07:23:32.751144,1763018612.751092350,52.12
2025/11/13-07:23:33.751290,1763018613.751236636,54.00
2025/11/13-07:23:34.751423,1763018614.751370913,52.62
2025/11/13-07:23:35.751570,1763018615.751518032,52.73
2025/11/13-07:23:36.751702,1763018616.751646049,56.11
2025/11/13-07:23:37.751849,1763018617.751789242,60.51
2025/11/13-07:23:38.751982,1763018618.751924058,58.85
2025/11/13-07:23:39.752116,1763018619.752063707,52.50
2025/11/13-07:23:40.752255,1763018620.752190651,64.65
2025/11/13-07:23:41.752412,1763018621.752345784,66.52
2025/11/13-07:23:42.752546,1763018622.752493475,52.71
2025/11/13-07:23:43.752689,1763018623.752634861,54.82
2025/11/13-07:23:44.752826,1763018624.752773511,53.12
2025/11/13-07:23:45.752986,1763018625.752927590,58.58
2025/11/13-07:23:46.753117,1763018626.753061456,56.34
2025/11/13-07:23:47.753259,1763018627.753193405,66.35
2025/11/13-07:23:48.753398,1763018628.753341853,57.04
2025/11/13-07:23:49.753526,1763018629.753473294,53.09
2025/11/13-07:23:50.753654,1763018630.753602615,52.21
