2025/11/16-13:12:07.472658,1763298727.472623718,34.62
2025/11/16-13:12:07.474320,1763298727.474280122,40.72
2025/11/16-13:12:07.475425,1763298727.475384190,40.96
2025/11/16-13:12:07.476527,1763298727.476486321,41.45
2025/11/16-13:12:07.477630,1763298727.477589264,41.40
2025/11/16-13:12:07.478733,1763298727.478691852,41.21
2025/11/16-13:12:07.479840,1763298727.479794042,46.26
2025/11/16-13:12:07.480966,1763298727.480920047,46.48
2025/11/16-13:12:07.482090,1763298727.482044978,45.06
2025/11/16-13:12:07.483192,1763298727.483152764,40.07
2025/11/16-13:12:07.484295,1763298727.484254601,40.62
2025/11/16-13:12:07.485395,1763298727.485355911,39.96
2025/11/16-13:12:07.486502,1763298727.486456847,46.06
2025/11/16-13:12:07.487605,1763298727.487563909,41.23
2025/11/16-13:12:07.488706,1763298727.488665825,40.20
2025/11/16-13:12:07.489807,1763298727.489766945,40.81
2025/11/16-13:12:07.490884,1763298727.490843602,41.24
2025/11/16-13:12:07.491988,1763298727.491946795,41.22
2025/11/16-13:12:07.493088,1763298727.493049385,39.47
2025/11/16-13:12:07.494188,1763298727.494150608,38.19
2025/11/16-13:12:07.495294,1763298727.495250293,44.04
2025/11/16-13:12:07.496400,1763298727.496361738,38.31
2025/11/16-13:12:07.497499,1763298727.497461283,37.91
2025/11/16-13:12:07.498599,1763298727.498560423,38.61
2025/11/16-13:12:07.499697,1763298727.499659820,38.04
2025/11/16-13:12:07.500798,1763298727.500758814,39.33
2025/11/16-13:12:07.501896,1763298727.501856464,39.93
2025/11/16-13:12:07.502995,1763298727.502957716,37.95
2025/11/16-13:12:07.504094,1763298727.504056367,38.35
2025/11/16-13:12:07.505193,1763298727.505155464,37.55
2025/11/16-13:12:07.506296,1763298727.506254246,41.77
2025/11/16-13:12:07.507396,1763298727.507357098,39.01
2025/11/16-13:12:07.508495,1763298727.508457022,38.39
2025/11/16-13:12:07.509609,1763298727.509559385,50.17
2025/11/16-13:12:07.510709,1763298727.510670683,38.82
2025/11/16-13:12:07.511810,1763298727.511770385,40.57
2025/11/16-13:12:07.512884,1763298727.512842324,41.93
2025/11/16-13:12:07.513982,1763298727.513944867,37.47
2025/11/16-13:12:07.515082,1763298727.515043185,39.24
2025/11/16-13:12:07.516183,1763298727.516143290,39.84
2025/11/16-13:12:07.517284,1763298727.517244016,40.47
2025/11/16-13:12:07.518383,1763298727.518345784,38.03
2025/11/16-13:12:07.519490,1763298727.519452538,38.24
2025/11/16-13:12:07.520595,1763298727.520551807,44.02
2025/11/16-13:12:07.521703,1763298727.521659832,44.12
2025/11/16-13:12:07.522807,1763298727.522764920,42.64
2025/11/16-13:12:07.523884,1763298727.523850471,33.89
2025/11/16-13:12:07.524993,1763298727.524945689,48.09
2025/11/16-13:12:07.526091,1763298727.526054773,37.02
2025/11/16-13:12:07.527191,1763298727.527154723,36.48
2025/11/16-13:12:07.528293,1763298727.528251768,41.30
2025/11/16-13:12:07.529396,1763298727.529353730,42.30
2025/11/16-13:12:07.530495,1763298727.530456454,38.73
2025/11/16-13:12:07.531599,1763298727.531556082,43.09
2025/11/16-13:12:07.532700,1763298727.532659987,40.34
2025/11/16-13:12:07.533800,1763298727.533761009,39.67
2025/11/16-13:12:07.534886,1763298727.534844029,42.57
2025/11/16-13:12:07.536007,1763298727.535956627,51.15
2025/11/16-13:12:07.537107,1763298727.537068713,38.87
2025/11/16-13:12:07.538206,1763298727.538168293,37.94
2025/11/16-13:12:07.539310,1763298727.539269070,41.42
2025/11/16-13:12:07.540419,1763298727.540378439,40.94
2025/11/16-13:12:07.541524,1763298727.541486280,38.62
2025/11/16-13:12:07.542624,1763298727.542586028,38.69
2025/11/16-13:12:07.543727,1763298727.543685704,41.71
2025/11/16-13:12:07.544841,1763298727.544788387,52.74
2025/11/16-13:12:07.545942,1763298727.545901878,40.27
2025/11/16-13:12:07.547041,1763298727.547003185,38.31
2025/11/16-13:12:07.548146,1763298727.548102520,44.19
2025/11/16-13:12:07.549247,1763298727.549207869,39.75
2025/11/16-13:12:07.550345,1763298727.550308536,37.17
2025/11/16-13:12:07.551443,1763298727.551412987,30.32
2025/11/16-13:12:07.552550,1763298727.552503857,46.36
2025/11/16-13:12:07.553646,1763298727.553610981,35.73
2025/11/16-13:12:07.554745,1763298727.554707964,37.99
2025/11/16-13:12:07.555855,1763298727.555812756,42.78
2025/11/16-13:12:07.556953,1763298727.556916209,37.77
2025/11/16-13:12:07.558054,1763298727.558014975,39.07
2025/11/16-13:12:07.559152,1763298727.559115036,37.47
2025/11/16-13:12:07.560252,1763298727.560213172,39.64
2025/11/16-13:12:07.561352,1763298727.561313375,39.50
2025/11/16-13:12:07.562461,1763298727.562413658,48.32
2025/11/16-13:12:07.563575,1763298727.563530178,45.51
2025/11/16-13:12:07.564687,1763298727.564637075,49.93
2025/11/16-13:12:07.565788,1763298727.565747998,40.74
2025/11/16-13:12:07.566883,1763298727.566844971,38.61
2025/11/16-13:12:07.567988,1763298727.567944775,43.55
2025/11/16-13:12:07.569089,1763298727.569048917,40.18
2025/11/16-13:12:07.570189,1763298727.570150415,39.12
2025/11/16-13:12:07.571294,1763298727.571251421,42.84
2025/11/16-13:12:07.572393,1763298727.572355110,37.90
2025/11/16-13:12:07.573498,1763298727.573454047,44.63
2025/11/16-13:12:07.574595,1763298727.574559196,36.31
2025/11/16-13:12:07.575695,1763298727.575656328,39.32
2025/11/16-13:12:07.576802,1763298727.576756549,45.74
2025/11/16-13:12:07.577885,1763298727.577843727,42.14
2025/11/16-13:12:07.578986,1763298727.578946906,39.26
2025/11/16-13:12:07.580101,1763298727.580047695,54.00
2025/11/16-13:12:07.581202,1763298727.581162663,39.58
2025/11/16-13:12:07.582305,1763298727.582267144,38.12
2025/11/16-13:12:07.583404,1763298727.583365840,38.37
2025/11/16-13:12:07.584504,1763298727.584465677,39.27
2025/11/16-13:12:07.585610,1763298727.585565741,44.96
2025/11/16-13:12:07.586714,1763298727.586676920,37.84
2025/11/16-13:12:07.587815,1763298727.587775374,40.03
2025/11/16-13:12:07.588883,1763298727.588851174,32.67
2025/11/16-13:12:07.589983,1763298727.589944653,38.52
2025/11/16-13:12:07.591084,1763298727.591044466,39.78
2025/11/16-13:12:07.592184,1763298727.592144840,40.02
2025/11/16-13:12:07.593283,1763298727.593245616,38.20
2025/11/16-13:12:07.594395,1763298727.594356980,38.87
2025/11/16-13:12:07.595497,1763298727.595458290,39.11
2025/11/16-13:12:07.596600,1763298727.596564452,35.69
2025/11/16-13:12:07.597697,1763298727.597660856,36.65
2025/11/16-13:12:07.598798,1763298727.598762814,36.15
2025/11/16-13:12:07.599884,1763298727.599842511,42.45
2025/11/16-13:12:07.600988,1763298727.600945658,42.37
2025/11/16-13:12:07.602092,1763298727.602048917,43.18
2025/11/16-13:12:07.603206,1763298727.603153529,52.85
2025/11/16-13:12:07.604312,1763298727.604267386,45.23
2025/11/16-13:12:07.605432,1763298727.605373170,59.72
2025/11/16-13:12:07.606535,1763298727.606500022,35.01
2025/11/16-13:12:07.607636,1763298727.607598197,38.56
2025/11/16-13:12:07.608741,1763298727.608702541,38.98
2025/11/16-13:12:07.609843,1763298727.609808443,35.13
2025/11/16-13:12:07.610950,1763298727.610904382,46.41
2025/11/16-13:12:07.612061,1763298727.612018013,43.76
2025/11/16-13:12:07.613166,1763298727.613122336,43.91
2025/11/16-13:12:07.614264,1763298727.614227009,37.74
2025/11/16-13:12:07.615373,1763298727.615337639,36.27
2025/11/16-13:12:07.616477,1763298727.616438720,38.47
2025/11/16-13:12:07.617598,1763298727.617537655,60.51
2025/11/16-13:12:07.618718,1763298727.618668009,50.65
2025/11/16-13:12:07.619824,1763298727.619785291,39.51
2025/11/16-13:12:07.620886,1763298727.620843462,42.72
2025/11/16-13:12:07.622020,1763298727.621946788,73.62
2025/11/16-13:12:07.623164,1763298727.623088328,75.76
2025/11/16-13:12:07.624276,1763298727.624224754,51.28
2025/11/16-13:12:07.625380,1763298727.625336995,43.57
2025/11/16-13:12:07.626479,1763298727.626440921,38.42
2025/11/16-13:12:07.627580,1763298727.627540670,39.74
2025/11/16-13:12:07.628679,1763298727.628641271,38.64
2025/11/16-13:12:07.629778,1763298727.629741635,36.52
2025/11/16-13:12:07.630885,1763298727.630847588,38.30
2025/11/16-13:12:07.631994,1763298727.631953587,40.49
2025/11/16-13:12:07.633094,1763298727.633054917,39.35
2025/11/16-13:12:07.634201,1763298727.634161205,40.36
2025/11/16-13:12:07.635300,1763298727.635262320,38.12
2025/11/16-13:12:07.636417,1763298727.636365620,51.44
2025/11/16-13:12:07.637522,1763298727.637483431,39.06
2025/11/16-13:12:07.638625,1763298727.638589065,36.90
2025/11/16-13:12:07.639734,1763298727.639694439,40.21
2025/11/16-13:12:07.640859,1763298727.640815899,43.15
2025/11/16-13:12:07.641981,1763298727.641932122,48.95
2025/11/16-13:12:07.643085,1763298727.643041985,43.94
2025/11/16-13:12:07.644189,1763298727.644146778,43.16
2025/11/16-13:12:07.645301,1763298727.645259208,41.97
2025/11/16-13:12:07.646431,1763298727.646361764,69.65
2025/11/16-13:12:07.647544,1763298727.647498242,46.09
2025/11/16-13:12:07.648641,1763298727.648604803,36.72
2025/11/16-13:12:07.649738,1763298727.649702120,36.03
2025/11/16-13:12:07.650852,1763298727.650799018,53.46
2025/11/16-13:12:07.651992,1763298727.651919927,72.49
2025/11/16-13:12:07.653121,1763298727.653053120,68.88
2025/11/16-13:12:07.654265,1763298727.654188662,76.74
2025/11/16-13:12:07.655405,1763298727.655326160,79.71
2025/11/16-13:12:07.656528,1763298727.656467322,61.33
2025/11/16-13:12:07.657630,1763298727.657589221,41.68
2025/11/16-13:12:07.658742,1763298727.658698960,43.85
2025/11/16-13:12:07.659860,1763298727.659809490,51.48
2025/11/16-13:12:07.660979,1763298727.660928300,51.04
2025/11/16-13:12:07.662091,1763298727.662045981,45.37
2025/11/16-13:12:07.663188,1763298727.663151905,36.66
2025/11/16-13:12:07.664288,1763298727.664250205,38.06
2025/11/16-13:12:07.665399,1763298727.665348984,50.37
2025/11/16-13:12:07.666524,1763298727.666466747,57.92
2025/11/16-13:12:07.667628,1763298727.667589152,39.02
2025/11/16-13:12:07.668731,1763298727.668701606,29.90
2025/11/16-13:12:07.669833,1763298727.669792681,40.98
2025/11/16-13:12:07.670957,1763298727.670903171,54.08
